id,agenda_legislativa,corporacion_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
1070,7217,1,12808,NA,NA,NA,NA,NA
1071,7208,1,12794,NA,NA,NA,NA,NA
1072,7207,2,12791,NA,NA,NA,NA,NA
1073,7206,2,12789,NA,NA,NA,NA,NA
1074,7196,1,12793,NA,NA,NA,NA,NA
1075,7186,2,12774,NA,NA,NA,NA,NA
1076,7185,1,12775,NA,NA,NA,NA,NA
1077,7182,1,12776,NA,NA,NA,NA,NA
1078,7177,2,12773,NA,NA,NA,NA,NA
1079,7167,1,12764,NA,NA,NA,NA,NA
1080,7167,2,12765,NA,NA,NA,NA,NA
1081,7166,2,12749,NA,NA,NA,NA,NA
1082,7156,2,12762,NA,NA,NA,NA,NA
1083,7155,2,12759,NA,NA,NA,NA,NA
1084,7144,1,12766,NA,NA,NA,NA,NA
1085,7144,2,12767,NA,NA,NA,NA,NA
1086,7142,1,12763,NA,NA,NA,NA,NA
1087,7141,2,12742,NA,NA,NA,NA,NA
1088,7140,2,12741,NA,NA,NA,NA,NA
1089,7128,1,12740,NA,NA,NA,NA,NA
1090,7116,1,12738,NA,NA,NA,NA,NA
1091,7116,2,12739,NA,NA,NA,NA,NA
1092,7104,2,12728,NA,NA,NA,NA,NA
1093,7103,2,12730,NA,NA,NA,NA,NA
1094,7096,1,12729,NA,NA,NA,NA,NA
1095,7095,1,12716,NA,NA,NA,NA,NA
1096,7095,2,12717,NA,NA,NA,NA,NA
1097,7094,2,12719,NA,NA,NA,NA,NA
1098,7093,2,12718,NA,NA,NA,NA,NA
1099,7078,2,12721,NA,NA,NA,NA,NA
1100,7064,1,12720,NA,NA,NA,NA,NA
1101,7057,1,12699,NA,NA,NA,NA,NA
1102,7055,2,12695,NA,NA,NA,NA,NA
1103,7054,2,12693,NA,NA,NA,NA,NA
1104,7052,1,12697,NA,NA,NA,NA,NA
1105,7051,2,12685,NA,NA,NA,NA,NA
1106,7050,2,12683,NA,NA,NA,NA,NA
1107,7049,1,12684,NA,NA,NA,NA,NA
1108,7048,2,12681,NA,NA,NA,NA,NA
1109,7047,1,12682,NA,NA,NA,NA,NA
1110,7046,1,12679,NA,NA,NA,NA,NA
1111,7046,2,12680,NA,NA,NA,NA,NA
1112,7040,2,12664,NA,NA,NA,NA,NA
1113,7039,2,12663,NA,NA,NA,NA,NA
1114,7036,1,12666,NA,NA,NA,NA,NA
1115,7030,2,12662,NA,NA,NA,NA,NA
1116,7029,1,12661,NA,NA,NA,NA,NA
1117,7019,1,12660,NA,NA,NA,NA,NA
1118,7014,2,12665,NA,NA,NA,NA,NA
1119,7012,2,12639,NA,NA,NA,NA,NA
1120,7006,1,12633,NA,NA,NA,NA,NA
1121,7004,2,12634,NA,NA,NA,NA,NA
1122,6989,2,12612,NA,NA,NA,NA,NA
1123,6986,1,12620,NA,NA,NA,NA,NA
1124,6980,2,12621,NA,NA,NA,NA,NA
1125,6963,1,12623,NA,NA,NA,NA,NA
1126,6955,2,12622,NA,NA,NA,NA,NA
1127,6954,1,12624,NA,NA,NA,NA,NA
1128,6949,1,12625,NA,NA,NA,NA,NA
1129,6934,2,12626,NA,NA,NA,NA,NA
1130,6933,1,12628,NA,NA,NA,NA,NA
1131,6932,2,12586,NA,NA,NA,NA,NA
1132,6930,1,12627,NA,NA,NA,NA,NA
1133,6925,2,12629,NA,NA,NA,NA,NA
1134,6913,1,12631,NA,NA,NA,NA,NA
1135,6906,2,12630,NA,NA,NA,NA,NA
1136,6895,1,12572,NA,NA,NA,NA,NA
1137,6894,2,12632,NA,NA,NA,NA,NA
1138,6892,2,12576,NA,NA,NA,NA,NA
1139,6876,1,12575,NA,NA,NA,NA,NA
1140,6870,2,12570,NA,NA,NA,NA,NA
1141,6867,1,12548,NA,NA,NA,NA,NA
1142,6859,1,12568,NA,NA,NA,NA,NA
1143,6859,2,12569,NA,NA,NA,NA,NA
1144,6854,2,12550,NA,NA,NA,NA,NA
1145,6850,2,12551,NA,NA,NA,NA,NA
1146,6848,1,12549,NA,NA,NA,NA,NA
1147,6832,1,12536,NA,NA,NA,NA,NA
1148,6831,2,12537,NA,NA,NA,NA,NA
1149,6811,2,12524,NA,NA,NA,NA,NA
1150,6809,1,12523,NA,NA,NA,NA,NA
1151,6808,1,12508,NA,NA,NA,NA,NA
1152,6804,2,12498,NA,NA,NA,NA,NA
1153,6803,2,12489,NA,NA,NA,NA,NA
1154,6798,2,12479,NA,NA,NA,NA,NA
1155,6793,2,12475,NA,NA,NA,NA,NA
1156,6792,1,12465,NA,NA,NA,NA,NA
1157,6789,2,12457,NA,NA,NA,NA,NA
1158,6778,1,12450,NA,NA,NA,NA,NA
