id,created_at,updated_at,tipo_investigacion_id,descripcion,congresista_id
69,2010-02-17 21:20:07.204723,2019-05-30 20:24:02.901386,26,"Perdió la investidura por concusión. Renunciado y empezó a ser investigado por la Corte Suprema de Justicia por fraude electoral y trasteo de votos por haber ofrecido subsidios de vivienda a cambio de votos y haber facilitado el trasteo de votantes de Vilavicencio hacia Bogotá. (06OCT09).

Visto: enero 31/13",1220
77,2010-02-17 21:41:31.299731,2019-05-30 20:29:15.857507,12,"Perdió la investidura por haber sido contratista del Estado seis meses antes de su elección como representante. intervino en la celebración de un contrato de prestación de servicios de transporte con una Empresa Social del Estado de Guaviare en diciembre de 2005, con lo cual incurrió en una de las causales de inhabilidad previstas en la Constitución.  (11DIC07).


Visto: enero 31/13",1228
67,2010-02-17 21:13:37.455605,2013-01-31 17:00:59.304524,1,"Llamado a juicio (10ABR08). Investigado  por la Corte Suprema de Justicia dentro del proceso de la ELENOPOLÍTICA. Renunció a su curul (21MAY08).

http://www.cambio.com.co/paiscambio/751/ARTICULO-WEB-NOTA_INTERIOR_CAMBIO-3825724.html
Visto: enero 31/13",1190
57,2010-02-17 20:54:58.277952,2013-11-12 18:45:02.938374,3,"Corte dejó en firme su condena. (12NOV13). Condenado a 8 años de cárcel por los delitos de concierto para delinquir agravado, promover grupos armados ilegales y constreñimiento al sufragante. (19JUL10). DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA.

http://www.radiosantafe.com/2010/07/19/por-parapolitica-condenado-excongresista-alvaro-moron-cuello-a-8-anos-de-carcel/
Visto: enero 31/13
http://www.elespectador.com/noticias/judicial/corte-dejo-firme-condena-contra-excongresista-alvaro-mo-articulo-457790
Tomado: Noviembre 12/13",1239
362,2019-02-20 14:32:31.333636,2020-02-18 17:53:06.037508,233,El Consejo de Estado admitió para su estudio una demanda de nulidad (17DIC18) por presunta inhabilidad para ejercer como Representante a la Cámara por haber celebrado un contrato con la alcaldía de Cartagena en 2017.,12911
65,2010-02-17 21:10:11.043956,2013-01-31 19:32:55.827563,13,"Consejo de Estado declaró NULIDAD ELECTORAL a su elección por considerar que las autoridades departamentales no protegieron el derecho al sufragio al permitir que las Farc sustrajeran e incineraran material electoral. Se llamarán nuevos comicios. 

",988
59,2010-02-17 20:58:59.866236,2013-01-31 19:39:19.050244,1,"INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA.

http://eje21.com.co/index.php?option=com_content&task=view&id=13170&Itemid=1
Visto: enero 31/13",1209
56,2010-02-17 20:53:38.563297,2013-01-31 19:41:50.230461,52,"La Procuraduría General lo condenó a 6 años y 4 meses de cárcel por CELEBRACIÓN INDEBIDA DE CONTRATOS mientras se desempeñaba como Alcalde de su municipio natal en 1997. Perdió su investidura (19DIC07).

http://www.caracol.com.co/nota.aspx?id=513041
Visto: enero 31/13",1058
55,2010-02-17 20:52:33.576176,2013-01-31 19:42:57.887995,51,"Condenado a 6 años y 8 meses de prisión. (18MAY10). DETENIDO e INVESTIGADO por la Corte Suprema de Justicia por PECULADO POR APROPIACIÓN Y CELEBRACIÓN INDEBIDA DE CONTRATOS cuando se desempeñaba como alcalde de María la Baja, Bolívar.

http://www.elespectador.com/noticias/judicial/articulo-203797-condenan-mas-de-seis-anos-de-carcel-ex-congresista-silfredo-morale
Visto: enero 31/13",1264
50,2010-02-16 22:07:28.905472,2013-01-31 19:48:49.139584,3,"La Corte ratificó su condena (09MAR11). CONDENADO a seis años de prisión en el proceso de la parapolítica (25NOV08). Detenido (31AGO09). Curul suspendida (20JUL07).

http://www.elespectador.com/articulo90348-seis-anos-de-prision-juan-manuel-lopez-cabrales
Visto: enero 31/13",662
49,2010-02-16 22:06:07.651713,2013-01-31 19:49:53.738740,1,"INDAGACIÓN PRELIMINAR  dentro del proceso de la FARCPOLITICA.

http://www.semana.com/wf_ImprimirArticulo.aspx?IdArt=110748
Visto: enero 31/13",46
47,2010-02-16 21:39:26.794250,2013-01-31 19:50:56.130671,19,"Estuvo DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA, acusado de enriquecimiento ilicito y constreñimiento al elector (07ABR08). ABSUELTO por falta de pruebas (16MAR08). Renunció a su curul (19AGO08).

http://www.caracol.com.co/nota.aspx?id=779192
Visto: enero 31/13",565
46,2010-02-16 21:37:45.045670,2013-01-31 19:52:39.374221,1,"Estuvo en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA (24JUL08). Falleció el 18 de enero de 2009.
http://www.semana.com/on-line/articulo/corte-suprema-abre-investigacion-senador-victor-renan-barco/94105-3
Visto: enero 31/13",368
39,2010-02-16 21:22:49.158604,2013-01-31 20:01:43.419372,24,"La Corte Suprema de Justicia archivó el proceso al no encontrar pruebas contundentes para relacionar a la exsenadora con grupos paramilitares. Se encontraba en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA en abril de 2007. Renunció a su curul (30ENE09).

http://www.elespectador.com/noticias/judicial/articulo-292390-archivan-proceso-parapolitica-contra-adriana-gutierrez
Visto: enero 31/13",612
66,2010-02-17 21:12:28.247527,2013-02-01 16:09:05.647113,3,"CONDENADO a seis años de prisión y 2 mil SLMM en el proceso de la PARAPOLÍTICA (Diciembre 2007).

http://www.semana.com/wf_InfoArticulo.aspx?IdArt=108464
Visto: enero 31/12

Deberá pedir perdón a la sociedad, por orden de un juez (01FEB13).
http://www.elespectador.com/noticias/nacional/articulo-402307-dos-excongresistas-condenados-parapolitica-le-deberan-pedir-perd
Visto: febrero 01/13",1196
111,2010-04-23 14:38:44.591087,2013-01-28 21:23:49.321628,1,"La Corte Suprema de Justicia le abrió investigación preliminar por posibles nexos con grupos armados ilegales el 03 de julio de 2009.

http://www.verdadabierta.com/nunca-mas/asesinatos/union-patriotica/1398-corte-suprema-abre-investigacion-contra-congresista-hector-javier-osorio-botello-por-parapolitica
Visto: enero 28/13",197
115,2010-04-29 20:07:09.712210,2013-01-28 20:58:56.415338,13,"El Consejo de Estado despojó de la credencial al representante a la Cámara por el Valle Eiber Gustavo Navarro, del Movimiento Popular Unido, pues en su providencia, el máximo tribunal anuló 90 mesas de doce municipios del departamento del Valle, luego de comprobar fraude y adulteración de los resultados. En reemplazo de Navarro, el Consejo de Estado entregó la curul a Luis Antonio Cuéllar, segundo reglón de la lista que encabezó el ex comandante de la Tercera División del Ejército Jaime Ernesto Canal. 

http://www.elcolombiano.com/BancoConocimiento/O/olac_consejo_estado_quita_credencial_congresista_colprensa_ana_04112004/olac_consejo_estado_quita_credencial_congresista_colprensa_ana_04112004.asp

Visto: Enero 28/13",752
10,2010-02-15 21:17:15.136408,2013-02-01 14:24:43.666408,3,"Condenado a 90 meses de prisión (18AGO10). El ex parlamentario también deberá pagar una sanción pecuniaria de más de 3.300 millones de pesos, equivalentes a 6.500 salarios mínimos mensuales  vigentes y estará inhabilitado para el ejercicio de funciones públicas durante el mismo lapso que dure la pena. Estuvo DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA Bloque Elmer Arenas (08ABR08). 

De igual forma, la Procuraduría General formuló pliego de cargos contra el excongresista por sus presuntos vínculos con grupos paramilitares para lograr un beneficio político y electoral (01NOV12).

http://www.elespectador.com/noticias/judicial/articulo-384560-procuraduria-abrio-proceso-contra-excongresista-humberto-builes
Visto: enero 28/13",399
4,2010-02-15 21:01:19.420860,2013-02-01 15:36:26.849020,24,"Estuvo en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA. La Corte Suprema de Justicia decidió CERRAR su expediente (23JUN08).
http://www.eltiempo.com/archivo/documento/CMS-4343629
Visto: enero 28/13",100
95,2010-02-22 21:10:15.577730,2013-01-30 21:19:23.845832,3,"INVESTIGADO por parte de la Corte Suprema de Justicia dentro del proceso de la PARAPOLITICA.  Fue DETENIDO (23ENE09). Renunció a la curul (01ABR09). Fue CONDENADO por la Corte Suprema de Justicia  a 7 años y 5 meses de prisión por sus nexos con el Bloque Central Bolívar de las Auc. (16SEPT10).

http://www.eltiempo.com/colombia/justicia/condena-al-ex-congresista-miguel-ngel-rangel-por-parapolitica_7909685-1

Visto: enero 30/13",853
