id,cuatrienio_id,corporacion_id,congresista_id,cargo_legislativo_id,fecha_inicio,fecha_final,activo,usercreated,usermodifed,created_at,updated_at
51,2,1,1341,2,2008-07-20,2009-07-19,TRUE,NA,NA,2014-05-06T15:26:56Z,2014-05-06T15:26:56Z
52,2,1,1179,1,2008-07-20,2009-07-19,TRUE,NA,NA,2014-05-06T15:28:23Z,2014-05-06T15:28:23Z
53,2,1,1695,1,2008-07-20,2009-07-19,TRUE,NA,NA,2014-05-06T15:30:14Z,2014-05-06T15:30:14Z
54,2,1,1562,2,2009-07-20,2010-07-19,TRUE,NA,NA,2014-05-06T15:31:26Z,2014-05-06T15:31:26Z
55,2,1,1456,1,2009-07-20,2010-07-19,TRUE,NA,NA,2014-05-06T15:32:06Z,2014-05-06T15:32:06Z
56,2,1,1212,1,2009-07-20,2010-07-19,TRUE,NA,NA,2014-05-06T15:35:40Z,2014-05-06T15:35:40Z
57,6,1,1598,2,2010-07-20,2011-07-19,TRUE,NA,NA,2014-05-06T15:36:50Z,2014-05-06T15:36:50Z
58,6,1,1658,1,2010-07-20,2011-07-19,TRUE,NA,NA,2014-05-06T15:44:39Z,2014-05-06T15:44:39Z
59,6,1,1726,1,2010-07-20,2011-07-19,TRUE,NA,NA,2014-05-06T15:45:19Z,2014-05-06T15:45:19Z
60,6,1,1662,2,2011-07-20,2012-07-19,TRUE,NA,NA,2014-05-06T15:50:35Z,2014-05-06T15:50:35Z
61,6,1,1709,1,2011-07-20,2012-07-19,TRUE,NA,NA,2014-05-06T15:51:27Z,2014-05-06T15:51:27Z
62,6,1,1718,1,2011-07-20,2012-07-19,TRUE,NA,NA,2014-05-06T15:52:07Z,2014-05-06T15:52:07Z
63,6,1,1596,2,2012-07-20,2013-07-19,TRUE,NA,NA,2014-05-06T15:52:41Z,2014-05-06T15:52:41Z
64,6,1,1694,1,2012-07-20,2013-07-19,TRUE,NA,NA,2014-05-06T15:53:35Z,2014-05-06T15:53:35Z
65,6,1,1704,1,2012-07-20,2013-07-19,TRUE,NA,NA,2014-05-06T15:54:21Z,2014-05-06T15:54:21Z
66,6,1,1690,2,2013-07-20,2014-07-19,TRUE,NA,NA,2014-05-06T15:55:55Z,2014-05-06T15:55:55Z
67,6,1,1677,1,2013-07-20,2014-07-19,TRUE,NA,NA,2014-05-06T15:56:54Z,2014-05-06T15:56:54Z
68,6,1,1723,1,2013-07-20,2014-07-19,TRUE,NA,NA,2014-05-06T16:04:54Z,2014-05-06T16:04:54Z
69,2,2,975,2,2007-07-20,2008-07-19,TRUE,NA,NA,2014-05-06T16:06:30Z,2014-05-06T16:06:30Z
70,2,2,1405,1,2007-07-20,2008-07-19,TRUE,NA,NA,2014-05-06T16:07:09Z,2014-05-06T16:07:09Z
71,2,2,1009,1,2007-07-20,2008-07-19,TRUE,NA,NA,2014-05-06T16:07:53Z,2014-05-06T16:07:53Z
72,2,2,1414,2,2008-07-20,2009-07-19,TRUE,NA,NA,2014-05-06T16:08:52Z,2014-05-06T16:08:52Z
73,2,2,1122,1,2008-07-20,2009-07-19,TRUE,NA,NA,2014-05-06T16:09:35Z,2014-05-06T16:09:35Z
74,2,2,1358,1,2008-07-20,2009-07-19,TRUE,NA,NA,2014-05-06T16:10:00Z,2014-05-06T16:10:00Z
75,2,2,1454,2,2009-07-20,2010-07-19,TRUE,NA,NA,2014-05-06T16:11:06Z,2014-05-06T16:11:06Z
76,2,2,1479,1,2009-07-20,2010-07-19,TRUE,NA,NA,2014-05-06T16:11:41Z,2014-05-06T16:11:41Z
77,2,2,1470,1,2009-07-20,2010-07-19,TRUE,NA,NA,2014-05-06T16:12:10Z,2014-05-06T16:12:10Z
78,6,2,1579,2,2010-07-20,2011-07-19,TRUE,NA,NA,2014-05-06T16:13:43Z,2014-05-06T16:13:43Z
79,6,2,1844,1,2010-07-20,2011-07-19,TRUE,NA,NA,2014-05-06T16:14:10Z,2014-05-06T16:14:10Z
80,6,2,1625,1,2010-07-20,2011-07-19,TRUE,NA,NA,2014-05-06T16:15:02Z,2014-05-06T16:15:02Z
81,6,2,1612,2,2011-07-20,2012-07-19,TRUE,NA,NA,2014-05-06T16:15:56Z,2014-05-06T16:15:56Z
82,6,2,1589,1,2011-07-20,2012-07-19,TRUE,NA,NA,2014-05-06T16:16:37Z,2014-05-06T16:16:37Z
83,6,2,1803,1,2011-07-20,2012-07-19,TRUE,NA,NA,2014-05-06T16:17:35Z,2014-05-06T16:17:35Z
84,6,2,1584,2,2012-07-20,2013-07-19,TRUE,NA,NA,2014-05-06T16:20:02Z,2014-05-06T16:20:02Z
85,6,2,1582,1,2012-07-20,2013-07-19,TRUE,NA,NA,2014-05-06T16:21:28Z,2014-05-06T16:21:28Z
86,6,2,1734,1,2012-07-20,2013-07-19,TRUE,NA,NA,2014-05-06T16:22:00Z,2014-05-06T16:22:00Z
88,6,2,1577,1,2013-07-20,2014-07-19,TRUE,NA,NA,2014-05-06T16:23:21Z,2014-05-06T16:23:21Z
90,7,2,2169,2,2014-07-20,2015-07-20,TRUE,NA,NA,2014-07-23T14:39:09Z,2014-07-23T14:39:09Z
91,7,1,2341,2,2014-07-20,2015-07-20,TRUE,NA,NA,2014-07-23T14:40:59Z,2014-07-23T14:40:59Z
89,6,2,1951,1,2013-07-20,2014-07-19,TRUE,NA,NA,2014-05-06T16:24:38Z,2014-05-07T11:59:41Z
92,7,1,2318,2,2015-07-20,2016-07-19,TRUE,NA,NA,2015-07-21T18:31:43Z,2015-07-21T18:31:43Z
45,2,1,1096,2,2006-07-20,2007-07-19,TRUE,NA,NA,2014-05-06T15:16:37Z,2014-05-07T12:32:32Z
47,2,1,1178,1,2006-07-20,2007-07-19,TRUE,NA,NA,2014-05-06T15:18:10Z,2014-05-07T12:32:48Z
46,2,1,1195,1,2006-07-20,2007-07-19,TRUE,NA,NA,2014-05-06T15:17:17Z,2014-05-07T12:33:10Z
87,6,2,1741,NA,2013-07-20,2014-07-19,TRUE,NA,NA,2014-05-06T16:22:50Z,2014-07-23T14:35:10Z
93,7,1,2264,1,2015-07-20,2016-07-19,TRUE,NA,NA,2015-07-21T18:32:08Z,2015-07-21T18:32:08Z
94,7,1,2349,1,2015-07-20,2016-07-19,TRUE,NA,NA,2015-07-21T18:32:31Z,2015-07-21T18:32:31Z
95,7,2,2185,2,2015-07-20,2016-07-19,TRUE,NA,NA,2015-07-21T18:32:54Z,2015-07-21T18:32:54Z
96,7,2,2137,1,2015-07-20,2016-07-19,TRUE,NA,NA,2015-07-21T18:33:14Z,2015-07-21T18:33:14Z
97,7,2,2234,1,2015-07-20,2016-07-19,TRUE,NA,NA,2015-07-21T18:33:43Z,2015-07-21T18:33:43Z
98,7,1,2337,2,2016-07-20,2017-07-19,TRUE,NA,NA,2016-07-21T13:35:47Z,2016-07-21T13:35:47Z
101,7,2,2365,2,2016-07-20,2017-07-19,TRUE,NA,NA,2016-07-21T13:41:42Z,2016-07-21T13:41:42Z
99,7,1,2279,1,2016-07-20,2017-07-19,TRUE,NA,NA,2016-07-21T13:36:19Z,2016-07-21T13:41:54Z
100,7,1,2275,1,2016-07-20,2017-07-19,TRUE,NA,NA,2016-07-21T13:36:37Z,2016-07-21T13:42:02Z
102,7,2,2232,1,2016-07-20,2017-07-19,TRUE,NA,NA,2016-07-21T13:42:57Z,2016-07-21T13:42:57Z
103,7,2,2222,1,2016-07-20,2017-07-19,TRUE,NA,NA,2016-07-21T13:43:20Z,2016-07-21T13:43:20Z
