id,proyecto_ley_estado_id,congresista_id,tipo_publicacion_proyecto_ley_id,es_coordinador,activo,usercreated,usermodifed
41834,30769,2072,NA,NA,NA,NA,NA
41835,30769,1637,NA,NA,NA,NA,NA
41835,30769,1050,NA,NA,NA,NA,NA
41835,30769,2330,NA,NA,NA,NA,NA
36744,7986,434,NA,NA,NA,NA,NA
36744,7986,788,NA,NA,NA,NA,NA
36744,7986,994,NA,NA,NA,NA,NA
36744,7986,1692,NA,NA,NA,NA,NA
36744,7986,2358,NA,NA,NA,NA,NA
41836,30769,977,NA,NA,NA,NA,NA
41836,30769,2336,NA,NA,NA,NA,NA
41836,30769,1605,NA,NA,NA,NA,NA
41836,30769,2624,NA,NA,NA,NA,NA
49870,35043,295,NA,NA,NA,NA,NA
49870,35043,1190,NA,NA,NA,NA,NA
49870,35043,1366,NA,NA,NA,NA,NA
49871,35045,295,NA,NA,NA,NA,NA
49871,35045,1190,NA,NA,NA,NA,NA
49871,35045,1366,NA,NA,NA,NA,NA
36748,9614,1474,NA,NA,NA,NA,NA
36748,9614,1854,NA,NA,NA,NA,NA
36749,9614,434,NA,NA,NA,NA,NA
36749,9614,788,NA,NA,NA,NA,NA
36749,9614,994,NA,NA,NA,NA,NA
36749,9614,1692,NA,NA,NA,NA,NA
36749,9614,2358,NA,NA,NA,NA,NA
49872,35049,271,NA,NA,NA,NA,NA
49872,35049,692,NA,NA,NA,NA,NA
49873,35047,271,NA,NA,NA,NA,NA
49873,35047,692,NA,NA,NA,NA,NA
24220,10516,754,NA,NA,NA,NA,NA
24220,10516,981,NA,NA,NA,NA,NA
24220,10516,1698,NA,NA,NA,NA,NA
24221,10516,1612,NA,NA,NA,NA,NA
24221,10516,1057,NA,NA,NA,NA,NA
24222,10516,1118,NA,NA,NA,NA,NA
24222,10516,1764,NA,NA,NA,NA,NA
24223,10516,1788,NA,NA,NA,NA,NA
24223,10516,2363,NA,NA,NA,NA,NA
53845,37089,1407,NA,NA,NA,NA,NA
53845,37089,1406,NA,NA,NA,NA,NA
53845,37089,1405,NA,NA,NA,NA,NA
53845,37089,1802,NA,NA,NA,NA,NA
53845,37089,2201,NA,NA,NA,NA,NA
53845,37089,2625,NA,NA,NA,NA,NA
53846,37089,1804,NA,NA,NA,NA,NA
53846,37089,2205,NA,NA,NA,NA,NA
53846,37089,2474,NA,NA,NA,NA,NA
24224,10516,1064,NA,NA,NA,NA,NA
24225,10516,703,NA,NA,NA,NA,NA
24225,10516,1167,NA,NA,NA,NA,NA
24226,10516,1710,NA,NA,NA,NA,NA
24226,10516,1192,NA,NA,NA,NA,NA
24226,10516,389,NA,NA,NA,NA,NA
24226,10516,1880,NA,NA,NA,NA,NA
24226,10516,2283,NA,NA,NA,NA,NA
49874,3932,295,NA,NA,NA,NA,NA
49874,3932,1190,NA,NA,NA,NA,NA
49874,3932,1366,NA,NA,NA,NA,NA
37102,7248,1485,NA,NA,NA,NA,NA
49875,3932,271,NA,NA,NA,NA,NA
49875,3932,692,NA,NA,NA,NA,NA
50224,2730,306,NA,NA,NA,NA,NA
50224,2730,715,NA,NA,NA,NA,NA
50225,2730,333,NA,NA,NA,NA,NA
24227,10516,1083,NA,NA,NA,NA,NA
24228,10516,1026,NA,NA,NA,NA,NA
24228,10516,1365,NA,NA,NA,NA,NA
24228,10516,1952,NA,NA,NA,NA,NA
37103,7248,239,NA,NA,NA,NA,NA
37103,7248,1108,NA,NA,NA,NA,NA
37103,7248,676,NA,NA,NA,NA,NA
37104,7248,1349,NA,NA,NA,NA,NA
37104,7248,1348,NA,NA,NA,NA,NA
37104,7248,1347,NA,NA,NA,NA,NA
37105,7248,1129,NA,NA,NA,NA,NA
37105,7248,683,NA,NA,NA,NA,NA
37105,7248,1778,NA,NA,NA,NA,NA
37105,7248,2451,NA,NA,NA,NA,NA
37106,7248,1480,NA,NA,NA,NA,NA
37106,7248,1482,NA,NA,NA,NA,NA
37106,7248,1481,NA,NA,NA,NA,NA
37106,7248,1708,NA,NA,NA,NA,NA
37106,7248,2276,NA,NA,NA,NA,NA
37107,7248,1490,NA,NA,NA,NA,NA
37107,7248,1492,NA,NA,NA,NA,NA
37107,7248,1491,NA,NA,NA,NA,NA
37107,7248,1660,NA,NA,NA,NA,NA
37107,7248,2255,NA,NA,NA,NA,NA
37107,7248,2587,NA,NA,NA,NA,NA
37108,7248,628,NA,NA,NA,NA,NA
37109,7248,791,NA,NA,NA,NA,NA
37109,7248,1092,NA,NA,NA,NA,NA
37109,7248,1758,NA,NA,NA,NA,NA
37110,7248,1501,NA,NA,NA,NA,NA
37110,7248,1502,NA,NA,NA,NA,NA
37110,7248,1500,NA,NA,NA,NA,NA
37110,7248,1662,NA,NA,NA,NA,NA
37110,7248,2257,NA,NA,NA,NA,NA
37111,7248,744,NA,NA,NA,NA,NA
37111,7248,1182,NA,NA,NA,NA,NA
37111,7248,357,NA,NA,NA,NA,NA
37111,7248,2098,NA,NA,NA,NA,NA
37111,7248,2390,NA,NA,NA,NA,NA
37112,7248,235,NA,NA,NA,NA,NA
37112,7248,673,NA,NA,NA,NA,NA
37112,7248,1627,NA,NA,NA,NA,NA
37112,7248,1111,NA,NA,NA,NA,NA
37113,7248,9,NA,NA,NA,NA,NA
37113,7248,524,NA,NA,NA,NA,NA
37114,7248,1747,NA,NA,NA,NA,NA
37114,7248,1748,NA,NA,NA,NA,NA
37116,7248,723,NA,NA,NA,NA,NA
37117,7248,15,NA,NA,NA,NA,NA
37117,7248,529,NA,NA,NA,NA,NA
37117,7248,1069,NA,NA,NA,NA,NA
37117,7248,1799,NA,NA,NA,NA,NA
37117,7248,2303,NA,NA,NA,NA,NA
37118,7248,1510,NA,NA,NA,NA,NA
24229,10516,608,NA,NA,NA,NA,NA
24229,10516,1147,NA,NA,NA,NA,NA
24229,10516,143,NA,NA,NA,NA,NA
37119,7248,283,NA,NA,NA,NA,NA
37119,7248,702,NA,NA,NA,NA,NA
37121,7248,1750,NA,NA,NA,NA,NA
37121,7248,1749,NA,NA,NA,NA,NA
37122,7248,802,NA,NA,NA,NA,NA
37122,7248,1096,NA,NA,NA,NA,NA
37122,7248,1592,NA,NA,NA,NA,NA
37123,7248,1416,NA,NA,NA,NA,NA
37123,7248,1417,NA,NA,NA,NA,NA
37123,7248,1418,NA,NA,NA,NA,NA
37124,7248,304,NA,NA,NA,NA,NA
37124,7248,712,NA,NA,NA,NA,NA
37125,7248,1676,NA,NA,NA,NA,NA
37125,7248,1397,NA,NA,NA,NA,NA
37125,7248,1398,NA,NA,NA,NA,NA
37125,7248,1396,NA,NA,NA,NA,NA
37126,7248,1602,NA,NA,NA,NA,NA
37126,7248,1403,NA,NA,NA,NA,NA
37126,7248,1404,NA,NA,NA,NA,NA
37126,7248,1402,NA,NA,NA,NA,NA
37127,7248,915,NA,NA,NA,NA,NA
37128,7248,314,NA,NA,NA,NA,NA
37128,7248,1350,NA,NA,NA,NA,NA
37129,7248,1879,NA,NA,NA,NA,NA
37129,7248,402,NA,NA,NA,NA,NA
37130,7248,48,NA,NA,NA,NA,NA
37130,7248,551,NA,NA,NA,NA,NA
37131,7248,490,NA,NA,NA,NA,NA
37131,7248,832,NA,NA,NA,NA,NA
37131,7248,1199,NA,NA,NA,NA,NA
53847,37089,548,NA,NA,NA,NA,NA
53847,37089,1210,NA,NA,NA,NA,NA
53847,37089,1715,NA,NA,NA,NA,NA
53848,37089,1761,NA,NA,NA,NA,NA
53848,37089,2153,NA,NA,NA,NA,NA
53848,37089,2431,NA,NA,NA,NA,NA
53849,37089,1732,NA,NA,NA,NA,NA
53849,37089,2141,NA,NA,NA,NA,NA
53850,37089,1341,NA,NA,NA,NA,NA
53850,37089,1340,NA,NA,NA,NA,NA
53850,37089,1339,NA,NA,NA,NA,NA
53850,37089,1654,NA,NA,NA,NA,NA
53850,37089,2253,NA,NA,NA,NA,NA
53851,37089,859,NA,NA,NA,NA,NA
53851,37089,1630,NA,NA,NA,NA,NA
53851,37089,1114,NA,NA,NA,NA,NA
37132,7248,51,NA,NA,NA,NA,NA
37132,7248,553,NA,NA,NA,NA,NA
24230,10516,962,NA,NA,NA,NA,NA
24230,10516,1572,NA,NA,NA,NA,NA
24231,10516,494,NA,NA,NA,NA,NA
24231,10516,834,NA,NA,NA,NA,NA
24231,10516,1149,NA,NA,NA,NA,NA
24232,10516,1676,NA,NA,NA,NA,NA
24232,10516,1397,NA,NA,NA,NA,NA
24232,10516,1398,NA,NA,NA,NA,NA
24232,10516,1396,NA,NA,NA,NA,NA
24233,10516,1395,NA,NA,NA,NA,NA
24233,10516,1579,NA,NA,NA,NA,NA
24233,10516,1394,NA,NA,NA,NA,NA
37133,7248,410,NA,NA,NA,NA,NA
37133,7248,776,NA,NA,NA,NA,NA
37134,7248,316,NA,NA,NA,NA,NA
37134,7248,718,NA,NA,NA,NA,NA
37134,7248,1156,NA,NA,NA,NA,NA
37135,7248,1374,NA,NA,NA,NA,NA
37135,7248,1375,NA,NA,NA,NA,NA
37136,7248,419,NA,NA,NA,NA,NA
37136,7248,779,NA,NA,NA,NA,NA
37136,7248,1044,NA,NA,NA,NA,NA
37136,7248,1949,NA,NA,NA,NA,NA
37137,7248,155,NA,NA,NA,NA,NA
37137,7248,1207,NA,NA,NA,NA,NA
37306,20713,492,NA,NA,NA,NA,NA
37306,20713,833,NA,NA,NA,NA,NA
37307,20713,936,NA,NA,NA,NA,NA
37308,20713,532,NA,NA,NA,NA,NA
