id,nombre,departamento_id,activo,usercreated,usermodifed,created_at,updated_at
235,Alpujarra,31,T,,,,
236,Entreríos,3,T,,,,
237,Chinchiná,8,T,,,,
238,Buenaventura,32,T,,,,
239,Facatativá,15,T,,,,
240,San Juan de Rioseco,15,T,,,,
241,Puerto Inírida,16,T,,,,
242,Algeciras,18,T,,,,
243,Yarumal,3,T,,,,
244,Itagüí,3,T,,,,
245,Santa Rosa de Osos,3,T,,,,
246,Argelia,3,T,,,,
247,Tame,4,T,,,,
248,San Antero,14,T,,,,
249,Palermo,7,T,,,,
250,Tuluá,32,T,,,,
251,Chinavita,7,T,,,,
252,Socha,7,T,,,,
253,Samaná,8,T,,,,
254,Chocontá,15,T,,,,
255,Quetame,15,T,,,,
256,Maceo,3,T,,,,
257,Santa María,18,T,,,,
258,Pitalito,18,T,,,,
259,Pijiño del Carmen,20,T,,,,
260,Gramalote,24,T,,,,
261,Dosquebradas,27,T,,,,
262,Buenavista,26,T,,,,
263,Los Santos,29,T,,,,
264,Honda,31,T,,,,
265,Roldanillo,32,T,,,,
266,Buga,32,T,,,,
267,Restrepo,32,T,,,,
268,Puerto Lleras,22,T,,,,
269,Caucasia,3,T,,,,
270,Acacias,22,T,,,,
271,San Onofre,30,T,,,,
272,Tarapacá,2,T,,,,
273,Curumaní,12,T,,,,
274,Aguachica,12,T,,,,
275,Uribia,19,T,,,,
276,Girardot,15,T,,,,
277,San Luis de Palenque,10,T,,,,
278,San Benito Abad,30,T,,,,
279,Santuario,3,T,,,,
280,Tumaco,23,T,,,,
281,Ciénaga de Oro,14,T,,,,
282,Timbío,11,T,,,,
283,Risaralda,8,T,,,,
290,Santa Rosa de Cabal,27,T,,,,
285,Sucre,29,T,,,,
286,Guaduas,15,T,,,,
287,Fómeque,15,T,,,,
291,San José de Albán,23,T,,,,
292,Cajamarca,31,T,,,,
293,Guapotá,29,T,,,,
294,San José de la Montaña,3,T,,,,
295,Garzón,18,T,,,,
296,Luruaco,5,T,,,,
297,Zulia,24,T,,,,
298,Puerto Leguízamo,25,T,,,,
299,Maicao,19,T,,,,
300,Mogotes,29,T,,,,
301,San Agustín,18,T,,,,
302,Condoto,13,T,,,,
303,Baraya,18,T,,,,
305,Carmen de Carupa,15,T,,,,
306,Caldono,11,T,,,,
307,Puerto Rondón,4,T,,,,
308,Ipiales,23,T,,,,
309,Bet-jalá Palestina,36,T,,,,
310,Arenal,6,T,,,,
311,Plato,20,T,,,,
312,Riosucio,8,T,,,,
227,Fonseca,19,T,,,,
207,Villanueva,19,T,,,,
340,Palocabildo,31,T,,,,
30,Riohacha,19,T,,,,
318,Caicedonia,32,T,,,,
319,Guacamayas,7,T,,,,
320,Jamundí,32,T,,,,
313,San Andrés de Sotavento,14,T,,,,
341,Paz de Ariporo,10,T,,,,
315,Soplaviento,6,T,,,,
316,Sandoná,23,T,,,,
317,Neira,8,T,,,,
321,Achí,6,T,,,,
323,San Diego,12,T,,,,
324,Yolombó,3,T,,,,
325,San Vicente Ferrer,3,T,,,,
326,Pauna,7,T,,,,
327,Fredonia,3,T,,,,
328,Gamarra,12,T,,,,
329,La Paz,12,T,,,,
330,Juan de la Costa,19,T,,,,
331,Sampuez,30,T,,,,
332,San Marcos,30,T,,,,
336,Mitú,33,T,,,,
343,Bogotá,1,T,,,,
348,Cali,32,T,,,,
366,Santa Bárbara,3,T,,,,
367,Puerto Boyacá,7,T,,,,
352,Yaguará,18,T,,,,
353,Pivijay,20,T,,,,
354,Pitalito,18,T,,,,
357,Robles,32,T,,,,
358,Ciudad Bolívar,3,T,,,,
360,Bajo Baudó,13,T,,,,
361,Santa Rita de Ituango,3,T,,,,
362,Cunday,31,T,,,,
363,Mallama,23,T,,,,
364,Chima,29,T,,,,
368,Betania,3,T,,,,
369,Sabanalarga,5,T,,,,
370,Viterbo,8,T,,,,
371,Sutamarchán,7,T,,,,
372,Une,15,T,,,,
373,Calamar,6,T,,,,
374,Nunchía,10,T,,,,
375,Guatapé,3,T,,,,
376,Cáceres,3,T,,,,
377,Chinú,14,T,,,,
378,Cocorná,3,T,,,,
379,Argelia,11,T,,,,
380,Aldana,23,T,,,,
381,San Francisco,25,T,,,,
382,Rovira,31,T,,,,
383,Zona Bananera,20,T,,,,
384,Salgar,3,T,,,,
385,Samacá,7,T,,,,
386,Aranzazu,8,T,,,,
387,Sardinata,24,T,,,,
388,Vélez,29,T,,,,
389,Riosucio,13,T,,,,
390,Convención,24,T,,,,
391,Tello,18,T,,,,
392,El Cocuy,7,T,,,,
393,María la Baja,6,T,,,,
394,Unguía,13,T,,,,
395,Trujillo,32,T,,,,
396,Zapatoca,29,T,,,,
397,Santa Rosalía,34,T,,,,
398,Altamira,18,T,,,,
399,Firavitoba,7,T,,,,
400,Paz del Río,7,T,,,,
401,Armero,31,T,,,,
402,Santo Tomás,5,T,,,,
403,Olaya,11,T,,,,
404,Santander de Quilichao,11,T,,,,
405,Pelaya,12,T,,,,
406,Valencia,14,T,,,,
407,La Vega,15,T,,,,
408,Soacha,15,T,,,,
409,Piedras,31,T,,,,
410,Murillo,31,T,,,,
411,Roncesvalles,31,T,,,,
412,Nemocón,15,T,,,,
413,Funza,15,T,,,,
414,Sibaté,15,T,,,,
415,Cota,15,T,,,,
416,San José del Guaviare,17,T,,,,
417,El Retorno,17,T,,,,
418,Palermo,18,T,,,,
419,La Florida,23,T,,,,
420,Arboledas,24,T,,,,
421,Labateca,24,T,,,,
422,Turmequé,7,T,,,,
423,Génova,26,T,,,,
424,Anserma,8,T,,,,
425,Carurú,33,T,,,,
426,Pinchote,29,T,,,,
427,Villanueva,6,T,,,,
428,Paipa,7,T,,,,
429,Balboa,27,T,,,,
430,Tipacoque,7,T,,,,
431,San Pedro,30,T,,,,
432,Pácora,8,T,,,,
433,Páez,11,T,,,,
434,Granada,22,T,,,,
435,Salento,26,T,,,,
436,Bruselas,36,T,,,,
438,Momil,14,T,,,,
439,Villanueva,10,T,,,,
440,Albania,19,T,,,,
441,Vigia del Fuerte,3,T,,,,
442,Marquetalia,8,T,,,,
443,Aquitania,7,T,,,,
444,Turbaco,6,T,,,,
445,La Ceja,3,T,,,,
446,Herveo,31,T,,,,
447,Manta,15,T,,,,
448,Madrid,15,T,,,,
449,La Palma,15,T,,,,
450,Quipile,15,T,,,,
451,Dibulla,19,T,,,,
452,Topaipí,15,T,,,,
453,Agua de Dios,15,T,,,,
454,La Mesa,15,T,,,,
455,Gachancipá,15,T,,,,
456,Cajicá,15,T,,,,
457,Pacho,15,T,,,,
458,Pueblo Rico,27,T,,,,
459,Timaná,18,T,,,,
460,Oiba,29,T,,,,
461,Villeta,15,T,,,,
462,Junin,15,T,,,,
463,Dagua,32,T,,,,
464,Mariquita,31,T,,,,
465,Chiscas,7,T,,,,
466,Landázuri,29,T,,,,
467,Becerril,12,T,,,,
468,Mercaderes,11,T,,,,
469,Charalá,29,T,,,,
470,Santa Cruz de Monpox,6,T,,,,
471,Cañasgordas,3,T,,,,
472,San Joaquín,29,T,,,,
473,Isnos,18,T,,,,
474,Sativasur,7,T,,,,
475,Puerto López,22,T,,,,
476,Enciso,29,T,,,,
477,Andagoya,13,T,,,,
478,Caldas,3,T,,,,
479,San Jacinto,6,T,,,,
480,Baranoa,5,T,,,,
481,San Carlos,3,T,,,,
482,Sesquilé,15,T,,,,
483,Caloto,11,T,,,,
484,Charta,29,T,,,,
485,San Vicente del Caguán,9,T,,,,
486,El Charco,23,T,,,,
487,San Mateo,7,T,,,,
488,Turbo,3,T,,,,
489,Cuaspud,23,T,,,,
490,Arboletes,3,T,,,,
491,La Chorrera,2,T,,,,
492,Manaure,19,T,,,,
493,San Bernardo,15,T,,,,
494,Saboyá,7,T,,,,
495,Repelón,5,T,,,,
496,Acevedo,18,T,,,,
497,Dabeiba,3,T,,,,
498,El Paujil,9,T,,,,
499,Cucunubá,15,T,,,,
500,Bojayá,13,T,,,,
501,El Difícil,20,T,,,,
502,Funes,23,T,,,,
503,La Virginia,27,T,,,,
504,Ayapel,14,T,,,,
505,San Pelayo,14,T,,,,
506,La Apartada,14,T,,,,
507,Planadas,31,T,,,,
508,Dolores,31,T,,,,
509,Natagaima,31,T,,,,
510,Pueblo Nuevo,14,T,,,,
511,El Roble,30,T,,,,
512,Morroa,30,T,,,,
513,Aguazul,10,T,,,,
514,Jerico,3,T,,,,
515,Don Matías,3,T,,,,
516,Malaga,29,T,,,,
517,Pisba,7,T,,,,
518,Gigante,18,T,,,,
519,Palmar,29,T,,,,
520,Barrancas,19,T,,,,
521,El Dovio,32,T,,,,
522,Valle del Guamez,25,T,,,,
523,Liborina,3,T,,,,
524,Capitanejo,29,T,,,,
525,Mompox,6,T,,,,
526,Villapinzón,15,T,,,,
527,La Unión,23,T,,,,
528,Barbosa,3,T,,,,
529,Norcasia,8,T,,,,
530,Ariguaní,20,T,,,,
531,Zapayán,20,T,,,,
532,Ituango,3,T,,,,
533,Puerto Berrío,3,T,,,,
534,Toluviejo,30,T,,,,
535,"Nueva York, Estados Unidos",36,T,,,,
