id,nombres,apellidos,fechaNacimiento,municipio_id_nacimiento,profesion_id,genero_id,fecha_fallecimiento,perfil_educativo,grado_estudio_id,activo,usercreated,usermodifed,created_at,updated_at
2051,Betty Esperanza,Moreno Ramirez,1961-09-01,4,177,2,NA,NA,NA,1,NA,NA,2010-02-10 15:57:00,2021-01-31 10:43:00
2052,Jacqueline Dolores,Maestre Orozco,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-10 16:20:00,2013-11-15 14:15:00
2053,Segundo Raul,Delgado Guerrero,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 16:28:00,2018-01-29 14:11:00
2054,Alvaro Arturo,Granja Bucheli,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 16:35:00,2018-01-30 18:30:00
2055,Maria Dorila,Diaz Valentierra,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-10 16:38:00,2018-01-23 18:50:00
2056,Jairo Leon,Bravo Velez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 16:40:00,2018-01-23 13:40:00
2057,Alexander,Nastascuas Ortiz,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 16:43:00,2013-11-15 14:15:00
2058,Ivan,Tabares Marin,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 16:45:00,2018-01-22 17:55:00
2059,Juan Carlos,Ramirez España,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 16:47:00,2018-01-22 16:15:00
2060,Giovanni,Lopez Sanchez,1978-09-02,NA,175,1,NA,NA,16,1,NA,NA,2010-02-10 16:50:00,2018-03-06 19:53:00
2062,Luis Eduardo,Galindo Saavedra,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 16:55:00,2014-07-18 10:03:00
2063,Emmanuel,Herrera Argote,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 16:57:00,2014-07-18 10:03:00
2064,Tiberio,Gomez Bohorquez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 17:00:00,2018-01-23 20:47:00
2065,Jose Milton,Mesa Duarte,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 17:02:00,2018-02-09 17:42:00
2066,Jimmy,Forero Castaño,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 17:02:00,2014-07-18 10:03:00
2067,Cesar Augusto,Lemos Posso,NA,NA,174,1,NA,NA,16,1,NA,NA,2010-02-10 17:11:00,2018-09-10 16:00:00
2068,Rodrigo Santiago,Perez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 17:14:00,2018-01-23 18:15:00
2070,Jorge Hernan,Serna Gomez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 17:21:00,2018-01-26 15:17:00
2071,Oscar Armando,Rodriguez Sanchez,NA,239,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 17:22:00,2018-03-13 15:30:00
2072,Carlos Humberto,Suarez Becerra,NA,27,196,1,NA,NA,16,1,NA,NA,2010-02-10 17:25:00,2018-01-26 15:22:00
2073,Yomar Andres,Benitez Alvarez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 17:29:00,2018-01-23 13:48:00
2075,Jaime Asis,Velasquez Camargo,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 17:36:00,2018-01-23 19:31:00
2076,Teresa De Jesus,Muñoz Lopera,NA,NA,219,2,NA,NA,5,1,NA,NA,2010-02-10 20:49:00,2018-03-03 18:47:00
2077,Henry,Quiceno Nieto,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 21:01:00,2013-11-15 14:15:00
2078,Maria Graciela,Serrano Scarpetta,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-10 21:43:00,2018-02-09 17:33:00
2080,Jimmy Javier,Sierra Palacio,1970-08-01,30,174,1,NA,NA,5,1,NA,NA,2010-02-10 22:00:00,2021-02-18 01:24:00
2081,Roberto Rafael,Bornacelli Guerrero,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-10 22:07:00,2014-07-22 12:21:00
2082,German,Velasquez Suarez,1965-03-03,4,181,1,NA,NA,16,1,NA,NA,2010-02-11 13:03:00,2021-03-10 20:09:00
2083,Hugo Orlando,Velasquez Jaramillo,NA,12,174,1,NA,NA,16,1,NA,NA,2010-02-11 13:12:00,2021-03-12 20:04:00
2084,Alejandro Carlos,Chacón Camargo,1972-10-02,6,174,1,NA,NA,5,1,NA,NA,2010-02-11 13:47:00,2021-03-18 13:12:00
2085,Luis Alejandro,Alvarez Ramirez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 15:33:00,2018-01-22 16:08:00
2087,German Mauricio,Escobar Latorre,NA,4,209,1,NA,NA,NA,1,NA,NA,2010-02-11 15:45:00,2018-01-23 15:13:00
2088,Josue,Gastelbondo Amaya,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 15:49:00,2014-07-18 10:03:00
2089,Gilber Marao,Martinez Sanchez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 15:52:00,2018-01-22 18:10:00
2090,Jose Salomon,Meneses Meneses,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 15:56:00,2018-01-23 19:28:00
2091,Pedro,Guzman Castañeda Sanchez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 16:00:00,2018-01-23 16:38:00
2092,Jorge Orlando,Cuellar Mancilla,1976-11-15,4,180,1,NA,NA,11,1,NA,NA,2010-02-11 16:02:00,2014-07-18 10:03:00
2093,Juan Mauricio,Lopez Gutierrez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 16:05:00,2018-01-26 15:09:00
2094,Juan Federico,Sierra Carvajal,1972-10-23,4,180,1,NA,NA,16,1,NA,NA,2010-02-11 16:09:00,2013-11-15 14:15:00
2095,Alcibiadez,Escue Musicue,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 16:11:00,2014-07-18 10:03:00
2096,Carlos Emiro,Solarte Otero,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 16:13:00,2013-11-15 14:15:00
2097,Temístocles,Ortega Narváez,1954-10-21,468,174,1,NA,NA,5,1,NA,NA,2010-02-11 16:18:00,2021-03-19 16:05:00
2098,Tulio Enrique,Montaño Salgado,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 16:23:00,2013-11-15 14:15:00
2099,Gamaliel,Brunal Hernandez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 16:26:00,2018-01-23 14:23:00
2100,Alonso,Ojeda Prieto,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 16:40:00,2013-11-15 14:15:00
2101,Reinaldo,Duque Gonzalez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 17:17:00,2018-01-26 17:49:00
2102,Francisco Antonio,Coronel Lopez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 19:43:00,2018-01-26 15:06:00
2103,Vidal Antonio,Rangel Rincon,1953-03-30,NA,182,1,NA,NA,NA,1,NA,NA,2010-02-11 19:54:00,2018-01-24 20:59:00
2104,Octavio,Martinez Acuña,1963-03-05,206,174,1,NA,NA,16,1,NA,NA,2010-02-11 20:03:00,2018-01-23 15:20:00
2106,Hugo Adrian,Corrales Gallego,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 20:34:00,2018-01-26 17:03:00
2107,Carlos Alberto,Barros Mattos,NA,207,209,1,NA,NA,12,1,NA,NA,2010-02-11 20:37:00,2020-11-24 17:26:00
2108,Yolanda,Duque Naranjo,NA,208,174,2,NA,NA,4,1,NA,NA,2010-02-11 20:45:00,2021-02-16 02:32:00
2109,Luciano,Grisales Londoño,1965-03-21,201,193,1,NA,NA,4,1,NA,NA,2010-02-11 20:59:00,2021-03-17 11:20:00
2110,Carlos Alberto,Castro Maya,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 21:30:00,2021-03-08 05:02:00
2111,Sergio,Diazgranados Guida,1968-10-03,74,174,1,NA,NA,11,1,NA,NA,2010-02-11 21:38:00,2021-03-16 01:45:00
2112,Jaime Dario,Espeleta Herrera,NA,57,174,1,NA,NA,NA,1,NA,NA,2010-02-11 21:53:00,2021-03-13 01:22:00
2113,Clara Leticia,Rojas Gonzalez,1964-12-20,4,174,2,NA,NA,5,1,NA,NA,2010-02-11 21:55:00,2021-03-09 02:01:00
2114,Franklin Segundo,Garcia Rodriguez,NA,NA,174,1,NA,NA,16,1,NA,NA,2010-02-11 22:19:00,2021-03-09 03:52:00
2115,Cesar,Gomez Estrada,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-11 23:28:00,2018-01-23 20:47:00
2116,Yensi Alfonso,Acosta Castañez,1969-08-29,167,184,1,NA,NA,16,1,NA,NA,2010-02-12 13:52:00,2021-01-25 20:40:00
2117,Carlos,Gaviria Diaz,1937-05-08,196,174,1,NA,NA,NA,1,NA,NA,2010-02-12 13:55:00,2021-03-16 22:23:00
2118,Rohyman Giovanny,Garces Reina,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-12 14:12:00,2018-01-19 20:35:00
2119,Lina Marcela,Echeverri Cardenas,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-12 14:15:00,2018-01-23 15:39:00
2120,Jaime Antonio,Gonzalez Maragua,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-12 14:16:00,2021-03-08 03:39:00
2122,Nieva Amparo,Portilla Quintero,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-12 14:38:00,2013-11-15 14:15:00
2123,Jose Manuel,Bolaños Torres,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-12 14:41:00,2018-01-26 15:58:00
2124,Hugo Janio,Lopez Chaquea,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-12 15:25:00,2021-02-25 23:47:00
2125,Efren,Linares Bejarano,1932-04-17,NA,185,1,NA,NA,16,1,NA,NA,2010-02-12 15:29:00,2018-02-05 20:43:00
2126,Eleonora,Pineda Arcia,NA,211,187,2,NA,NA,12,1,NA,NA,2010-02-12 15:40:00,2021-03-12 18:56:00
2127,Hernando,Cardenas Cardoso,1965-11-06,137,174,1,NA,NA,4,1,NA,NA,2010-02-12 15:56:00,2021-03-17 18:32:00
2128,John Harol,Ramirez Florez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-12 16:10:00,2018-01-22 16:15:00
2129,Nestor Fabian,Romero Braga,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-12 16:14:00,2018-01-23 19:29:00
2130,Julio Cesar,Estrada Cordero,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-12 16:15:00,2018-09-10 16:00:00
2132,Efren Felix,Tarapues Cuaical,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-12 16:25:00,2021-03-19 03:05:00
2133,Monoku,Team,NA,4,NA,NA,NA,NA,NA,1,NA,NA,2010-02-12 16:30:00,2017-01-24 00:11:00
2198,Gina,Borré,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2010-02-15 15:28:00,2010-12-16 19:12:00
2207,Lenin Francisco,Saavedra,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-15 17:45:00,2013-11-15 14:15:00
2208,Luis Carlos,Berrocal Ortega,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-15 17:50:00,2014-07-22 12:21:00
2210,Alberto Buenaventura,Viteri Aguirre,NA,132,NA,1,NA,NA,NA,1,NA,NA,2010-02-15 20:46:00,2021-02-25 04:49:00
2211,Nelson Gerardo,Figueroa Villamil,NA,NA,180,1,NA,NA,16,1,NA,NA,2010-02-15 20:57:00,2021-02-22 18:28:00
2212,Carlos Julio,Galvis Anaya,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-15 21:17:00,2021-03-19 00:18:00
2213,Julio Cesar,Rodriguez Sanabria,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-15 21:51:00,2020-12-20 14:22:00
2214,Miguel Angel,Perez Gamboa,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-15 22:04:00,2021-02-08 09:41:00
2215,Oscar Alberto,Cuello Campo,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-15 22:21:00,2021-02-01 06:49:00
2216,Ernesto,Hernandez Jusayu,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 13:53:00,2018-01-23 14:19:00
2217,Floro Alberto,Tunubala Paja,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 13:58:00,2013-11-15 14:15:00
2218,Luis Humberto,Cuaspud Peregueza,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 14:07:00,2014-07-18 10:03:00
2219,Maria Lastenia,Pito Ramos,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-16 14:10:00,2018-01-23 15:23:00
2220,Jaime,Velasco Tumiña,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 14:18:00,2013-11-15 14:15:00
2221,Russi Ariel,Urrea Sanchez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 14:21:00,2018-01-23 15:04:00
2222,Sandro,Garzon Pizarro,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 14:24:00,2018-01-19 20:37:00
2223,Hector Fernando,Ramirez Velasquez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 14:24:00,2020-12-15 16:12:00
2224,Cesar Augusto,Andrade Moreno,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 14:39:00,2021-01-07 01:05:00
2225,Kevin Eduardo,Perez Valencia,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 14:45:00,2018-01-23 18:12:00
2226,Oscar Emilio,Sorza Salteren,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 14:55:00,2021-02-14 02:16:00
2227,Leonardo Antonio,Arboleda Patiño,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 15:07:00,2021-01-05 13:11:00
2228,Guillermo Hernando,Romo Insuasty,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 15:37:00,2021-02-04 07:26:00
2229,Felipe,Zuleta Lleras,1960-02-11,NA,174,1,NA,NA,16,1,NA,NA,2010-02-16 15:44:00,2013-11-15 14:15:00
2230,Sergio,Lopez Gomez,NA,6,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 15:48:00,2021-01-10 03:19:00
2231,Amparo,Arbelaez Escalante,1960-08-05,147,184,2,NA,NA,16,1,NA,NA,2010-02-16 15:50:00,2021-03-04 17:30:00
2232,Eleuterio,Cordoba Morelly,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 15:56:00,2021-03-16 07:32:00
2233,Eugenio Enrique,Prieto Soto,1962-09-10,12,182,1,NA,NA,5,1,NA,NA,2010-02-16 15:59:00,2021-03-08 16:55:00
2234,Sigifredo,Lopez Tobon,1963-10-29,85,174,1,NA,NA,4,1,NA,NA,2010-02-16 16:05:00,2018-01-22 17:50:00
2235,Marciana,Perea Chala,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-16 16:08:00,2013-11-15 14:15:00
2237,Ruben Dario,Ceballos Mendoza,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 16:14:00,2018-09-10 15:42:00
2238,Edinson,Delgado Ruiz,1959-08-20,238,185,1,NA,NA,4,1,NA,NA,2010-02-16 16:17:00,2021-03-09 16:52:00
2239,Aura Cristina,Geithner,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-16 16:21:00,2014-07-18 10:03:00
2240,Luis Francisco,Ovalle Llinas,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 16:23:00,2018-01-26 16:29:00
2241,Ruben Dario,Gomez Gualteros,NA,213,193,1,NA,NA,16,1,NA,NA,2010-02-16 16:36:00,2018-01-23 20:49:00
2242,Douglas Nevardo,Botia Guerra,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 16:36:00,2014-07-18 10:03:00
2243,Miryam,Olaya Dussan,NA,NA,180,2,NA,NA,NA,1,NA,NA,2010-02-16 16:42:00,2018-01-26 15:37:00
2244,Fernando,Correa Pelaez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 16:46:00,2018-02-09 16:46:00
2245,Carlos Rafael,Moreno Cubillos,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 16:52:00,2013-11-15 14:15:00
2246,Efrain Antonio,Torres Monsalvo,1978-02-28,5,175,1,NA,NA,16,1,NA,NA,2010-02-16 16:55:00,2021-03-04 01:08:00
2247,Carlos Arturo,Correa Mojica,1983-05-18,4,175,1,NA,NA,4,1,NA,NA,2010-02-16 17:03:00,2021-03-10 07:44:00
2248,Luis Alberto,Ninco Sanchez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 17:06:00,2018-01-23 16:39:00
2249,Jonatan,Sanchez Garavito,NA,214,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 17:12:00,2018-01-23 15:49:00
2250,Ernesto,Chaparro Gomez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 18:34:00,2021-02-28 23:20:00
2251,Gustavo Alonso,Bustamante Hernandez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 18:48:00,2021-02-25 01:44:00
2252,Gerson Bermont,Galavis,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 18:58:00,2014-07-18 10:03:00
2253,Juan Miguel,Mendez Molano,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 19:07:00,2018-01-26 15:41:00
2254,Hernando Jose,Salom Brito,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 19:09:00,2018-01-31 16:03:00
2255,Héctor Javier,Vergara Sierra,1978-11-24,41,175,1,NA,NA,16,1,NA,NA,2010-02-16 19:13:00,2021-02-25 16:26:00
2256,Ricardo Alfonso,Ferro Lozano,1973-08-30,146,174,1,NA,NA,5,1,NA,NA,2010-02-16 19:18:00,2021-03-16 07:18:00
2258,Yesid,Rivera Barragan,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 19:24:00,2018-01-23 14:53:00
2259,Orangel,Romero Ortega,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-16 21:30:00,2021-01-19 16:26:00
2261,John Jairo,Suarez Martinez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-17 15:46:00,2021-01-10 10:55:00
2262,Leandro,Rache Sanchez,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2010-02-17 15:54:00,2010-06-22 20:45:00
2263,Libardo Antonio,Taborda Castro,1960-09-21,262,193,1,NA,NA,5,1,NA,NA,2010-02-17 15:56:00,2021-01-07 07:04:00
2264,Gildardo,Ceballos Zuluaga,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-17 16:09:00,2014-07-18 10:03:00
2267,Angel Gabriel,Conde Romero,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-18 20:50:00,2018-01-23 19:30:00
2268,Carlos Abraham,Jiménez López,1982-04-28,114,193,1,NA,NA,16,1,NA,NA,2010-02-19 14:00:00,2021-03-17 16:07:00
2269,Cecilia,Balcazar De Bucher,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-19 14:05:00,2018-01-31 15:02:00
2273,Isabel,Guerrero Garica,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2010-02-21 16:33:00,2010-06-22 20:45:00
2277,Adolfo,Martinez Carrillo,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-22 20:01:00,2018-01-23 15:17:00
2278,Stefania,Modesto Polo,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2010-02-23 13:32:00,2010-04-15 14:34:00
2279,Juan Francisco,Lozano Ramirez,1964-03-19,4,174,1,NA,NA,16,1,NA,NA,2010-02-23 15:14:00,2021-03-13 05:45:00
2280,Cristian Fredy,Murcia Guzman,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-23 15:40:00,2018-01-23 17:48:00
2281,Jose Henry,Duarte Caceres,NA,NA,193,1,NA,NA,16,1,NA,NA,2010-02-23 15:47:00,2018-02-01 18:05:00
2282,Herman Emilio,Lozano Baez,1946-10-15,4,174,1,NA,NA,4,1,NA,NA,2010-02-23 15:53:00,2018-01-23 20:02:00
2284,Jorge Roman,Castañeda Prieto,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-23 15:58:00,2018-01-26 18:00:00
2285,Nelida Janeth,Garcia Mosquera,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-23 16:04:00,2018-01-22 16:48:00
2286,Pipe,M,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2010-02-23 20:12:00,2010-03-03 21:20:00
2287,Mauricio,Trujillo,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 13:13:00,2013-11-15 14:15:00
2289,Mercedes,Lopez Rodriguez,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 13:44:00,2018-01-24 14:54:00
2290,Hernando,Acevedo Lievano,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 13:47:00,2014-07-22 12:21:00
2291,Carlos David,Estupiñan Hurtado,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 13:50:00,2018-02-02 18:27:00
2292,Jorge Orlando,Barrientos Bautista,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 13:52:00,2014-07-22 12:21:00
2293,German Alexis,Boada Ortega,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 13:56:00,2018-01-23 13:59:00
2294,Pedro,Avellaneda Arismendi,NA,4,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 13:58:00,2014-07-22 12:21:00
2295,Roso Abel,Tarazona Duarte,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:01:00,2013-11-15 14:15:00
2296,Jose Antonio,Jansasoy Jacanomajoy,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:04:00,2018-01-22 18:45:00
2297,Edward Ecker,Martinez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:07:00,2018-01-23 15:20:00
2298,Jesus Miguel,Rosado Quintero,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:09:00,2017-09-04 16:54:00
2299,Jhon Alberto,Granados Jurado,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:12:00,2014-07-18 10:03:00
2300,Diana Patricia,Cortes Cardenas,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 14:14:00,2018-01-22 18:18:00
2301,Harlan,Lozano Quinto,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:16:00,2013-11-15 14:15:00
2302,Silvano,Pinzon Barbosa,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:20:00,2018-02-08 14:48:00
2303,Ruben,Boada Ballesteros,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:26:00,2018-01-23 14:40:00
2304,Hernando,Bedoya Galindo,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:51:00,2014-07-22 12:21:00
2305,Angélica,Lozano Correa,1976-05-07,4,174,2,NA,NA,5,1,NA,NA,2010-02-24 14:53:00,2021-03-15 18:23:00
2306,Nubia Cecilia,Quintero Calderon,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 14:54:00,2018-01-23 16:57:00
2307,Luis Alberto,Cabrera Jaramillo,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:56:00,2014-07-18 10:03:00
2308,Jhon Freddy,Patiño,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 14:59:00,2013-11-15 14:15:00
2309,Claudia Mercedes,Garavito Ruiz,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 15:01:00,2014-07-18 10:03:00
2310,Blanca Nelly,Lopez Murcia,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 15:06:00,2018-01-26 15:09:00
2311,Nicolas Rodrigo,Morales Bustamante,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:09:00,2018-01-23 15:34:00
2312,Carlos Gabriel,Genechy Ching,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:12:00,2014-07-18 10:03:00
2313,Jorge Isaac,Tobon Espinal,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:15:00,2018-01-22 17:50:00
2314,Jose Engelberto,Martin Garzon,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:19:00,2018-01-19 20:39:00
2315,Maria Paulina,Quintero Marin,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 15:22:00,2018-01-22 17:55:00
2316,Angel Maria,Soto Jojoa,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:25:00,2018-01-23 20:08:00
2317,Pedro Jose,Ibañez Torres,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:27:00,2018-01-26 15:57:00
2318,Fernando Augusto,Segura,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:29:00,2013-11-15 14:15:00
2319,Galo,Gelvez Carrero,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:33:00,2014-07-18 10:03:00
2320,Ricardo,Leon Guzman,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:36:00,2018-01-23 17:48:00
2321,Alvaro Andres,Cotes Cordoba,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:39:00,2017-08-22 16:54:00
2322,Octavio,Marquez Naranjo,1955-01-31,NA,182,1,NA,NA,16,1,NA,NA,2010-02-24 15:42:00,2018-01-29 14:23:00
2323,Angelica Maria,Carrascal Duran,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 15:44:00,2018-01-30 15:13:00
2324,Pablo Agustin,Bustos Plaza,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:49:00,2018-09-10 16:14:00
2325,Felipe,Mebarak Chadid,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:51:00,2013-11-15 14:15:00
2326,Carlos Arturo,Arzuaga Guerrero,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:53:00,2014-07-22 12:21:00
2327,Pastor Agustin,Suarez Ramon,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:55:00,2018-01-26 19:36:00
2328,Medardo,Garcia Molina,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 15:58:00,2018-01-22 16:48:00
2332,Manuel Oswaldo,Parra Parra,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 20:07:00,2013-11-15 14:15:00
2333,Carlos Armando,Molina Reyes,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-02-24 20:12:00,2013-11-15 14:15:00
2334,Clara Hortencia,Parra Achury,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 20:13:00,2013-11-15 14:15:00
2335,Carmen Rosa,Criollo De Diaz,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2010-02-24 20:33:00,2018-01-23 14:45:00
