id,control_politico_id,activo,usercreated,usermodifed,created_at,updated_at,congresista_id
3689,327,NA,NA,NA,NA,NA,1465
3693,326,NA,NA,NA,NA,NA,1395
3694,326,NA,NA,NA,NA,NA,1637
3695,326,NA,NA,NA,NA,NA,1612
3697,289,NA,NA,NA,NA,NA,1367
3698,289,NA,NA,NA,NA,NA,1032
3699,289,NA,NA,NA,NA,NA,747
3700,289,NA,NA,NA,NA,NA,1415
3701,289,NA,NA,NA,NA,NA,1712
3702,289,NA,NA,NA,NA,NA,991
3703,289,NA,NA,NA,NA,NA,1400
3725,325,NA,NA,NA,NA,NA,765
3898,333,NA,NA,NA,NA,NA,1788
3903,1025,NA,NA,NA,NA,NA,738
3904,1025,NA,NA,NA,NA,NA,1352
3910,1024,NA,NA,NA,NA,NA,1718
3913,1022,NA,NA,NA,NA,NA,1710
3914,1023,NA,NA,NA,NA,NA,1422
3915,1019,NA,NA,NA,NA,NA,1430
3939,1020,NA,NA,NA,NA,NA,1452
3940,1021,NA,NA,NA,NA,NA,1469
3942,1021,NA,NA,NA,NA,NA,1104
3943,1021,NA,NA,NA,NA,NA,1198
3944,1021,NA,NA,NA,NA,NA,1462
3955,408,NA,NA,NA,NA,NA,1480
3956,408,NA,NA,NA,NA,NA,155
3957,408,NA,NA,NA,NA,NA,235
3958,408,NA,NA,NA,NA,NA,429
3960,402,NA,NA,NA,NA,NA,1477
3961,402,NA,NA,NA,NA,NA,1495
3962,402,NA,NA,NA,NA,NA,604
3963,402,NA,NA,NA,NA,NA,1664
3964,402,NA,NA,NA,NA,NA,1395
3965,402,NA,NA,NA,NA,NA,1363
3966,402,NA,NA,NA,NA,NA,1637
3967,402,NA,NA,NA,NA,NA,1118
3968,402,NA,NA,NA,NA,NA,1244
4108,950,NA,NA,NA,NA,NA,1422
4109,950,NA,NA,NA,NA,NA,1480
4110,950,NA,NA,NA,NA,NA,1237
4137,949,NA,NA,NA,NA,NA,1563
4138,949,NA,NA,NA,NA,NA,1294
4139,949,NA,NA,NA,NA,NA,1349
4140,949,NA,NA,NA,NA,NA,590
4147,952,NA,NA,NA,NA,NA,548
4148,952,NA,NA,NA,NA,NA,1351
4151,370,NA,NA,NA,NA,NA,1341
4168,371,NA,NA,NA,NA,NA,238
4169,371,NA,NA,NA,NA,NA,1185
4170,371,NA,NA,NA,NA,NA,1198
4171,371,NA,NA,NA,NA,NA,1469
4172,371,NA,NA,NA,NA,NA,1462
4173,371,NA,NA,NA,NA,NA,1104
4174,371,NA,NA,NA,NA,NA,793
4175,371,NA,NA,NA,NA,NA,752
4177,365,NA,NA,NA,NA,NA,1309
4273,1044,NA,NA,NA,NA,NA,543
4274,368,NA,NA,NA,NA,NA,1495
4275,368,NA,NA,NA,NA,NA,1664
4276,368,NA,NA,NA,NA,NA,1612
4283,429,NA,NA,NA,NA,NA,1354
4360,417,NA,NA,NA,NA,NA,238
4361,417,NA,NA,NA,NA,NA,1426
4376,430,NA,NA,NA,NA,NA,772
4380,1045,NA,NA,NA,NA,NA,1143
4381,1045,NA,NA,NA,NA,NA,1427
4382,1045,NA,NA,NA,NA,NA,1676
4383,1045,NA,NA,NA,NA,NA,1179
4384,1045,NA,NA,NA,NA,NA,815
4385,1045,NA,NA,NA,NA,NA,744
4386,1045,NA,NA,NA,NA,NA,1193
4387,1045,NA,NA,NA,NA,NA,1237
4388,1045,NA,NA,NA,NA,NA,615
4389,1045,NA,NA,NA,NA,NA,1430
4390,386,NA,NA,NA,NA,NA,1351
4429,372,NA,NA,NA,NA,NA,1053
4430,372,NA,NA,NA,NA,NA,1090
4431,372,NA,NA,NA,NA,NA,1370
4432,372,NA,NA,NA,NA,NA,1437
4480,384,NA,NA,NA,NA,NA,1
4489,947,NA,NA,NA,NA,NA,1157
4490,427,NA,NA,NA,NA,NA,726
4491,427,NA,NA,NA,NA,NA,1206
4492,427,NA,NA,NA,NA,NA,1157
4507,418,NA,NA,NA,NA,NA,1718
4508,1084,NA,NA,NA,NA,NA,1206
4509,534,NA,NA,NA,NA,NA,726
4510,534,NA,NA,NA,NA,NA,1206
4511,534,NA,NA,NA,NA,NA,1157
4517,385,NA,NA,NA,NA,NA,405
4518,946,NA,NA,NA,NA,NA,2073
4519,946,NA,NA,NA,NA,NA,1687
4522,412,NA,NA,NA,NA,NA,1206
4523,409,NA,NA,NA,NA,NA,1595
4524,407,NA,NA,NA,NA,NA,1501
4525,945,NA,NA,NA,NA,NA,1612
4526,945,NA,NA,NA,NA,NA,1352
4527,945,NA,NA,NA,NA,NA,1679
4528,528,NA,NA,NA,NA,NA,737
4529,528,NA,NA,NA,NA,NA,1501
4530,528,NA,NA,NA,NA,NA,1718
4531,523,NA,NA,NA,NA,NA,737
4532,523,NA,NA,NA,NA,NA,1501
4533,523,NA,NA,NA,NA,NA,726
4536,420,NA,NA,NA,NA,NA,1016
4537,420,NA,NA,NA,NA,NA,1762
4539,420,NA,NA,NA,NA,NA,1126
4540,420,NA,NA,NA,NA,NA,1464
4544,1130,NA,NA,NA,NA,NA,619
4545,1130,NA,NA,NA,NA,NA,1762
4547,421,NA,NA,NA,NA,NA,1443
4548,421,NA,NA,NA,NA,NA,1503
4549,421,NA,NA,NA,NA,NA,1401
4550,421,NA,NA,NA,NA,NA,1129
4551,421,NA,NA,NA,NA,NA,1811
4552,421,NA,NA,NA,NA,NA,736
4553,1082,NA,NA,NA,NA,NA,1128
4554,1082,NA,NA,NA,NA,NA,992
4555,1082,NA,NA,NA,NA,NA,1743
4556,1082,NA,NA,NA,NA,NA,1260
4557,1082,NA,NA,NA,NA,NA,231
4558,1082,NA,NA,NA,NA,NA,1264
4559,1082,NA,NA,NA,NA,NA,961
4560,1082,NA,NA,NA,NA,NA,1313
4561,1082,NA,NA,NA,NA,NA,962
4562,1082,NA,NA,NA,NA,NA,1413
4563,1082,NA,NA,NA,NA,NA,932
4565,413,NA,NA,NA,NA,NA,1822
4566,413,NA,NA,NA,NA,NA,1568
4569,411,NA,NA,NA,NA,NA,1822
4570,411,NA,NA,NA,NA,NA,1568
4574,1086,NA,NA,NA,NA,NA,1422
4575,1086,NA,NA,NA,NA,NA,235
15624,422,NA,NA,NA,NA,NA,1
15627,428,NA,NA,NA,NA,NA,494
15628,400,NA,NA,NA,NA,NA,1676
19320,452,NA,NA,NA,NA,NA,1452
19322,1043,NA,NA,NA,NA,NA,745
19323,1043,NA,NA,NA,NA,NA,590
19325,1046,NA,NA,NA,NA,NA,537
35976,440,NA,NA,NA,NA,NA,1288
35977,440,NA,NA,NA,NA,NA,235
35978,440,NA,NA,NA,NA,NA,1237
35979,440,NA,NA,NA,NA,NA,429
35980,440,NA,NA,NA,NA,NA,1707
35981,1040,NA,NA,NA,NA,NA,1636
35984,456,NA,NA,NA,NA,NA,1465
35986,438,NA,NA,NA,NA,NA,1495
35987,438,NA,NA,NA,NA,NA,1664
35988,438,NA,NA,NA,NA,NA,1612
35989,437,NA,NA,NA,NA,NA,1452
35990,441,NA,NA,NA,NA,NA,548
35991,444,NA,NA,NA,NA,NA,1679
35992,552,NA,NA,NA,NA,NA,1452
37837,461,NA,NA,NA,NA,NA,1
39681,457,NA,NA,NA,NA,NA,615
39682,521,NA,NA,NA,NA,NA,1563
39715,472,NA,NA,NA,NA,NA,1679
39716,467,NA,NA,NA,NA,NA,1395
39717,467,NA,NA,NA,NA,NA,1788
39718,467,NA,NA,NA,NA,NA,1316
39719,467,NA,NA,NA,NA,NA,1612
39720,467,NA,NA,NA,NA,NA,1664
39721,467,NA,NA,NA,NA,NA,1637
39722,520,NA,NA,NA,NA,NA,1636
39723,517,NA,NA,NA,NA,NA,1636
39728,443,NA,NA,NA,NA,NA,1641
39729,443,NA,NA,NA,NA,NA,1460
39730,443,NA,NA,NA,NA,NA,1387
39732,471,NA,NA,NA,NA,NA,1351
39733,470,NA,NA,NA,NA,NA,714
39734,1076,NA,NA,NA,NA,NA,1563
39739,1074,NA,NA,NA,NA,NA,1427
39740,1074,NA,NA,NA,NA,NA,1381
39741,1074,NA,NA,NA,NA,NA,405
39743,463,NA,NA,NA,NA,NA,714
39744,482,NA,NA,NA,NA,NA,1381
39745,454,NA,NA,NA,NA,NA,2073
39746,454,NA,NA,NA,NA,NA,1251
39747,453,NA,NA,NA,NA,NA,1563
39748,450,NA,NA,NA,NA,NA,1381
39749,450,NA,NA,NA,NA,NA,405
39750,445,NA,NA,NA,NA,NA,1381
39751,445,NA,NA,NA,NA,NA,1251
39752,445,NA,NA,NA,NA,NA,405
39754,397,NA,NA,NA,NA,NA,1427
39755,460,NA,NA,NA,NA,NA,590
39756,459,NA,NA,NA,NA,NA,1752
39757,292,NA,NA,NA,NA,NA,1099
39758,292,NA,NA,NA,NA,NA,623
39759,292,NA,NA,NA,NA,NA,401
39760,292,NA,NA,NA,NA,NA,1430
39761,330,NA,NA,NA,NA,NA,1101
39762,330,NA,NA,NA,NA,NA,1679
39763,330,NA,NA,NA,NA,NA,623
39764,330,NA,NA,NA,NA,NA,590
39765,330,NA,NA,NA,NA,NA,1099
39766,330,NA,NA,NA,NA,NA,1351
39767,1058,NA,NA,NA,NA,NA,1464
39768,1058,NA,NA,NA,NA,NA,1762
39770,1058,NA,NA,NA,NA,NA,1016
39771,1058,NA,NA,NA,NA,NA,1388
39772,1058,NA,NA,NA,NA,NA,1126
39773,331,NA,NA,NA,NA,NA,619
39775,86,NA,NA,NA,NA,NA,1316
39776,86,NA,NA,NA,NA,NA,732
39777,86,NA,NA,NA,NA,NA,1637
39778,86,NA,NA,NA,NA,NA,791
39779,86,NA,NA,NA,NA,NA,962
39785,332,NA,NA,NA,NA,NA,320
39786,332,NA,NA,NA,NA,NA,1370
39787,332,NA,NA,NA,NA,NA,1400
39788,332,NA,NA,NA,NA,NA,1034
39789,375,NA,NA,NA,NA,NA,1370
39797,374,NA,NA,NA,NA,NA,1070
39798,374,NA,NA,NA,NA,NA,320
39799,374,NA,NA,NA,NA,NA,993
39801,373,NA,NA,NA,NA,NA,1070
39802,373,NA,NA,NA,NA,NA,320
39803,373,NA,NA,NA,NA,NA,992
39804,373,NA,NA,NA,NA,NA,993
39805,383,NA,NA,NA,NA,NA,1495
39812,362,NA,NA,NA,NA,NA,1468
39813,363,NA,NA,NA,NA,NA,859
39814,377,NA,NA,NA,NA,NA,744
39815,377,NA,NA,NA,NA,NA,1193
39816,376,NA,NA,NA,NA,NA,548
39817,376,NA,NA,NA,NA,NA,1720
39818,364,NA,NA,NA,NA,NA,1426
39850,519,NA,NA,NA,NA,NA,1341
39855,455,NA,NA,NA,NA,NA,737
39856,455,NA,NA,NA,NA,NA,830
49209,469,NA,NA,NA,NA,NA,1612
49210,469,NA,NA,NA,NA,NA,1505
49211,469,NA,NA,NA,NA,NA,1316
49212,469,NA,NA,NA,NA,NA,1395
49213,469,NA,NA,NA,NA,NA,1664
49214,469,NA,NA,NA,NA,NA,1637
49253,535,NA,NA,NA,NA,NA,1612
49254,535,NA,NA,NA,NA,NA,1505
49255,535,NA,NA,NA,NA,NA,1316
49256,535,NA,NA,NA,NA,NA,1395
49257,535,NA,NA,NA,NA,NA,1664
49258,535,NA,NA,NA,NA,NA,1637
51120,424,NA,NA,NA,NA,NA,1636
51122,13,NA,NA,NA,NA,NA,991
51123,13,NA,NA,NA,NA,NA,1838
51124,13,NA,NA,NA,NA,NA,993
51125,13,NA,NA,NA,NA,NA,1475
51126,1028,NA,NA,NA,NA,NA,1636
51127,14,NA,NA,NA,NA,NA,1452
51128,14,NA,NA,NA,NA,NA,1679
51129,81,NA,NA,NA,NA,NA,1099
51130,1075,NA,NA,NA,NA,NA,1469
51131,1075,NA,NA,NA,NA,NA,155
51132,483,NA,NA,NA,NA,NA,1469
51133,483,NA,NA,NA,NA,NA,155
51139,514,NA,NA,NA,NA,NA,1639
51140,514,NA,NA,NA,NA,NA,1720
51142,481,NA,NA,NA,NA,NA,1157
51144,480,NA,NA,NA,NA,NA,1157
51145,479,NA,NA,NA,NA,NA,765
51146,479,NA,NA,NA,NA,NA,8
51147,479,NA,NA,NA,NA,NA,1157
51151,499,NA,NA,NA,NA,NA,1636
51152,80,NA,NA,NA,NA,NA,1143
51153,80,NA,NA,NA,NA,NA,1427
51154,80,NA,NA,NA,NA,NA,755
51155,80,NA,NA,NA,NA,NA,1676
51156,80,NA,NA,NA,NA,NA,1179
51157,80,NA,NA,NA,NA,NA,815
51158,80,NA,NA,NA,NA,NA,744
51159,80,NA,NA,NA,NA,NA,566
51160,80,NA,NA,NA,NA,NA,1237
51161,80,NA,NA,NA,NA,NA,641
51162,80,NA,NA,NA,NA,NA,615
51163,80,NA,NA,NA,NA,NA,1430
51165,387,NA,NA,NA,NA,NA,401
51166,387,NA,NA,NA,NA,NA,1229
51167,387,NA,NA,NA,NA,NA,602
51168,387,NA,NA,NA,NA,NA,1271
51169,387,NA,NA,NA,NA,NA,1967
51200,505,NA,NA,NA,NA,NA,1374
51201,423,NA,NA,NA,NA,NA,772
