id,link
59,http://www.elespectador.com/noticias/judicial/consejo-de-estado-investiga-congresista-viaje-al-exteri-articulo-593631
60,http://www.elespectador.com/noticias/judicial/condenan-48-meses-de-prision-juan-carlos-martinez-sinis-articulo-630211
61,http://www.semana.com/nacion/articulo/condenan-al-exsenador-juan-carlos-martinez-sinisterra-por-fraude-en-elecciones/472097
62,http://www.elespectador.com/noticias/politica/consejo-de-estado-decreto-perdida-de-investidura-del-co-articulo-639196
63,http://www.elpais.com.co/elpais/colombia/noticias/consejo-estado-anulo-eleccion-moises-orozco-como-representante-por-curul-afro
64,http://www.eltiempo.com/politica/justicia/investigacion-contra-congresista-del-choco-nilton-cordoba-manyoma/14681321
65,http://lasillavacia.com/historia/resucita-el-escandalo-de-los-palacios-municipales-de-fonsecon-59181
66,http://www.elespectador.com/noticias/judicial/articulo-256299-escandalo-de-dne-procuraduria-abre-indagacion-13-dirigentes
67,http://www.elespectador.com/noticias/judicial/articulo-261299-caso-dne-corte-abre-indagacion-14-dirigentes
68,http://www.eltiempo.com/politica/justicia/destituyen-e-inhabilitan-al-representante-a-la-camara-neftali-correa/16625673
69,http://www.eltiempo.com/archivo/documento/MAM-871812
70,http://www.elespectador.com/impreso/judicial/articuloimpreso171498-conspiracion-contra-ovidio-claros
71,http://www.elespectador.com/noticias/judicial/decretan-perdida-de-investidura-del-senador-carlos-enrique-soto-articulo-686779
72,http://corteconstitucional.gov.co/relatoria/2016/SU424-16.htm
73,http://corteconstitucional.gov.co/relatoria/2016/SU424-16.htm
74,http://www.semana.com/nacion/articulo/corte-condena-a-exparlamentario-pedro-mudvi-por-parapolitica/524118
75,http://www.semana.com/nacion/articulo/muerte-politica-a-representante-edgar-alexander-cipriano/529406
76,http://www.elespectador.com/noticias/judicial/corte-ordena-libertad-del-exsenador-julio-manzur-procesado-por-parapolitica-articulo-703960
77,http://www.elespectador.com/noticias/judicial/el-nono-elias-amanecio-en-una-celda-en-la-fiscalia-articulo-707431
