id,user_id,permission_id
9890,4924,450
9891,4924,451
3035,1416,7
3036,1416,8
3037,1416,9
3038,1416,458
3039,1416,299
3040,1416,300
3041,1416,463
3042,1416,464
3043,1416,456
3044,1416,457
3045,1416,298
3048,3468,457
3049,3537,457
11003,7559,450
11004,7559,451
11005,7559,196
11006,7559,423
11007,7559,424
11008,7559,425
11009,7559,426
11010,7559,427
11011,7559,428
11012,7559,429
11013,7559,430
11014,7559,431
11015,7559,432
11016,7559,433
11017,7559,434
11018,7559,187
11019,7559,188
11020,7559,189
11021,7559,190
11022,7559,191
11023,7559,192
11024,7559,193
11025,7559,194
11026,7559,195
11027,7559,452
11028,7559,197
11029,7559,198
11030,7559,199
11031,7559,200
11032,7559,201
11033,7559,205
11034,7559,206
11035,7559,335
11036,7559,336
11037,7559,334
2246,3172,457
11038,7559,207
9892,4924,196
9893,4924,423
9894,4924,424
9895,4924,425
9896,4924,426
9897,4924,427
9898,4924,428
9899,4924,429
9900,4924,430
9901,4924,431
9902,4924,432
9903,4924,433
9904,4924,434
9905,4924,187
9906,4924,188
9907,4924,189
9908,4924,190
9909,4924,191
9910,4924,192
9911,4924,193
9912,4924,194
9913,4924,195
9914,4924,452
9915,4924,197
9916,4924,198
9917,4924,199
9918,4924,200
9919,4924,201
9920,4924,205
9921,4924,206
9922,4924,335
9923,4924,336
9924,4924,334
9925,4924,207
9926,4811,450
2282,3478,457
20600,7747,304
9927,4811,451
9928,4811,196
9929,4811,423
9930,4811,424
9931,4811,425
9932,4811,426
9933,4811,427
9934,4811,428
9935,4811,429
9936,4811,430
9937,4811,431
9938,4811,432
9939,4811,433
9940,4811,434
11039,6611,8
11040,6611,9
11041,6611,7
9941,4811,187
9942,4811,188
9943,4811,189
2247,3199,457
9944,4811,190
15259,9248,160
15260,9248,353
15261,9248,354
1193,1417,411
1194,1417,453
1195,1417,414
9945,4811,191
9946,4811,192
1670,2658,456
1671,2658,457
1672,2658,458
1673,2661,456
1674,2661,457
1675,2661,458
1677,2664,457
1678,2665,457
1679,2666,457
1680,2667,457
1682,2669,457
1683,2670,457
1684,2671,457
1690,2675,457
1691,2676,457
1692,2677,457
1693,2660,457
1696,2673,457
9947,4811,193
9948,4811,194
9949,4811,195
9950,4811,452
9951,4811,197
9952,4811,198
9953,4811,199
9954,4811,200
9955,4811,201
9956,4811,205
9957,4811,206
9958,4811,335
9959,4811,336
9960,4811,334
9961,4811,207
20601,11142,1
2297,3565,457
2284,2653,457
2285,3522,457
2290,3553,457
2303,2662,457
2251,3272,457
2368,2746,464
2369,2746,462
2370,2746,463
2385,2654,457
2392,2874,456
2393,2874,457
2394,2874,458
2395,2874,299
2396,2874,300
2397,2874,462
2398,2874,463
2399,2874,464
2400,2874,298
9962,5075,486
9963,5075,148
9964,5075,149
9965,5075,150
9966,5075,151
9967,5075,152
9968,5075,153
9969,5075,154
9970,5075,155
9971,5075,156
9972,5075,157
9973,5075,286
3050,3271,457
9974,5075,287
9975,5075,160
9976,5075,289
9977,5075,290
9978,5075,163
9979,5075,292
9980,5075,293
9981,5075,294
9982,5075,295
9983,5075,296
9984,5075,297
9985,5075,298
9986,5075,299
9987,5075,300
9988,5075,301
9989,5075,302
9990,5075,303
9991,5075,304
9992,5075,305
9993,5075,306
9994,5075,307
9995,5075,308
9996,5075,158
9997,5075,159
9998,5075,447
9999,5075,448
10000,5075,449
10001,5075,309
10002,5075,161
10003,5075,162
10004,5075,462
10005,5075,288
10006,5075,464
10007,5075,291
10008,5075,164
10009,5075,463
10010,5075,165
10011,5075,353
10012,5075,354
10013,5075,355
10014,5075,356
10015,5075,357
10016,5075,358
10017,5075,487
10018,5075,488
5096,4803,450
5097,4803,451
5098,4803,196
5099,4803,423
5100,4803,424
5101,4803,425
5102,4803,426
5103,4803,427
5104,4803,428
5105,4803,429
5106,4803,430
5107,4803,431
5108,4803,432
5109,4803,433
5110,4803,434
5111,4803,187
5112,4803,188
5113,4803,189
5114,4803,190
5115,4803,191
5116,4803,192
5117,4803,193
5118,4803,194
5119,4803,195
5120,4803,452
5121,4803,197
5122,4803,198
5123,4803,199
5124,4803,200
5125,4803,201
5126,4803,205
5127,4803,206
5128,4803,335
5129,4803,336
5130,4803,334
5131,4803,207
4298,2672,457
4299,2674,457
4301,2663,441
15262,9248,355
15263,9248,356
15264,9248,357
15265,9248,358
15266,9248,7
15267,9248,8
15268,9248,9
15269,9248,162
15270,9248,161
15271,9248,304
15272,9248,305
15273,9248,306
15274,9248,163
15275,9248,308
15276,9248,307
15277,9248,164
15278,9248,165
15279,9248,309
20602,11142,2
20603,11142,3
20604,11142,4
20605,11142,5
20606,11142,6
