id,created_at,edited_at,tiempo,partido_origen_id,partido_aliado_id
1,2010-12-16 22:52:57.775020,2014-01-24 17:01:58.135320,TRUE,12,12
2,2013-12-16 16:04:29.854416,2014-09-03 18:41:00.970713,TRUE,5,5
