id,persona_id,corporacion_id,cuatrienio_id,partido_id,curul_id,circunscripcion_id,activo,usercreated,usermodified,create_at,updated_at
1624,142,2,6,10,NA,1,,,,,
1342,142,2,2,10,NA,1,,,,,
2381,142,1,7,10,NA,35,,,,,
2503,12891,2,8,4,NA,7,,,,,
1644,2452,1,6,5,NA,35,,,,,
2340,2452,1,7,5,NA,35,,,,,
2573,14038,1,8,3,NA,35,,,,,
2417,12706,2,8,146,NA,8,,,,,
1266,151,2,2,2,NA,10,,,,,
970,1176,2,2,4,NA,3,,,,,
1652,1176,1,6,4,NA,35,,,,,
1581,2017,2,6,11,NA,3,,,,,
472,978,2,1,2,NA,2,,,,,
1914,978,2,6,2,NA,2,,,,,
2176,9406,2,7,144,NA,12,,,,,
2448,9406,2,8,144,NA,12,,,,,
85,414,2,1,2,NA,1,,,,,
2144,8585,2,7,5,NA,10,,,,,
447,937,2,1,5,NA,28,,,,,
1824,937,2,6,5,NA,28,,,,,
2667,12911,2,8,3,NA,7,,,,,
4,304,1,1,2,NA,35,,,,,
426,903,1,1,4,NA,35,,,,,
1986,903,1,1,4,NA,35,,,,,
1935,2815,2,6,149,NA,37,,,,,
2226,2815,2,7,149,NA,29,,,,,
2118,7312,2,7,144,NA,1,,,,,
2555,7312,1,8,144,NA,35,,,,,
1089,331,2,2,2,NA,10,,,,,
534,331,2,4,2,NA,10,,,,,
1276,103,2,2,3,NA,22,,,,,
293,722,2,1,2,NA,20,,,,,
2033,722,2,1,2,NA,20,,,,,
1245,1281,2,2,43,NA,22,,,,,
608,493,2,4,4,NA,31,,,,,
1147,493,1,2,4,NA,35,,,,,
143,493,2,1,4,NA,31,,,,,
1129,656,2,2,4,NA,12,,,,,
683,656,2,4,4,NA,12,,,,,
1778,656,2,6,4,NA,12,,,,,
2451,656,2,8,4,NA,12,,,,,
499,1017,2,1,4,NA,3,,,,,
618,510,2,4,68,NA,15,,,,,
1969,510,2,1,68,NA,15,,,,,
439,921,1,1,2,NA,35,,,,,
790,921,1,4,2,NA,35,,,,,
1166,921,1,2,2,NA,35,,,,,
1472,110,2,2,145,NA,22,,,,,
2063,110,2,6,145,NA,22,,,,,
643,573,1,4,53,NA,35,,,,,
2526,14028,2,8,4,NA,31,,,,,
1808,2513,2,6,5,NA,24,,,,,
541,348,2,4,2,NA,28,,,,,
1821,348,2,6,2,NA,28,,,,,
2078,1625,2,6,4,NA,10,,,,,
290,717,2,1,2,NA,3,,,,,
706,717,2,4,2,NA,3,,,,,
59,379,2,1,4,NA,23,,,,,
1099,1234,1,2,5,NA,35,,,,,
1704,35,1,6,145,NA,35,,,,,
1311,35,1,2,145,NA,35,,,,,
2383,7740,2,7,146,NA,1,,,,,
2355,8908,2,7,3,NA,12,,,,,
2447,8908,2,8,3,NA,12,,,,,
1951,3256,2,6,131,NA,22,,,,,
2132,1460,2,7,5,NA,7,,,,,
2482,13268,2,8,144,NA,30,,,,,
2258,8464,1,7,4,NA,35,,,,,
2298,9486,1,7,144,NA,35,,,,,
511,1032,2,1,5,NA,1,,,,,
646,582,1,4,38,NA,35,,,,,
1374,118,2,2,6,NA,1,,,,,
1375,118,2,4,6,NA,1,,,,,
1770,2496,2,6,5,NA,14,,,,,
2162,2496,2,7,5,NA,14,,,,,
977,1180,2,2,5,NA,3,,,,,
2336,1180,1,7,5,NA,35,,,,,
1605,1180,1,6,5,NA,35,,,,,
2624,1180,1,8,5,NA,35,,,,,
466,967,2,1,2,NA,30,,,,,
306,738,1,1,51,NA,35,,,,,
715,738,1,4,51,NA,35,,,,,
8,309,2,1,2,NA,26,,,,,
523,309,2,4,2,NA,26,,,,,
1161,309,1,2,2,NA,35,,,,,
1034,853,2,2,5,NA,7,,,,,
764,853,2,4,5,NA,7,,,,,
2501,13792,2,8,144,NA,32,,,,,
22,327,1,1,2,NA,35,,,,,
2659,12772,2,8,203,NA,1,,,,,
314,747,1,1,4,NA,35,,,,,
1350,747,1,4,4,NA,35,,,,,
432,911,2,1,2,NA,17,,,,,
746,208,2,4,4,NA,9,,,,,
1117,208,2,2,4,NA,9,,,,,
785,907,1,4,2,NA,35,,,,,
247,658,2,1,5,NA,10,,,,,
2423,658,2,8,5,NA,10,,,,,
2364,7436,2,7,144,NA,28,,,,,
2227,8781,2,7,145,NA,29,,,,,
2370,9431,1,7,144,NA,35,,,,,
1206,61,1,2,6,NA,35,,,,,
1714,61,1,6,6,NA,35,,,,,
1343,5,1,2,2,NA,35,,,,,
587,452,2,4,3,NA,1,,,,,
1480,19,2,1,3,NA,28,,,,,
1482,19,1,2,3,NA,35,,,,,
1481,19,2,4,3,NA,28,,,,,
1708,19,1,6,3,NA,35,,,,,
2276,19,1,7,3,NA,35,,,,,
2115,2305,2,7,146,NA,1,,,,,
2629,2305,1,8,146,NA,35,,,,,
1602,101,1,6,5,NA,35,,,,,
1403,101,1,4,5,NA,35,,,,,
1404,101,1,1,5,NA,35,,,,,
1402,101,1,2,5,NA,35,,,,,
1407,257,2,1,5,NA,23,,,,,
1406,257,2,4,5,NA,23,,,,,
1405,257,2,2,5,NA,23,,,,,
1802,257,2,6,5,NA,23,,,,,
2201,257,2,7,5,NA,23,,,,,
2625,257,1,8,5,NA,35,,,,,
2357,8779,2,7,149,NA,11,,,,,
2354,7848,2,7,2,NA,31,,,,,
2398,12855,2,8,2,NA,3,,,,,
997,1190,2,2,1,NA,5,,,,,
747,209,2,4,2,NA,3,,,,,
966,209,2,2,2,NA,3,,,,,
2082,209,2,6,2,NA,3,,,,,
581,130,2,4,3,NA,2,,,,,
1597,130,2,6,3,NA,2,,,,,
1017,130,2,2,3,NA,2,,,,,
604,482,2,4,4,NA,15,,,,,
1121,482,2,2,4,NA,15,,,,,
2158,482,2,7,4,NA,15,,,,,
2437,482,2,8,4,NA,15,,,,,
2170,8918,2,7,3,NA,12,,,,,
436,916,2,1,98,NA,5,,,,,
807,953,2,4,2,NA,2,,,,,
578,441,2,4,5,NA,1,,,,,
1043,441,2,2,5,NA,1,,,,,
516,1037,1,1,2,NA,35,,,,,
642,570,1,4,1,NA,35,,,,,
1196,570,1,2,1,NA,35,,,,,
590,23,1,4,5,NA,35,,,,,
1103,23,1,2,5,NA,35,,,,,
2250,8546,2,7,5,NA,32,,,,,
195,578,1,1,4,NA,35,,,,,
645,578,1,4,4,NA,35,,,,,
1146,578,1,2,4,NA,35,,,,,
2409,13928,2,8,3,NA,2,,,,,
1839,1764,2,6,4,NA,31,,,,,
464,964,1,1,90,NA,35,,,,,
1575,1513,2,6,4,NA,3,,,,,
2262,1513,1,7,4,NA,35,,,,,
2594,1513,1,8,4,NA,35,,,,,
265,679,1,1,30,NA,35,,,,,
1169,679,1,2,30,NA,35,,,,,
688,679,1,4,30,NA,35,,,,,
2525,13202,2,8,144,NA,31,,,,,
297,726,2,1,2,NA,9,,,,,
537,341,2,4,4,NA,3,,,,,
975,341,2,2,4,NA,3,,,,,
124,467,2,1,2,NA,3,,,,,
2142,8162,2,7,146,NA,8,,,,,
2633,8162,1,8,146,NA,35,,,,,
2112,7937,2,7,4,NA,2,,,,,
2595,7937,1,8,4,NA,35,,,,,
1924,2761,2,6,5,NA,31,,,,,
419,894,2,1,5,NA,1,,,,,
779,894,2,4,5,NA,1,,,,,
1044,894,2,2,5,NA,1,,,,,
1949,894,2,6,5,NA,1,,,,,
11,312,2,1,2,NA,28,,,,,
525,312,2,4,2,NA,28,,,,,
252,663,2,1,2,NA,19,,,,,
2147,7670,2,7,2,NA,10,,,,,
2607,7670,1,8,2,NA,35,,,,,
323,761,1,1,74,NA,35,,,,,
723,756,2,4,2,NA,9,,,,,
2654,13417,1,8,203,NA,35,,,,,
2350,7911,1,7,6,NA,35,,,,,
2150,8026,2,7,4,NA,13,,,,,
172,540,2,1,4,NA,8,,,,,
1193,47,1,2,3,NA,35,,,,,
1709,47,1,6,3,NA,35,,,,,
210,47,1,1,3,NA,35,,,,,
2280,47,1,7,3,NA,35,,,,,
1784,2501,2,6,5,NA,19,,,,,
766,862,2,4,2,NA,25,,,,,
1809,862,2,6,2,NA,25,,,,,
1024,862,2,2,2,NA,25,,,,,
1085,988,2,2,3,NA,18,,,,,
1870,988,2,4,3,NA,18,,,,,
257,670,2,1,2,NA,8,,,,,
2418,8582,2,8,2,NA,8,,,,,
2073,8,1,6,117,NA,35,,,,,
1449,8,1,2,117,NA,35,,,,,
384,850,2,1,27,NA,2,,,,,
1869,962,2,4,5,NA,27,,,,,
462,962,2,1,5,NA,27,,,,,
115,449,1,1,2,NA,35,,,,,
2441,12310,2,8,5,NA,16,,,,,
2018,4456,1,1,74,NA,35,,,,,
1960,3484,2,1,74,NA,10,,,,,
1302,200,2,2,2,NA,14,,,,,
2410,13941,2,8,3,NA,2,,,,,
2584,14131,1,8,3,NA,35,,,,,
420,896,2,1,4,NA,9,,,,,
781,896,1,4,4,NA,35,,,,,
1148,896,1,2,4,NA,35,,,,,
1670,896,1,6,4,NA,35,,,,,
203,592,2,1,2,NA,10,,,,,
651,592,2,4,2,NA,10,,,,,
588,454,2,4,39,NA,31,,,,,
1948,153,1,6,2,NA,35,,,,,
1358,153,2,2,2,NA,7,,,,,
2313,153,1,7,2,NA,35,,,,,
2600,153,1,8,2,NA,35,,,,,
1613,258,1,6,5,NA,35,,,,,
1399,258,2,2,5,NA,10,,,,,
1128,193,2,2,4,NA,16,,,,,
1835,2029,2,6,2,NA,32,,,,,
1867,2553,2,6,117,NA,29,,,,,
911,1115,2,4,5,NA,24,,,,,
1816,2516,2,6,3,NA,30,,,,,
2212,2516,2,7,3,NA,30,,,,,
2483,2516,2,8,3,NA,30,,,,,
664,628,1,4,4,NA,35,,,,,
2196,7788,2,7,2,NA,21,,,,,
2532,7635,2,8,144,NA,1,,,,,
2131,7679,2,7,6,NA,1,,,,,
1439,141,2,4,4,NA,34,,,,,
1440,141,2,1,4,NA,34,,,,,
1327,141,2,2,4,NA,34,,,,,
1258,1290,1,2,30,NA,35,,,,,
1943,1290,1,1,30,NA,35,,,,,
1888,1290,1,4,30,NA,35,,,,,
1889,1290,1,4,30,NA,35,,,,,
1890,1290,1,4,30,NA,35,,,,,
1891,1290,1,4,30,NA,35,,,,,
2183,8150,2,7,4,NA,20,,,,,
2457,8150,2,8,4,NA,20,,,,,
1998,4449,1,1,2,NA,35,,,,,
2665,9415,1,8,144,NA,35,,,,,
2679,9415,1,8,144,NA,35,,,,,
1462,15,1,2,5,NA,35,,,,,
2046,15,2,1,5,NA,8,,,,,
2047,15,2,1,5,NA,8,,,,,
1274,44,1,2,5,NA,35,,,,,
490,1007,1,1,1,NA,35,,,,,
832,1007,1,4,1,NA,35,,,,,
1199,1007,1,2,1,NA,35,,,,,
326,764,2,1,4,NA,15,,,,,
2031,764,2,1,4,NA,15,,,,,
15,318,2,1,2,NA,23,,,,,
529,318,2,4,2,NA,23,,,,,
1069,318,2,2,2,NA,23,,,,,
1799,318,2,6,2,NA,23,,,,,
2303,318,1,7,2,NA,35,,,,,
912,1125,2,4,4,NA,9,,,,,
1825,2520,2,6,117,NA,28,,,,,
262,676,1,1,59,NA,35,,,,,
730,780,1,4,46,NA,35,,,,,
1892,780,1,4,46,NA,35,,,,,
1915,2734,1,6,146,NA,35,,,,,
2275,2734,1,7,146,NA,35,,,,,
2631,2734,1,8,146,NA,35,,,,,
1788,197,2,2,5,NA,20,,,,,
2363,197,2,7,5,NA,20,,,,,
1093,1011,2,2,3,NA,11,,,,,
1411,1011,2,4,3,NA,11,,,,,
575,126,2,4,2,NA,34,,,,,
1267,126,2,2,2,NA,34,,,,,
1516,2117,1,4,119,NA,35,,,,,
231,171,2,1,144,NA,20,,,,,
669,171,2,4,144,NA,20,,,,,
1082,171,2,2,144,NA,20,,,,,
2192,8902,2,7,3,NA,22,,,,,
2577,8902,1,8,3,NA,35,,,,,
1800,1615,2,6,4,NA,23,,,,,
2198,1615,2,7,4,NA,23,,,,,
2469,1615,2,8,4,NA,23,,,,,
310,743,1,1,2,NA,35,,,,,
1955,3430,2,4,38,NA,3,,,,,
895,823,2,4,2,NA,22,,,,,
366,823,2,1,2,NA,22,,,,,
1247,1283,2,2,2,NA,10,,,,,
1843,2535,2,6,5,NA,31,,,,,
2297,8366,1,7,144,NA,35,,,,,
936,1154,2,4,37,NA,3,,,,,
1585,2279,1,6,5,NA,35,,,,,
1395,259,2,4,4,NA,3,,,,,
1579,259,2,6,4,NA,3,,,,,
1394,259,2,2,4,NA,3,,,,,
2462,12833,2,8,4,NA,17,,,,,
978,1181,2,2,5,NA,31,,,,,
368,826,2,1,2,NA,22,,,,,
851,1048,1,4,3,NA,35,,,,,
1531,1048,1,4,3,NA,35,,,,,
2195,9427,2,7,144,NA,21,,,,,
1757,198,2,6,2,NA,13,,,,,
1282,198,2,2,2,NA,13,,,,,
2278,7792,1,7,3,NA,35,,,,,
1240,255,2,2,4,NA,24,,,,,
2645,13649,1,8,201,NA,35,,,,,
818,972,2,4,2,NA,33,,,,,
2072,3255,1,6,117,NA,35,,,,,
691,684,2,4,3,NA,39,,,,,
2420,12805,2,8,185,NA,8,,,,,
1678,2456,1,6,2,NA,35,,,,,
2305,2456,1,7,2,NA,35,,,,,
2217,8180,2,7,4,NA,26,,,,,
2487,8180,2,8,4,NA,26,,,,,
319,753,2,1,146,NA,1,,,,,
721,753,1,4,146,NA,35,,,,,
2274,753,1,7,146,NA,35,,,,,
2489,12331,2,8,3,NA,27,,,,,
343,786,2,1,4,NA,34,,,,,
435,915,2,1,2,NA,22,,,,,
79,407,2,1,35,NA,1,,,,,
568,407,2,4,35,NA,1,,,,,
2589,12915,1,8,4,NA,35,,,,,
726,763,2,4,5,NA,1,,,,,
1628,763,1,6,5,NA,35,,,,,
325,763,2,1,5,NA,1,,,,,
1195,763,1,2,5,NA,35,,,,,
752,827,1,4,4,NA,35,,,,,
1289,827,1,2,4,NA,35,,,,,
369,827,2,1,4,NA,7,,,,,
2181,9387,2,7,2,NA,20,,,,,
2459,9387,2,8,2,NA,20,,,,,
2165,8599,2,7,5,NA,16,,,,,
2443,8599,2,8,5,NA,16,,,,,
1651,290,1,6,4,NA,35,,,,,
2269,290,1,7,4,NA,35,,,,,
859,1055,1,4,145,NA,35,,,,,
1630,1055,1,6,145,NA,35,,,,,
1114,1055,1,2,145,NA,35,,,,,
754,832,2,4,145,NA,31,,,,,
981,832,2,2,145,NA,31,,,,,
1864,832,2,4,145,NA,31,,,,,
1698,832,1,6,145,NA,35,,,,,
1647,2455,2,6,3,NA,7,,,,,
1101,612,1,2,5,NA,35,,,,,
655,612,2,4,5,NA,10,,,,,
2616,13456,1,8,5,NA,35,,,,,
1874,1136,2,4,201,NA,34,,,,,
920,1136,2,4,201,NA,34,,,,,
81,409,2,1,4,NA,22,,,,,
569,409,2,4,4,NA,22,,,,,
1075,409,2,2,4,NA,22,,,,,
774,875,2,4,5,NA,12,,,,,
1626,875,1,6,5,NA,35,,,,,
1242,875,1,2,5,NA,35,,,,,
2344,875,1,7,5,NA,35,,,,,
1811,1201,2,6,2,NA,26,,,,,
1018,1201,2,2,2,NA,26,,,,,
2218,1201,2,7,2,NA,26,,,,,
2484,1201,2,8,2,NA,26,,,,,
1932,2812,2,6,5,NA,39,,,,,
2164,2812,2,7,5,NA,39,,,,,
1741,2484,2,6,5,NA,10,,,,,
2145,2484,2,7,5,NA,10,,,,,
1370,186,2,2,2,NA,3,,,,,
638,557,1,4,5,NA,35,,,,,
1112,557,1,2,5,NA,35,,,,,
181,557,1,1,5,NA,35,,,,,
2184,9521,2,7,144,NA,20,,,,,
2460,9521,2,8,144,NA,20,,,,,
2479,14399,2,8,2,NA,25,,,,,
2524,282,2,8,144,NA,31,,,,,
2411,8921,2,8,3,NA,2,,,,,
2392,13476,2,8,144,NA,3,,,,,
2463,13785,2,8,3,NA,22,,,,,
1691,2231,1,6,2,NA,35,,,,,
749,818,1,4,2,NA,35,,,,,
1707,39,1,6,3,NA,35,,,,,
1255,39,1,2,3,NA,35,,,,,
2279,39,1,7,3,NA,35,,,,,
2580,39,1,8,3,NA,35,,,,,
699,700,2,4,2,NA,3,,,,,
2395,13474,2,8,144,NA,3,,,,,
494,99,1,1,4,NA,35,,,,,
834,99,1,4,4,NA,35,,,,,
1149,99,1,2,4,NA,35,,,,,
750,210,2,4,2,NA,12,,,,,
1131,210,2,2,2,NA,12,,,,,
363,210,2,1,2,NA,12,,,,,
1823,283,2,6,4,NA,28,,,,,
2225,283,2,7,4,NA,28,,,,,
2206,7798,2,7,2,NA,24,,,,,
1332,1333,2,4,4,NA,1,,,,,
1186,1253,1,2,3,NA,35,,,,,
1521,2124,2,4,2,NA,32,,,,,
1522,2124,2,4,2,NA,32,,,,,
1524,2124,2,4,2,NA,32,,,,,
1523,2124,2,4,2,NA,32,,,,,
1804,2084,2,6,2,NA,24,,,,,
2205,2084,2,7,2,NA,24,,,,,
2474,2084,2,8,2,NA,24,,,,,
2666,8929,2,8,3,NA,22,,,,,
1779,1245,2,6,3,NA,12,,,,,
1133,1245,2,2,3,NA,12,,,,,
2171,1245,2,7,3,NA,12,,,,,
2516,14059,2,8,2,NA,31,,,,,
1217,1264,2,2,115,NA,37,,,,,
2519,14334,2,8,2,NA,31,,,,,
1053,928,2,2,6,NA,1,,,,,
1420,928,2,4,6,NA,1,,,,,
7,308,2,1,4,NA,34,,,,,
2223,7437,2,7,3,NA,28,,,,,
2515,7437,2,8,3,NA,28,,,,,
2368,7793,2,7,2,NA,23,,,,,
2471,7793,2,8,2,NA,23,,,,,
506,1026,1,1,2,NA,35,,,,,
955,1306,1,4,44,NA,35,,,,,
2495,2256,2,8,144,NA,34,,,,,
1720,1260,1,6,6,NA,35,,,,,
1211,1260,1,2,6,NA,35,,,,,
1716,1714,1,6,6,NA,35,,,,,
935,1138,1,4,2,NA,35,,,,,
492,1009,2,1,2,NA,22,,,,,
833,1009,2,4,2,NA,22,,,,,
765,75,2,4,2,NA,31,,,,,
1268,75,1,2,2,NA,35,,,,,
1896,1326,1,4,4,NA,35,,,,,
1026,569,2,2,73,NA,2,,,,,
1365,569,2,4,73,NA,2,,,,,
1952,569,2,1,73,NA,2,,,,,
2111,7947,2,7,4,NA,2,,,,,
2306,7647,1,7,2,NA,35,,,,,
2610,7647,1,8,2,NA,35,,,,,
1237,1277,1,2,2,NA,35,,,,,
1495,131,2,2,4,NA,20,,,,,
1494,131,2,4,4,NA,20,,,,,
1658,131,1,6,4,NA,35,,,,,
2384,131,1,7,4,NA,35,,,,,
709,721,2,4,2,NA,15,,,,,
621,516,2,4,2,NA,3,,,,,
1465,14,1,2,6,NA,35,,,,,
1466,14,1,4,6,NA,35,,,,,
2359,8513,1,7,144,NA,35,,,,,
414,888,2,1,2,NA,22,,,,,
777,888,1,4,2,NA,35,,,,,
2434,8528,2,8,5,NA,9,,,,,
1201,1,1,2,1,NA,35,,,,,
2,1,1,1,1,NA,35,,,,,
520,1,1,4,1,NA,35,,,,,
479,990,2,1,2,NA,31,,,,,
1049,1214,2,2,3,NA,1,,,,,
190,571,2,1,2,NA,3,,,,,
2367,7619,2,7,2,NA,5,,,,,
2407,7619,2,8,2,NA,5,,,,,
2675,12918,1,8,4,NA,35,,,,,
2292,9557,1,7,144,NA,35,,,,,
668,289,2,4,144,NA,26,,,,,
755,834,1,4,3,NA,35,,,,,
1189,834,1,2,3,NA,35,,,,,
374,834,2,1,3,NA,3,,,,,
1443,102,2,4,4,NA,2,,,,,
1442,102,2,1,4,NA,2,,,,,
1444,102,2,2,4,NA,2,,,,,
275,693,1,1,3,NA,35,,,,,
1987,693,1,1,3,NA,35,,,,,
1989,693,1,1,3,NA,35,,,,,
1988,693,1,1,3,NA,35,,,,,
409,883,1,1,5,NA,35,,,,,
1555,883,1,4,5,NA,35,,,,,
856,1062,2,4,2,NA,11,,,,,
1094,1062,2,2,2,NA,11,,,,,
2405,13185,2,8,5,NA,3,,,,,
1059,1220,2,2,1,NA,1,,,,,
1530,1043,1,4,2,NA,35,,,,,
1560,1043,1,4,2,NA,35,,,,,
2125,2113,2,7,2,NA,1,,,,,
295,724,2,1,3,NA,16,,,,,
1190,724,1,2,3,NA,35,,,,,
1366,724,2,4,3,NA,16,,,,,
2075,6057,1,6,5,NA,35,,,,,
2440,6057,2,8,5,NA,14,,,,,
1576,1525,2,6,4,NA,3,,,,,
1916,288,1,6,10,NA,35,,,,,
2380,288,1,7,10,NA,35,,,,,
1477,128,2,1,4,NA,31,,,,,
1478,128,2,4,4,NA,31,,,,,
1479,128,2,2,4,NA,31,,,,,
2517,14357,2,8,2,NA,31,,,,,
367,825,2,1,27,NA,2,,,,,
