id,persona_id,partido_id,fecha,fecha_final,activo,usercreated,usermodified,created_at,updated_at
161,623,75,1988-01-01,1990-12-31,,,,,
162,623,75,1986-01-01,1990-12-31,,,,,
163,623,75,1990-01-01,1994-12-31,,,,,
164,623,75,1980-01-01,1982-12-31,,,,,
144,582,17,1988-01-01,1990-12-31,,,,,
145,582,90,1998-01-01,2000-12-31,,,,,
195,686,75,1976-01-01,1978-12-31,,,,,
196,686,75,1994-01-01,1998-12-31,,,,,
131,511,6,2007-07-05,2008-02-05,,,,,
132,511,48,2004-05-01,2004-09-30,,,,,
133,511,55,1994-01-01,1998-12-30,,,,,
134,511,48,2003-06-23,2004-12-30,,,,,
135,511,6,2006-11-29,2008-02-13,,,,,
136,511,48,2003-06-23,2006-11-29,,,,,
155,615,2,1994-07-20,1998-07-20,,,,,
156,615,2,1999-07-20,2000-07-20,,,,,
202,701,66,1998-01-01,2000-12-31,,,,,
203,701,66,1995-01-01,1997-12-31,,,,,
204,701,66,1992-06-01,1994-12-31,,,,,
862,208,45,2002-07-20,2006-07-19,,,,,
210,735,80,1997-01-01,2000-12-31,,,,,
1411,49,NA,1988-01-01,1990-01-01,,,,,
293,87,75,1984-01-01,1988-12-31,,,,,
295,87,75,1992-01-01,1994-12-31,,,,,
306,999,66,1994-01-01,2001-12-31,,,,,
219,798,4,1998-07-20,2002-07-20,,,,,
220,798,4,2002-07-20,2006-07-20,,,,,
221,798,4,2006-07-20,2010-07-20,,,,,
296,968,7,2002-07-20,2006-07-19,,,,,
369,164,2,1998-02-02,2000-12-31,,,,,
370,164,2,2001-01-01,2003-12-31,,,,,
392,1262,43,2001-01-01,2003-12-31,,,,,
393,1262,43,1998-01-01,2000-12-31,,,,,
394,1277,2,2007-07-13,2010-07-20,,,,,
395,1277,2,2001-01-01,2003-05-05,,,,,
397,255,4,2001-01-01,2003-12-31,,,,,
398,255,4,1998-01-01,2000-12-31,,,,,
399,255,4,1986-01-01,1998-12-31,,,,,
289,932,93,1998-01-01,2000-12-31,,,,,
329,1030,75,1990-01-01,1992-12-31,,,,,
378,36,9,2003-01-05,2003-12-15,,,,,
379,36,9,2002-02-01,2004-02-01,,,,,
380,36,9,2002-01-01,2005-01-01,,,,,
381,36,9,2000-01-01,2002-01-01,,,,,
298,92,2,2007-01-24,2009-12-15,,,,,
334,142,10,2004-07-26,2004-10-20,,,,,
1421,60,10,2010-07-20,2014-07-20,,,,,
277,85,35,1994-07-20,1998-06-20,,,,,
278,85,35,1991-07-20,1994-06-20,,,,,
1423,2443,47,2000-10-29,2003-10-26,,,,,
1424,2443,47,2003-10-26,2007-10-28,,,,,
279,85,35,1988-03-12,1990-06-20,,,,,
280,85,35,2002-07-20,2006-06-20,,,,,
1413,2812,NA,2000-01-01,2000-12-31,,,,,
1414,2812,NA,1992-06-01,1993-12-31,,,,,
1415,2812,NA,1992-01-01,1992-06-01,,,,,
1416,2812,NA,1990-07-20,1991-06-01,,,,,
1417,2812,NA,1986-01-01,1990-01-01,,,,,
271,906,2,2006-07-20,2002-07-20,,,,,
272,906,2,2002-07-20,1998-07-20,,,,,
273,906,2,2006-07-20,2007-07-20,,,,,
274,906,2,1994-07-20,1996-12-30,,,,,
275,906,2,1991-07-20,1994-07-20,,,,,
276,906,2,1986-08-08,1990-06-03,,,,,
214,763,3,2006-07-20,2010-07-20,,,,,
382,29,2,1984-01-01,1986-01-01,,,,,
383,29,2,1994-07-20,1998-07-19,,,,,
384,29,6,2006-07-20,2010-07-19,,,,,
385,29,2,1976-01-01,1978-01-01,,,,,
386,29,2,1990-07-20,1991-01-01,,,,,
387,29,2,1991-01-01,1994-07-19,,,,,
388,29,87,2001-01-01,2003-12-31,,,,,
389,29,2,1988-01-01,1990-01-01,,,,,
21,11,2,1992-01-12,1994-01-11,,,,,
22,11,2,1990-07-20,1992-12-20,,,,,
400,90,87,1988-01-01,1989-12-30,,,,,
401,90,87,1982-07-20,1986-07-19,,,,,
402,90,87,1986-07-20,1990-07-19,,,,,
403,90,87,1990-07-20,1994-07-19,,,,,
352,248,2,2006-07-20,2010-07-19,,,,,
351,248,2,1995-01-02,1996-12-31,,,,,
353,248,2,1998-01-02,1999-12-31,,,,,
354,248,2,2001-01-02,2003-12-31,,,,,
363,113,101,2001-01-01,2003-12-31,,,,,
376,1248,38,1991-02-01,1992-12-31,,,,,
297,969,102,1998-01-01,1999-12-31,,,,,
1425,2759,NA,1995-01-01,1996-12-31,,,,,
348,1182,5,2006-07-20,2010-07-20,,,,,
364,1214,2,1991-12-12,1994-06-30,,,,,
365,1214,3,2006-07-20,2008-05-18,,,,,
1426,1037,NA,1995-01-01,1997-12-31,,,,,
1419,147,NA,2004-01-01,2006-02-03,,,,,
308,1009,75,1992-06-01,1994-12-31,,,,,
309,1009,75,1998-07-20,2002-07-19,,,,,
269,894,5,2006-07-20,2010-06-20,,,,,
270,894,100,2002-07-20,2006-06-20,,,,,
281,928,6,2002-01-01,2006-12-31,,,,,
282,928,93,1998-01-01,2002-12-31,,,,,
1420,1195,NA,2004-01-01,2006-02-03,,,,,
335,1091,2,2005-01-01,2005-04-01,,,,,
336,1091,2,1999-07-20,1999-12-31,,,,,
337,1091,2,1995-01-01,1997-12-01,,,,,
867,210,2,1998-07-20,2002-07-19,,,,,
868,210,2,2002-07-20,2006-07-19,,,,,
427,196,2,1998-01-01,2000-12-31,,,,,
437,738,6,2008-01-01,2011-12-31,,,,,
438,738,51,1994-01-01,1998-12-31,,,,,
439,738,51,1998-01-01,2002-12-31,,,,,
447,33,4,1998-07-20,2002-06-20,,,,,
448,33,4,2002-07-20,2006-06-20,,,,,
300,92,2,1998-08-07,2006-08-07,,,,,
301,92,2,1992-01-01,1995-01-01,,,,,
256,75,2,1998-01-01,2000-12-31,,,,,
468,240,2,1991-01-12,1994-07-20,,,,,
469,240,2,1988-01-01,1990-12-31,,,,,
465,281,NA,2005-03-01,2009-03-01,,,,,
466,281,NA,1998-08-01,1999-12-30,,,,,
467,281,NA,1993-08-02,1994-08-01,,,,,
425,1334,2,1995-01-01,1997-12-31,,,,,
426,1334,2,2003-07-24,2003-12-31,,,,,
451,112,5,2006-06-20,2010-07-20,,,,,
374,59,17,2001-01-01,2003-12-31,,,,,
421,41,2,1986-07-20,2006-07-20,,,,,
869,832,NA,1990-06-01,1992-05-31,,,,,
428,197,113,2006-07-20,2010-07-20,,,,,
429,197,2,2001-01-01,2003-12-31,,,,,
473,205,4,1991-07-20,1994-07-19,,,,,
474,205,4,1986-07-20,1990-07-19,,,,,
475,205,4,1995-01-01,1997-12-31,,,,,
470,240,2,1995-01-01,1997-03-06,,,,,
23,11,2,1987-01-12,1990-01-11,,,,,
24,11,2,1986-01-03,1987-01-17,,,,,
25,11,2,1984-01-19,1986-01-03,,,,,
313,99,4,1974-07-07,2006-07-07,,,,,
314,99,4,1974-07-07,1978-07-07,,,,,
315,99,4,1998-07-20,1999-07-19,,,,,
316,99,4,1991-07-20,1992-07-19,,,,,
317,99,4,2004-07-20,2005-07-19,,,,,
318,99,4,1982-02-01,2000-10-31,,,,,
319,99,4,2002-07-20,2004-07-19,,,,,
320,99,4,1990-02-01,1991-01-01,,,,,
321,99,4,1975-07-20,1976-07-19,,,,,
322,99,4,1964-01-15,1966-01-12,,,,,
471,249,17,2001-01-01,2003-12-31,,,,,
496,102,4,1979-01-01,1979-12-31,,,,,
497,102,87,1992-01-01,1994-12-31,,,,,
498,102,87,1994-07-20,1998-07-19,,,,,
499,781,3,2006-07-20,2010-07-20,,,,,
500,781,47,1998-07-20,2002-07-20,,,,,
501,781,47,1994-07-20,1998-07-20,,,,,
502,781,47,1992-01-02,1994-01-02,,,,,
503,781,47,1988-01-02,1990-01-02,,,,,
430,61,51,2001-01-01,2003-12-21,,,,,
453,756,2,2001-07-20,2002-06-20,,,,,
487,490,198,2002-07-20,2006-07-19,,,,,
412,246,5,2006-07-20,2010-07-20,,,,,
458,842,4,1986-07-01,1986-07-20,,,,,
485,282,4,2007-01-01,2007-12-31,,,,,
459,842,4,1984-07-01,1986-07-01,,,,,
484,282,4,2008-01-01,2010-07-31,,,,,
486,282,4,2004-01-01,2007-12-31,,,,,
440,1345,2,2010-09-22,2010-08-10,,,,,
441,1345,2,2010-10-01,2010-12-31,,,,,
442,1345,6,2010-11-02,2010-11-30,,,,,
560,808,54,1998-07-20,2002-07-20,,,,,
561,808,54,1994-07-20,1998-07-20,,,,,
462,207,NA,1990-01-01,1992-12-31,,,,,
450,834,3,2006-06-20,2010-07-20,,,,,
423,1333,20,2005-05-25,2006-07-06,,,,,
424,1333,90,1996-04-19,1998-07-19,,,,,
489,493,4,2002-07-20,2006-07-19,,,,,
490,493,4,1998-07-20,2002-07-19,,,,,
456,118,119,2002-07-20,2006-07-19,,,,,
457,118,6,2006-07-20,2010-07-19,,,,,
491,567,4,2002-07-20,2006-07-19,,,,,
434,157,2,2002-01-01,2006-01-01,,,,,
435,157,2,2002-01-01,2006-01-01,,,,,
436,157,2,2006-07-20,2007-07-20,,,,,
1427,532,4,1994-07-20,1998-07-19,,,,,
472,894,100,1998-07-20,2002-06-20,,,,,
506,1419,27,2008-02-01,2008-08-06,,,,,
511,1472,10,2004-01-01,2006-12-31,,,,,
512,1472,10,2006-01-01,2009-08-31,,,,,
513,1472,NA,2008-01-01,2010-02-04,,,,,
531,1416,NA,1996-01-01,1996-01-02,,,,,
532,1416,NA,1996-01-01,1996-01-02,,,,,
533,1416,NA,1995-01-10,1995-01-11,,,,,
534,1416,NA,1988-01-01,1988-01-02,,,,,
538,1420,NA,2004-01-01,2008-06-01,,,,,
544,1354,10,2008-01-01,2008-12-31,,,,,
543,1354,10,2004-01-01,2007-12-31,,,,,
547,1763,54,1990-08-01,1992-07-01,,,,,
550,284,NA,2005-06-12,2006-06-02,,,,,
433,183,3,2002-07-20,2006-07-19,,,,,
494,505,2,1998-07-20,2002-07-19,,,,,
495,505,2,2002-07-20,2006-07-20,,,,,
526,1473,NA,2010-02-11,2010-02-11,,,,,
527,1473,NA,2008-06-20,2010-02-09,,,,,
528,1473,NA,2005-08-01,2007-01-08,,,,,
514,1055,NA,1986-09-17,1988-12-31,,,,,
422,41,2,2006-07-20,2010-07-19,,,,,
481,153,2,1995-01-01,1997-08-08,,,,,
482,153,2,2001-01-01,2003-12-31,,,,,
483,153,2,2004-01-01,2006-01-31,,,,,
508,5,NA,2004-02-04,2006-11-22,,,,,
509,5,NA,2000-01-02,2003-12-31,,,,,
510,5,NA,1996-03-15,1998-08-22,,,,,
870,832,NA,1998-01-01,2000-12-31,,,,,
871,832,2,2003-10-07,2006-07-19,,,,,
479,205,4,1990-07-20,1991-07-19,,,,,
518,1894,107,2004-01-01,2007-01-01,,,,,
524,1618,6,1995-01-03,1997-12-30,,,,,
590,963,8,1994-07-20,1998-07-19,,,,,
591,390,68,1992-01-01,1993-01-01,,,,,
592,390,2,1994-07-20,1998-07-19,,,,,
593,390,2,1998-07-20,2002-07-19,,,,,
1428,542,NA,1995-01-01,1997-12-31,,,,,
558,1335,NA,2001-01-01,2003-12-31,,,,,
515,543,3,2002-07-20,2006-07-19,,,,,
1431,554,NA,1994-07-20,1998-07-19,,,,,
1430,551,NA,1991-07-01,1992-03-30,,,,,
519,155,NA,1997-01-01,2003-06-01,,,,,
520,155,NA,2006-01-01,2010-06-01,,,,,
530,162,35,1998-01-01,2002-06-30,,,,,
562,808,54,1996-07-20,1998-07-20,,,,,
563,808,54,1990-07-20,1994-07-20,,,,,
564,808,2,1986-07-20,1990-07-20,,,,,
516,1827,NA,1985-01-06,1985-07-25,,,,,
517,1827,NA,1988-09-01,1988-10-30,,,,,
108,484,77,1998-01-01,2000-01-01,,,,,
109,484,76,2000-01-01,2002-01-01,,,,,
111,484,77,2002-10-15,2003-01-16,,,,,
521,357,NA,2009-01-01,2009-05-01,,,,,
522,357,NA,2009-01-06,2010-01-30,,,,,
523,357,NA,1992-01-01,2002-01-01,,,,,
587,973,2,1994-07-20,1998-07-19,,,,,
588,973,2,1998-07-20,2002-07-19,,,,,
589,973,29,2002-07-20,2006-07-19,,,,,
539,2112,2,1999-01-01,2000-12-31,,,,,
540,2112,2,2001-01-01,2001-07-31,,,,,
117,498,4,2002-07-20,2006-07-20,,,,,
119,498,4,1995-01-01,1997-12-01,,,,,
120,498,4,1992-10-01,1993-12-01,,,,,
121,498,4,1988-07-01,1990-05-01,,,,,
551,1477,4,1988-01-01,1989-01-01,,,,,
552,1477,4,1989-01-01,1996-01-01,,,,,
553,1477,4,1999-01-01,2000-01-01,,,,,
541,1954,97,1990-01-01,1995-12-31,,,,,
542,1954,99,2004-01-01,2007-12-31,,,,,
572,1500,10,2007-05-10,2007-09-27,,,,,
548,2125,4,1968-05-12,1974-12-01,,,,,
549,2125,4,1962-08-05,1968-06-28,,,,,
507,1419,27,2007-02-05,2007-12-30,,,,,
559,1058,58,1995-01-01,1997-01-01,,,,,
595,570,1,1992-01-01,1997-01-01,,,,,
596,570,1,2002-07-20,2006-07-19,,,,,
488,490,2,1998-07-20,2002-07-19,,,,,
599,490,2,1994-07-20,1998-07-19,,,,,
616,565,2,1998-07-20,2002-07-19,,,,,
617,565,2,2002-07-20,2006-07-19,,,,,
581,896,4,1994-07-20,1998-07-19,,,,,
571,2268,NA,2008-01-01,2008-01-14,,,,,
1322,39,117,2007-10-31,2010-07-20,,,,,
574,2305,87,2012-01-01,2013-11-30,,,,,
1439,2442,1,2007-10-01,2008-01-01,,,,,
585,753,46,1995-01-01,1997-01-01,,,,,
586,753,6,1998-07-20,2002-07-19,,,,,
573,2263,2,2004-01-01,2007-01-01,,,,,
464,66,4,1999-09-09,2002-07-19,,,,,
554,257,68,2002-07-20,2006-07-19,,,,,
555,257,68,1998-07-20,2002-07-19,,,,,
557,257,NA,1992-06-01,1994-12-31,,,,,
576,100,4,1994-07-20,1998-07-19,,,,,
577,100,4,1993-03-16,1997-12-31,,,,,
578,100,4,1986-03-16,1988-03-16,,,,,
579,100,4,1998-07-20,2002-07-19,,,,,
580,100,4,2002-07-20,2006-07-19,,,,,
575,1894,107,1998-01-01,2001-01-01,,,,,
1437,763,5,2010-07-20,2014-07-19,,,,,
597,1022,33,1988-01-01,1990-01-01,,,,,
598,1022,67,1990-01-01,1992-01-01,,,,,
1432,2114,2,1994-07-20,1998-07-19,,,,,
330,1030,75,1995-01-01,1997-12-31,,,,,
331,1030,75,1990-01-01,1992-12-31,,,,,
632,1030,30,2002-07-20,2006-07-19,,,,,
396,255,4,2007-05-03,2010-07-19,,,,,
294,87,2,2002-07-20,2006-07-20,,,,,
594,390,72,2002-07-20,2006-07-19,,,,,
645,126,2,2002-07-20,2006-07-19,,,,,
646,939,2,2002-07-20,2006-07-19,,,,,
625,734,69,1998-07-20,2002-07-19,,,,,
630,409,4,1998-07-20,2002-07-19,,,,,
628,1196,53,1990-01-01,1992-07-01,,,,,
629,1196,53,1998-01-01,2000-01-01,,,,,
649,1184,NA,2004-01-01,2007-12-31,,,,,
633,234,4,2004-06-01,2005-09-30,,,,,
634,234,4,1990-07-20,1991-11-30,,,,,
635,234,4,1986-08-20,1987-11-18,,,,,
651,768,3,2002-07-20,2006-07-19,,,,,
650,1225,NA,2001-01-01,2003-12-31,,,,,
601,580,91,2002-07-20,2006-07-19,,,,,
608,560,20,1998-07-20,2002-07-19,,,,,
609,560,8,2002-07-20,2006-07-19,,,,,
605,557,2,1994-07-20,1998-07-19,,,,,
606,557,2,1998-07-20,2002-07-19,,,,,
607,557,5,2002-07-20,2006-07-19,,,,,
626,1062,2,1998-01-01,2001-01-01,,,,,
627,1062,2,2004-07-20,2006-07-19,,,,,
647,114,2,1998-07-20,2002-07-19,,,,,
648,114,2,2002-07-20,2006-07-19,,,,,
565,808,2,1987-01-01,1988-12-31,,,,,
566,808,2,1984-01-01,1985-12-31,,,,,
652,115,44,2002-07-20,1998-07-19,,,,,
619,834,2,1998-07-20,2002-07-19,,,,,
620,834,53,2002-07-20,2006-07-19,,,,,
638,627,1,2002-07-20,2006-07-19,,,,,
118,498,4,1998-07-20,2002-07-19,,,,,
621,578,4,1994-07-20,1998-07-19,,,,,
622,578,4,1998-07-20,2002-07-19,,,,,
623,578,4,2002-07-20,2006-07-19,,,,,
613,662,2,1994-07-20,1998-07-19,,,,,
614,662,2,1998-07-20,2002-07-19,,,,,
615,662,2,2002-07-20,2006-07-19,,,,,
602,992,2,1994-07-20,1998-07-19,,,,,
603,992,2,1998-07-20,2002-07-19,,,,,
604,992,5,2002-07-20,2006-07-19,,,,,
255,853,93,1995-01-01,1997-12-31,,,,,
610,750,2,1994-07-20,1998-07-19,,,,,
611,750,2,1998-07-20,2002-07-19,,,,,
612,750,2,2002-07-20,2006-07-19,,,,,
640,1058,58,2004-08-17,2005-02-17,,,,,
618,573,53,1998-01-01,2000-01-01,,,,,
657,950,2,1998-07-20,2002-07-19,,,,,
658,950,2,2002-07-20,2006-07-19,,,,,
54,108,2,2002-07-20,2006-07-19,,,,,
55,108,3,2006-07-20,2010-07-20,,,,,
659,102,34,1998-07-20,2002-07-19,,,,,
660,102,7,2002-07-20,2006-07-19,,,,,
636,791,4,1998-07-20,2002-07-19,,,,,
673,259,4,2002-07-20,2006-07-19,,,,,
695,192,60,1998-01-01,2002-07-19,,,,,
693,251,3,2002-07-20,2006-07-19,,,,,
694,251,NA,1998-02-01,2001-08-01,,,,,
665,1527,4,2004-01-01,2007-12-31,,,,,
689,136,NA,1995-01-01,1997-12-31,,,,,
690,136,NA,1998-01-01,2000-12-31,,,,,
691,136,NA,1992-06-01,1995-12-31,,,,,
664,1950,2,2008-01-01,2010-02-02,,,,,
675,718,NA,1992-06-01,1994-12-31,,,,,
676,718,NA,1995-01-01,1996-01-01,,,,,
682,1781,5,2008-01-01,2010-02-02,,,,,
1323,1219,107,2006-07-20,2010-07-20,,,,,
683,2442,54,1998-01-01,2000-12-31,,,,,
684,2442,54,2001-01-01,2003-12-31,,,,,
685,2442,NA,2004-01-01,2007-12-31,,,,,
692,106,NA,1988-06-01,2000-12-31,,,,,
667,1513,4,2004-01-01,2007-12-31,,,,,
668,1513,4,2008-01-01,2009-07-30,,,,,
669,1522,4,2001-01-01,2003-12-31,,,,,
670,1522,4,2004-01-01,2007-12-31,,,,,
687,1531,NA,1998-01-01,2000-12-31,,,,,
643,1011,2,1992-06-01,1994-12-31,,,,,
644,1011,NA,1988-01-01,1990-05-01,,,,,
641,1292,1,1995-01-01,1997-01-01,,,,,
642,1292,53,1992-01-01,1994-01-01,,,,,
679,1785,NA,1992-06-01,1994-12-31,,,,,
681,1785,NA,1986-01-01,1987-12-31,,,,,
1440,1785,NA,1976-10-26,1984-04-03,,,,,
661,1952,2,2001-01-01,2003-12-31,,,,,
662,1952,2,2004-01-01,2007-12-31,,,,,
663,1952,2,2008-01-01,2010-02-02,,,,,
686,1532,4,2008-01-01,2010-02-02,,,,,
666,1527,4,2008-01-01,2010-02-02,,,,,
674,2031,NA,1995-08-01,1997-12-31,,,,,
639,1286,2,1995-01-01,2000-01-01,,,,,
763,556,NA,1998-01-01,2000-12-31,,,,,
764,556,53,2002-07-20,2006-07-19,,,,,
1324,42,4,2006-07-20,2010-07-19,,,,,
454,214,NA,1995-01-01,1997-12-31,,,,,
455,214,4,1998-01-01,2000-12-31,,,,,
732,1716,NA,1998-01-01,2000-12-31,,,,,
733,1716,NA,2004-01-01,2007-12-31,,,,,
192,656,45,2002-07-20,2006-12-31,,,,,
711,1992,NA,1998-01-01,2000-12-31,,,,,
712,1992,NA,2001-01-01,2003-12-31,,,,,
713,1992,NA,2008-01-01,2010-02-02,,,,,
492,122,NA,1995-01-01,2006-01-31,,,,,
493,122,3,2006-07-20,2010-07-20,,,,,
754,1605,NA,2004-01-01,2007-12-31,,,,,
755,1605,NA,2001-01-01,2003-12-31,,,,,
688,136,47,2002-07-20,2006-07-19,,,,,
735,107,NA,2004-01-01,2005-12-31,,,,,
736,107,2,2006-07-20,2010-07-19,,,,,
757,2507,NA,2001-01-01,2003-12-31,,,,,
758,2507,NA,1998-01-01,2000-12-31,,,,,
759,2507,NA,1991-06-01,1992-03-31,,,,,
773,2517,2,2001-01-01,2003-12-31,,,,,
746,1245,NA,2001-01-01,2003-12-31,,,,,
747,1245,NA,1995-01-01,1997-12-31,,,,,
748,1245,NA,1992-06-01,1994-12-31,,,,,
706,2479,NA,2004-01-01,2007-12-31,,,,,
740,453,NA,1990-06-01,1992-03-31,,,,,
249,844,75,1990-01-01,1992-12-31,,,,,
250,844,75,1998-01-01,2000-12-31,,,,,
251,844,75,1993-01-01,1995-12-31,,,,,
252,844,75,1996-01-01,1997-12-31,,,,,
653,115,2,1998-07-20,2002-07-19,,,,,
654,115,NA,1995-01-01,1997-12-31,,,,,
655,115,NA,1992-01-01,1994-12-31,,,,,
719,2487,47,2002-07-20,2006-07-19,,,,,
872,666,2,1998-07-20,2002-07-19,,,,,
