id|congresista_id|tipo_investigacion_id|descripcion|activo|usercreated|usermodifed|created_at|updated_at
69|1220|26|"Perdió la investidura por concusión. Renunciado y empezó a ser investigado por la Corte Suprema de Justicia por fraude electoral y trasteo de votos por haber ofrecido subsidios de vivienda a cambio de votos y haber facilitado el trasteo de votantes de Vilavicencio hacia Bogotá. (06OCT09).

Visto: enero 31/13"|TRUE|NA|NA|2010-02-17 21:20:07|2019-05-30 20:24:03
77|1228|12|"Perdió la investidura por haber sido contratista del Estado seis meses antes de su elección como representante. intervino en la celebración de un contrato de prestación de servicios de transporte con una Empresa Social del Estado de Guaviare en diciembre de 2005, con lo cual incurrió en una de las causales de inhabilidad previstas en la Constitución.  (11DIC07).


Visto: enero 31/13"|TRUE|NA|NA|2010-02-17 21:41:31|2019-05-30 20:29:16
67|1190|1|"Llamado a juicio (10ABR08). Investigado  por la Corte Suprema de Justicia dentro del proceso de la ELENOPOLÍTICA. Renunció a su curul (21MAY08).

http://www.cambio.com.co/paiscambio/751/ARTICULO-WEB-NOTA_INTERIOR_CAMBIO-3825724.html
Visto: enero 31/13"|TRUE|NA|NA|2010-02-17 21:13:37|2013-01-31 17:00:59
57|1239|3|"Corte dejó en firme su condena. (12NOV13). Condenado a 8 años de cárcel por los delitos de concierto para delinquir agravado, promover grupos armados ilegales y constreñimiento al sufragante. (19JUL10). DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA.

http://www.radiosantafe.com/2010/07/19/por-parapolitica-condenado-excongresista-alvaro-moron-cuello-a-8-anos-de-carcel/
Visto: enero 31/13
http://www.elespectador.com/noticias/judicial/corte-dejo-firme-condena-contra-excongresista-alvaro-mo-articulo-457790
Tomado: Noviembre 12/13"|TRUE|NA|NA|2010-02-17 20:54:58|2013-11-12 18:45:03
362|12911|233|El Consejo de Estado admitió para su estudio una demanda de nulidad (17DIC18) por presunta inhabilidad para ejercer como Representante a la Cámara por haber celebrado un contrato con la alcaldía de Cartagena en 2017.|TRUE|NA|NA|2019-02-20 14:32:31|2020-02-18 17:53:06
65|988|13|"Consejo de Estado declaró NULIDAD ELECTORAL a su elección por considerar que las autoridades departamentales no protegieron el derecho al sufragio al permitir que las Farc sustrajeran e incineraran material electoral. Se llamarán nuevos comicios. 

"|TRUE|NA|NA|2010-02-17 21:10:11|2013-01-31 19:32:56
59|1209|1|"INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA.

http://eje21.com.co/index.php?option=com_content&task=view&id=13170&Itemid=1
Visto: enero 31/13"|TRUE|NA|NA|2010-02-17 20:59:00|2013-01-31 19:39:19
56|1058|52|"La Procuraduría General lo condenó a 6 años y 4 meses de cárcel por CELEBRACIÓN INDEBIDA DE CONTRATOS mientras se desempeñaba como Alcalde de su municipio natal en 1997. Perdió su investidura (19DIC07).

http://www.caracol.com.co/nota.aspx?id=513041
Visto: enero 31/13"|TRUE|NA|NA|2010-02-17 20:53:39|2013-01-31 19:41:50
55|1264|51|"Condenado a 6 años y 8 meses de prisión. (18MAY10). DETENIDO e INVESTIGADO por la Corte Suprema de Justicia por PECULADO POR APROPIACIÓN Y CELEBRACIÓN INDEBIDA DE CONTRATOS cuando se desempeñaba como alcalde de María la Baja, Bolívar.

http://www.elespectador.com/noticias/judicial/articulo-203797-condenan-mas-de-seis-anos-de-carcel-ex-congresista-silfredo-morale
Visto: enero 31/13"|TRUE|NA|NA|2010-02-17 20:52:34|2013-01-31 19:42:58
50|662|3|"La Corte ratificó su condena (09MAR11). CONDENADO a seis años de prisión en el proceso de la parapolítica (25NOV08). Detenido (31AGO09). Curul suspendida (20JUL07).

http://www.elespectador.com/articulo90348-seis-anos-de-prision-juan-manuel-lopez-cabrales
Visto: enero 31/13"|TRUE|NA|NA|2010-02-16 22:07:29|2013-01-31 19:48:49
49|46|1|"INDAGACIÓN PRELIMINAR  dentro del proceso de la FARCPOLITICA.

http://www.semana.com/wf_ImprimirArticulo.aspx?IdArt=110748
Visto: enero 31/13"|TRUE|NA|NA|2010-02-16 22:06:08|2013-01-31 19:49:54
