id,created_at,updated_at,tipo_investigacion_id,descripcion,congresista_id,activo,usercreated,usermodifed
57,54:58.3,45:02.9,3,"Corte dejó en firme su condena. (12NOV13). Condenado a 8 años de cárcel por los delitos de concierto para delinquir agravado, promover grupos armados ilegales y constreñimiento al sufragante. (19JUL10). DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA.

http://www.radiosantafe.com/2010/07/19/por-parapolitica-condenado-excongresista-alvaro-moron-cuello-a-8-anos-de-carcel/
Visto: enero 31/13
http://www.elespectador.com/noticias/judicial/corte-dejo-firme-condena-contra-excongresista-alvaro-mo-articulo-457790
Tomado: Noviembre 12/13",1239,NA,NA,NA
362,32:31.3,53:06.0,233,El Consejo de Estado admitió para su estudio una demanda de nulidad (17DIC18) por presunta inhabilidad para ejercer como Representante a la Cámara por haber celebrado un contrato con la alcaldía de Cartagena en 2017.,12911,NA,NA,NA
65,10:11.0,32:55.8,13,"Consejo de Estado declaró NULIDAD ELECTORAL a su elección por considerar que las autoridades departamentales no protegieron el derecho al sufragio al permitir que las Farc sustrajeran e incineraran material electoral. Se llamarán nuevos comicios. 

",988,NA,NA,NA
59,58:59.9,39:19.1,1,"INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA.

http://eje21.com.co/index.php?option=com_content&task=view&id=13170&Itemid=1
Visto: enero 31/13",1209,NA,NA,NA
56,53:38.6,41:50.2,52,"La Procuraduría General lo condenó a 6 años y 4 meses de cárcel por CELEBRACIÓN INDEBIDA DE CONTRATOS mientras se desempeñaba como Alcalde de su municipio natal en 1997. Perdió su investidura (19DIC07).

http://www.caracol.com.co/nota.aspx?id=513041
Visto: enero 31/13",1058,NA,NA,NA
55,52:33.6,42:57.9,51,"Condenado a 6 años y 8 meses de prisión. (18MAY10). DETENIDO e INVESTIGADO por la Corte Suprema de Justicia por PECULADO POR APROPIACIÓN Y CELEBRACIÓN INDEBIDA DE CONTRATOS cuando se desempeñaba como alcalde de María la Baja, Bolívar.

http://www.elespectador.com/noticias/judicial/articulo-203797-condenan-mas-de-seis-anos-de-carcel-ex-congresista-silfredo-morale
Visto: enero 31/13",1264,NA,NA,NA
50,07:28.9,48:49.1,3,"La Corte ratificó su condena (09MAR11). CONDENADO a seis años de prisión en el proceso de la parapolítica (25NOV08). Detenido (31AGO09). Curul suspendida (20JUL07).

http://www.elespectador.com/articulo90348-seis-anos-de-prision-juan-manuel-lopez-cabrales
Visto: enero 31/13",662,NA,NA,NA
49,06:07.7,49:53.7,1,"INDAGACIÓN PRELIMINAR  dentro del proceso de la FARCPOLITICA.

http://www.semana.com/wf_ImprimirArticulo.aspx?IdArt=110748
Visto: enero 31/13",46,NA,NA,NA
47,39:26.8,50:56.1,19,"Estuvo DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA, acusado de enriquecimiento ilicito y constreñimiento al elector (07ABR08). ABSUELTO por falta de pruebas (16MAR08). Renunció a su curul (19AGO08).

http://www.caracol.com.co/nota.aspx?id=779192
Visto: enero 31/13",565,NA,NA,NA
46,37:45.0,52:39.4,1,"Estuvo en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA (24JUL08). Falleció el 18 de enero de 2009.
http://www.semana.com/on-line/articulo/corte-suprema-abre-investigacion-senador-victor-renan-barco/94105-3
Visto: enero 31/13",368,NA,NA,NA
39,22:49.2,01:43.4,24,"La Corte Suprema de Justicia archivó el proceso al no encontrar pruebas contundentes para relacionar a la exsenadora con grupos paramilitares. Se encontraba en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA en abril de 2007. Renunció a su curul (30ENE09).

http://www.elespectador.com/noticias/judicial/articulo-292390-archivan-proceso-parapolitica-contra-adriana-gutierrez
Visto: enero 31/13",612,NA,NA,NA
66,12:28.2,09:05.6,3,"CONDENADO a seis años de prisión y 2 mil SLMM en el proceso de la PARAPOLÍTICA (Diciembre 2007).

http://www.semana.com/wf_InfoArticulo.aspx?IdArt=108464
Visto: enero 31/12

Deberá pedir perdón a la sociedad, por orden de un juez (01FEB13).
http://www.elespectador.com/noticias/nacional/articulo-402307-dos-excongresistas-condenados-parapolitica-le-deberan-pedir-perd
Visto: febrero 01/13",1196,NA,NA,NA
111,38:44.6,23:49.3,1,"La Corte Suprema de Justicia le abrió investigación preliminar por posibles nexos con grupos armados ilegales el 03 de julio de 2009.

http://www.verdadabierta.com/nunca-mas/asesinatos/union-patriotica/1398-corte-suprema-abre-investigacion-contra-congresista-hector-javier-osorio-botello-por-parapolitica
Visto: enero 28/13",197,NA,NA,NA
115,07:09.7,58:56.4,13,"El Consejo de Estado despojó de la credencial al representante a la Cámara por el Valle Eiber Gustavo Navarro, del Movimiento Popular Unido, pues en su providencia, el máximo tribunal anuló 90 mesas de doce municipios del departamento del Valle, luego de comprobar fraude y adulteración de los resultados. En reemplazo de Navarro, el Consejo de Estado entregó la curul a Luis Antonio Cuéllar, segundo reglón de la lista que encabezó el ex comandante de la Tercera División del Ejército Jaime Ernesto Canal. 

http://www.elcolombiano.com/BancoConocimiento/O/olac_consejo_estado_quita_credencial_congresista_colprensa_ana_04112004/olac_consejo_estado_quita_credencial_congresista_colprensa_ana_04112004.asp

Visto: Enero 28/13",752,NA,NA,NA
10,17:15.1,24:43.7,3,"Condenado a 90 meses de prisión (18AGO10). El ex parlamentario también deberá pagar una sanción pecuniaria de más de 3.300 millones de pesos, equivalentes a 6.500 salarios mínimos mensuales  vigentes y estará inhabilitado para el ejercicio de funciones públicas durante el mismo lapso que dure la pena. Estuvo DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA Bloque Elmer Arenas (08ABR08). 

De igual forma, la Procuraduría General formuló pliego de cargos contra el excongresista por sus presuntos vínculos con grupos paramilitares para lograr un beneficio político y electoral (01NOV12).

http://www.elespectador.com/noticias/judicial/articulo-384560-procuraduria-abrio-proceso-contra-excongresista-humberto-builes
Visto: enero 28/13",399,NA,NA,NA
4,01:19.4,36:26.8,24,"Estuvo en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA. La Corte Suprema de Justicia decidió CERRAR su expediente (23JUN08).
http://www.eltiempo.com/archivo/documento/CMS-4343629
Visto: enero 28/13",100,NA,NA,NA
95,10:15.6,19:23.8,3,"INVESTIGADO por parte de la Corte Suprema de Justicia dentro del proceso de la PARAPOLITICA.  Fue DETENIDO (23ENE09). Renunció a la curul (01ABR09). Fue CONDENADO por la Corte Suprema de Justicia  a 7 años y 5 meses de prisión por sus nexos con el Bloque Central Bolívar de las Auc. (16SEPT10).

http://www.eltiempo.com/colombia/justicia/condena-al-ex-congresista-miguel-ngel-rangel-por-parapolitica_7909685-1

Visto: enero 30/13",853,NA,NA,NA
164,47:44.5,49:43.0,58,"La Procuraduría General de la Nación le inició investigación disciplinaria (11MAR11). La investigación se origina a partir de la compulsa de copias que hiciera la Corte Suprema de Justicia para investigar los supuestos indebidos manejos en la Dirección Nacional de Estupefacientes. Llamado a versión libre (18ENE12).

http://www.elespectador.com/noticias/judicial/articulo-256299-escandalo-de-dne-procuraduria-abre-indagacion-13-
dirigentes
Visto: enero 24/13

La Corte Suprema abrió investigación preliminar en contra por el supuesto tráfico de influencias que ejercieron dentro de la Dirección Nacional de Estupefacientes, DNE (06ABR11).
http://www.elespectador.com/noticias/judicial/articulo-261299-caso-dne-corte-abre-indagacion-14-dirigentes
Visto: enero 24/13
",9,NA,NA,NA
27,24:46.2,56:58.0,3,"Ante el Consejo de Estado el exsenador Luis Eduardo Vives Lacouture solicitó que se anule la sanción disciplinaria interpuesta por la Procuraduría General en su contra por vínculos con grupos paramilitares (12ABR13). CONDENADO a siete años de prisión y $923 millones en el proceso de la PARAPOLÍTICA (01AGO08). Se le dio casa por cárcel alegando ser padre cabeza de familia (9ENE09) pero se rebocó la medida al no demostrar la situación de cabeza de hogar (10MAR09). Renunció a la curul (27NOV07).

http://www.elespectador.com/noticias/judicial/articulo-415526-exsenador-luis-eduardo-vives-lacouture-pide-se-anule-fallo-disci
Tomado: abril 12/13

http://www.elespectador.com/parapolitica/articulo-luis-eduardo-vives-condenado-siete-anos-parapolitica
Visto: enero 30/13",1007,NA,NA,NA
114,30:50.7,59:49.6,85,"Tiene investigación preliminar por posibles nexos con grupos armados ilegales. Se abrió investigación penal y disciplinaria pues el senador habría hecho gestiones irregulares para que le fueran entregados nueve establecimientos de comercio, denominados Mercacentro y Mercafácil, a la Caja de Compensación del Tolima, representada por Nélson Norbey Quintero.

http://www.kienyke.com/2011/11/30/los-pecados-de-catorce-congresistas/

Visto: enero 28/13",256,NA,NA,NA
108,46:53.3,19:03.0,1,"Tiene una investigación preliminar por presuntos nexos con grupos armados ilegales.
http://www.eje21.com.co/index.php?option=com_content&task=view&id=13170&Itemid=1
Visto: enero 30/13",2485,NA,NA,NA
106,04:21.8,30:18.4,31,"Investigan origen de más de $130 millones de pesos transportados en avioneta vinculados a campaña política (13MAR10).

http://www.caracol.com.co/noticias/judicial/investigan-origen-de-mas-de-130-millones-de-pesos-transportados-en-avioneta-vinculados-a-campana-politica/20100313/nota/968458.aspx
Visto: enero 30/13",970,NA,NA,NA
25,18:49.9,06:52.5,6,"Renunció por inhabilidad para ocupar el cargo (18AGO09). LLAMADO A JUICIO (09DIC09).
www.procuraduria.gov.co/.../file/.../161-02600.do... - 
Visto: enero 28/13",1309,NA,NA,NA
120,01:26.7,51:07.9,12,"Fue condenado a 18 meses de prisión domiciliaria por la Sala Penal del Tribunal Superior de Tunja, por el delito de receptación, quedando inhabilitado para el ejercicio de funciones públicas por igual tiempo que la pena principal.

http://www.terra.com.co/elecciones_2002/congreso_2002_2006/22-07-2002/nota63342.html

Visto: enero 28/13",868,NA,NA,NA
168,13:10.3,46:14.9,3,"El congresista Conde Romero fue condenado (06ABR11) a 60 meses de prisión luego de que la Sala penal de la Corte Suprema de Justicia lo declarara culpable del cargo de concierto para delinquir agravado, derivado de su vinculación al escándalo de la parapolítica. Fue detenido (08JUN10) por sus presuntos vínculos con paramilitares. Conde Romero es investigado luego de que Edward Cobos Téllez, alias ‘Diego Vecino’, sostuviera durante una audiencia pública que los paramilitares sí tuvieron varios vínculos con él. 

http://www.elespectador.com/noticias/judicial/articulo-261335-parapolitica-condenan-jose-maria-conde-romero
Visto: enero 24/13",2486,NA,NA,NA
154,49:18.8,01:20.0,25,"La Fiscalía precluyó la investigación que se adelantaba en contra del ex senador Gnecco, por su presunta relación con miembros de las AUC (08NOV09). En marzo de 2008 tenía investigación  como presunto responsable del delito de concierto para delinquir agravado, según determinó un fiscal de la Unidad Nacional Antiterrorismo.

http://www.elespectador.com/articulo155466-cierran-investigacion-parapolitica-contra-pepe-gnecco
Visto: enero 24/13",574,NA,NA,NA
127,33:17.0,33:17.0,41,"La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.",60,NA,NA,NA
128,35:13.4,35:13.4,41,"La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.",98,NA,NA,NA
129,35:40.6,35:40.6,41,"La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.",288,NA,NA,NA
125,02:05.8,16:41.9,2,"Fue detenido (18FEB11) por orden de la Corte Suprema de Jusiticia. La Fiscalía dictó medida de aseguramiento contra el ex congresista santandereano Carlos Reinaldo Higuera Escalante, por sus presuntos vínculos con las Autodefensas, en particular, con el desmovilizado jefe paramilitar Iván Roberto Duque, alias Ernesto Báez.

En la misma providencia, la Fiscalía se abstuvo de imponer medida de aseguramiento a Carlos Julio Galvis Anaya, quien continuará vinculado al proceso.

http://www.elespectador.com/noticias/judicial/articulo-251814-parapolitica-capturan-exsenadores-galvis-e-higuera
Visto: enero 28/13",2212,NA,NA,NA
123,57:22.3,24:48.4,3,"El ex senador Carlos Arturo Clavijo Vargas fue condenado a 45 meses de prisión por el delito de concierto para delinquir agravado, tras comprobarse sus nexos con las Autodefensas Unidas de Colombia. (14OCT08).

http://www.elcolombiano.com/BancoConocimiento/C/clavijo_a_pagar_por_parapolitica/clavijo_a_pagar_por_parapolitica.asp
Visto: enero 28/13",455,NA,NA,NA
122,51:11.0,26:03.9,38,"Inhabilitan permanente al ex congresista Jesús Reyes Gosselin por no entregar un arma. El ex congresista no devolvió al Congreso una pistola Smith & Wesson, de calibre nueve milímetros que recibió el 13 de octubre del 2004 para su seguridad y que fue avaluada en 961.067 pesos. El ex congresista no pudo ser ubicado después de su salida del Congreso. La dirección de su residencia en Magangué (Bolívar) no existe y jamás contestó a los llamados de la Procuraduría para que respondiera en el proceso disciplinario (05MAY09).

http://colombia.noticiasabc.com/2009/03/05/inhabilitan-permanente-al-ex-congresista-jesus-reyes-gosselin-por-no-entregar-un-arma/
Visto: enero 28/13",1126,NA,NA,NA
119,43:11.6,52:23.9,37,"El primero de junio de 2009, la Corte Suprema de Justicia abrió investigación preliminar contra el ex congresista y hoy embajador de Colombia en Brasil, Tony Jozame Amar, porque supuestamente recibió prebendas para favorecer la reelección (17JUN09).

http://www.caracol.com.co/noticias/judicial/inician-investigacion-preliminar-al-embajador-tony-jozame-amar/20090617/nota/830730.aspx
Visto: enero 28/13",650,NA,NA,NA
117,00:44.3,54:17.2,3,"Condenado a 7 años y medio de prisión por su participación en el llamado Pacto de Ralito con las Autodefensas (08FEB12). Fue detenido el 25 de noviembre de 2008 por presuntos nexos con las Auc. Pidió la detención domiciliaria, a través de su abogado, por quebrantos de salud.

http://www.elespectador.com/noticias/judicial/articulo-325488-condenados-90-meses-de-prision-tres-excongresistas-el-pacto-de-r
Visto: enero 28/13",535,NA,NA,NA
16,46:03.5,17:23.7,3,"Condenado a 72 meses de prisión por vínculos con grupos paramilitares que operaron en Norte de Santander (17SEPT09). DETENIDO e INVESTIGADO dentro del proceso de la PARAPOLÍTICA (21ABR08).

http://www.verdadabierta.com/justicia-y-paz/extraditados/1658-corte-suprema-condena-a-senador-ricardo-elcure-por-parapolitica
Visto: enero 28/13",1856,NA,NA,NA
98,14:55.4,23:48.4,2,"El 30 de julio de 2008 se le abrió  INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA. Fue detenido el 29 de abril de 2010 por orden de la Corte Suprema de Justicia, que lo investiga por presuntos nexos con miembros del cartel del Norte del Valle. 

http://www.semana.com/noticias-justicia/luis-carlos-restrepo-orozco-su-carrera-norte-del-valle/138234.aspx
Visto: enero 30/13",1181,NA,NA,NA
