id,nombre,activo,usercreated,usermodifed,created_at,updated_at
90,ICEL -  Instituto Colombiano de Energía Eléctrica,NA,NA,NA,15/03/10 6:13,01/09/10 15:25
91,Metrocali S.A.,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
1759,CCP- Centro Cibernético Policial,NA,NA,NA,09/08/17 14:11,09/08/17 14:11
95,"COLCIENCIAS - Departamento Administrativo de Ciencia, Tecnología e Innovación",NA,NA,NA,15/03/10 6:13,25/08/10 15:19
96,Universidad Antonio Nariño,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
22,Ministerio de Educación Nacional,NA,NA,NA,15/03/10 6:13,06/06/17 20:05
2,Ministerio de Hacienda y Crédito Público,NA,NA,NA,15/03/10 6:13,06/06/17 19:06
16,"Ministerio de Ambiente, Vivienda y Desarrollo Territorial",NA,NA,NA,15/03/10 6:13,06/06/17 19:22
6,"Ministerio de Comercio, Industria y Turismo",NA,NA,NA,15/03/10 6:13,06/06/17 19:35
5,Ministerio de Interior y de Justicia,NA,NA,NA,15/03/10 6:13,06/06/17 19:50
31,Banco Agrario,NA,NA,NA,15/03/10 6:13,07/06/17 19:52
10,FAC - Fuerza Aérea Colombiana,NA,NA,NA,15/03/10 6:13,08/06/17 14:50
89,Consejo Superior de la Judicatura,NA,NA,NA,15/03/10 6:13,07/06/17 21:01
35,ICBF - Instituto Colombiano de Bienestar Familiar,NA,NA,NA,15/03/10 6:13,08/06/17 15:16
27,INVIAS - Instituto Nacional de Vías,NA,NA,NA,15/03/10 6:13,08/06/17 15:33
43,ISS - Instituto de Seguros Sociales,NA,NA,NA,15/03/10 6:13,08/06/17 15:38
69,SUPERFINANCIERA - Superintendencia Financiera de Colombia,NA,NA,NA,15/03/10 6:13,08/06/17 16:14
98,Cruz Roja Internacional,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
50,SUPERSALUD - Superintendencia Nacional de Salud,NA,NA,NA,15/03/10 6:13,08/09/20 19:13
100,ESAP - Escuela Superior de Administración Publica,NA,NA,NA,15/03/10 6:13,26/08/10 20:28
101,DAFP - Departamento Administrativo de la Función Pública,NA,NA,NA,15/03/10 6:13,26/08/10 20:11
102,Banco del Estado,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
1151,Contraloría Departamental del Guaviare,NA,NA,NA,28/10/10 18:02,28/10/10 18:02
104,Bancafe,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
105,Banco Granahorrar,NA,NA,NA,15/03/10 6:13,02/09/10 19:40
111,DIAN - Dirección de Impuestos y Aduanas Nacionales de Colombia,NA,NA,NA,15/03/10 6:13,08/06/17 21:12
107,ECOSALUD - Empresa Colombiana de Recursos para la Salud,NA,NA,NA,15/03/10 6:13,26/08/10 20:36
