id,voto,votante_id,proyecto_id
1,TRUE,2133,5619
12,TRUE,2133,5641
107,TRUE,3708,5955
2,TRUE,2469,5619
13,TRUE,2470,5622
135,FALSE,4067,5955
14,TRUE,1331,1104
108,TRUE,3739,6155
3,TRUE,1596,1865
15,TRUE,2635,1936
4,TRUE,1595,1865
5,TRUE,1595,1283
16,TRUE,2621,5671
6,TRUE,2532,5643
67,FALSE,3150,5905
7,TRUE,1595,5641
109,TRUE,3757,5711
8,TRUE,2542,5643
17,TRUE,1595,1660
9,TRUE,2436,5641
136,TRUE,4062,6198
183,FALSE,4362,6304
18,TRUE,1594,148
11,TRUE,2548,5626
110,TRUE,3340,6155
19,TRUE,2741,5653
20,TRUE,2741,5671
111,FALSE,3340,6147
21,TRUE,2743,5671
138,TRUE,4091,5769
22,TRUE,2692,5672
112,FALSE,3754,1955
23,TRUE,2791,5671
184,FALSE,4380,6304
113,TRUE,3772,5671
24,TRUE,2834,5671
139,TRUE,4092,5671
25,TRUE,2875,5769
26,TRUE,1591,5842
114,TRUE,3772,5769
27,TRUE,1331,5842
140,TRUE,4092,5769
28,TRUE,1596,5842
115,FALSE,2590,6151
185,TRUE,4396,6318
141,TRUE,4093,5769
116,TRUE,3858,5980
29,FALSE,1595,5769
30,TRUE,2909,5839
117,TRUE,3866,5846
46,TRUE,3028,5769
31,TRUE,2880,5839
142,TRUE,4094,5769
47,FALSE,1595,5719
48,FALSE,3039,5975
32,TRUE,2880,5842
186,FALSE,4399,6304
119,TRUE,3922,6198
33,TRUE,2880,5812
143,TRUE,4094,5671
49,TRUE,1595,5975
120,FALSE,3423,6151
34,TRUE,2880,5860
121,TRUE,3841,6000
36,TRUE,2936,1893
144,TRUE,4095,5769
50,FALSE,3043,5975
68,TRUE,3144,1865
122,TRUE,3929,6129
187,FALSE,4402,6304
37,TRUE,2133,5842
123,TRUE,3879,6199
145,TRUE,288,3457
124,TRUE,3879,6171
51,TRUE,2743,5769
125,FALSE,3879,6147
146,FALSE,4168,6147
188,FALSE,4405,6304
147,TRUE,4222,6205
148,TRUE,4222,6206
127,FALSE,3754,5955
149,TRUE,4222,6210
70,TRUE,1595,5905
53,TRUE,2432,5846
129,FALSE,3929,6147
54,TRUE,3088,5893
150,TRUE,4222,6239
190,FALSE,4412,6304
130,FALSE,3987,5955
151,TRUE,4222,6215
131,FALSE,3774,5955
71,TRUE,3215,6048
152,FALSE,4241,6157
58,FALSE,1595,5822
132,TRUE,3292,5769
59,FALSE,1594,5769
60,TRUE,3116,5812
153,TRUE,4179,6170
61,TRUE,3125,5671
154,TRUE,4179,6293
62,TRUE,1595,5812
63,TRUE,3116,1869
64,FALSE,3116,1677
134,TRUE,4065,5671
65,FALSE,3116,6014
66,FALSE,3116,5865
164,FALSE,4297,6304
72,TRUE,3220,5769
155,FALSE,4279,6304
73,TRUE,2775,5769
75,TRUE,3222,5769
76,TRUE,3223,5769
157,FALSE,4283,6304
77,TRUE,1594,5664
158,FALSE,4282,6304
79,FALSE,1331,5975
159,FALSE,4285,6304
81,FALSE,3162,1677
160,FALSE,4286,6304
84,TRUE,1595,6000
161,FALSE,4292,6304
86,TRUE,1331,6068
162,FALSE,4287,6304
87,TRUE,3311,6059
88,FALSE,3268,6112
163,FALSE,4293,6304
89,TRUE,3268,5893
165,FALSE,4300,6304
90,FALSE,1595,5893
91,TRUE,2732,5893
166,FALSE,4301,6304
92,TRUE,3387,5893
93,TRUE,3268,6110
167,FALSE,4302,6304
168,FALSE,4304,6304
96,FALSE,3587,5885
169,FALSE,4305,6304
98,TRUE,3640,5852
99,FALSE,1591,5885
170,FALSE,4306,6304
171,TRUE,4308,5729
102,FALSE,1595,5955
103,FALSE,3624,5955
172,FALSE,4309,6304
104,TRUE,1595,6040
105,TRUE,3693,6155
173,FALSE,4313,6304
106,FALSE,3693,6147
174,FALSE,4315,6304
175,FALSE,4319,6304
176,FALSE,4323,6304
177,TRUE,4306,6303
178,FALSE,4339,6304
179,FALSE,4347,6304
182,FALSE,4361,6304
196,TRUE,3961,6157
197,TRUE,3268,6400
198,TRUE,3116,6303
199,FALSE,3423,6292
200,TRUE,4604,6216
201,FALSE,1598,6292
202,TRUE,4650,1773
203,FALSE,4661,1677
207,FALSE,4691,4091
208,TRUE,4700,6442
209,FALSE,4280,6304
210,FALSE,4737,6475
211,TRUE,4831,5852
212,FALSE,4840,6497
213,TRUE,4851,6183
214,TRUE,4877,6154
215,TRUE,4899,6081
216,TRUE,4945,6444
217,TRUE,4954,6295
218,TRUE,4996,6251
220,TRUE,5025,6284
221,TRUE,131,6528
222,TRUE,3423,6528
223,TRUE,4999,6295
224,TRUE,4983,6295
225,TRUE,5167,6295
226,TRUE,5169,6511
227,FALSE,5169,6497
228,FALSE,5169,6475
229,TRUE,5169,6453
230,TRUE,5169,6317
231,TRUE,5169,6295
232,TRUE,5178,6295
233,TRUE,5182,6295
234,TRUE,5192,5721
235,TRUE,4885,6295
236,FALSE,5202,6632
237,FALSE,5203,6632
238,TRUE,5236,1662
239,TRUE,5246,6505
240,FALSE,5248,6632
241,FALSE,5329,6592
242,TRUE,5385,6636
244,TRUE,5422,6135
245,FALSE,5434,6148
247,TRUE,5290,6710
248,TRUE,4762,6218
249,TRUE,5493,6643
250,TRUE,5513,5899
251,TRUE,5537,6713
252,TRUE,5657,6490
255,FALSE,2608,6129
257,TRUE,5890,6665
259,FALSE,3423,6437
260,FALSE,5983,6972
261,FALSE,5983,6735
262,FALSE,6140,6835
264,FALSE,3216,6777
265,TRUE,6273,6295
266,TRUE,6274,6655
267,TRUE,6281,1418
268,TRUE,6288,5690
269,TRUE,6304,6517
271,TRUE,6313,7107
272,TRUE,6313,7044
273,TRUE,6313,7102
274,FALSE,6313,7063
277,TRUE,6377,6270
279,TRUE,6476,7174
280,TRUE,6484,6218
281,TRUE,3215,7128
282,TRUE,3215,7144
283,TRUE,6510,6295
284,TRUE,6514,6949
285,TRUE,6523,6790
286,TRUE,6371,7098
287,TRUE,5854,7128
288,TRUE,6476,7182
289,TRUE,6541,6784
293,TRUE,6628,6935
295,TRUE,6652,7014
296,TRUE,3423,6927
298,FALSE,6716,7184
299,TRUE,6658,6442
300,TRUE,4831,6295
302,TRUE,6805,6273
303,TRUE,6820,7227
304,TRUE,6820,7223
305,TRUE,6556,7098
306,FALSE,5141,7278
307,TRUE,5141,7305
309,TRUE,6894,7304
310,TRUE,6925,7304
313,TRUE,7097,7472
317,FALSE,7183,7128
318,FALSE,7183,6844
