id,created_at,updated_at,nombre,activo,usermodifed,usercreated
51,2010/08/18 16:34:11,2010/08/18 16:34:11,"Ministra de Relaciones Exteriores, María Angela Holguín",NA,NA,NA
53,2010/08/18 16:37:30,2010/08/18 16:37:30,"Ministro de Defensa Nacional, Rodrigo Rivera Salazar",NA,NA,NA
54,2010/08/23 15:04:36,2010/08/23 15:04:36,"Ministro de la Protección Social, Mauricio Santamaría Salamanca",NA,NA,NA
55,2010/08/23 15:06:05,2010/08/23 15:06:05,"Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida",NA,NA,NA
56,2010/08/24 21:07:51,2010/08/24 21:07:51,"Presidente del Consejo de Estado, Rafael Ostau De Lafont",NA,NA,NA
57,2010/08/24 21:45:44,2010/08/24 21:45:44,"Directora del Departamento Administrativo de la Función Pública,  Elizabeth  Rodríguez  Taylor.",NA,NA,NA
112,2011/01/26 18:23:36,2011/01/26 18:23:36,"Fiscal General de la Nación, Jaime Córdoba triviño",NA,NA,NA
83,2010/11/10 19:05:27,2010/11/10 19:05:27,"Ministro del Interior y de Justicia, Fernando Londoño Hoyos",NA,NA,NA
84,2010/11/10 21:50:59,2010/11/10 21:50:59,"Defensor del Pueblo, Eduardo Cifuentes Muñoz",NA,NA,NA
85,2010/11/12 14:50:17,2010/11/12 14:50:17,"Viceministro de Hacienda y Crédito Público,  Juan Ricardo Ortega López",NA,NA,NA
86,2010/11/12 15:23:10,2010/11/12 15:23:10,"Ministro (E)  de Relaciones Exteriores, Jaime Girón Duarte",NA,NA,NA
59,2010/08/25 17:06:10,2010/08/25 17:07:26,"Procurador General de la Nación, Alejandro Ordoñez Maldonado",NA,NA,NA
64,2010/09/01 19:26:58,2010/09/01 19:26:58,"Presidente Consejo Electoral, Oscar Giraldo Jiménez",NA,NA,NA
63,2010/08/30 20:57:41,2010/08/30 20:58:52,"Presidente del Consejo Nacional Electoral, Ciro Muñoz Oñate",NA,NA,NA
66,2010/09/02 16:28:17,2010/09/02 16:28:17,"Ministro de Minas y Energía, Carlos Rodado Noriega",NA,NA,NA
67,2010/09/02 19:56:41,2010/09/02 19:56:41,"Contralor Encargado, Roberto Pablo Hoyos Botero",NA,NA,NA
69,2010/09/08 16:41:31,2010/09/08 16:41:31,"Ministro de Agricultura y Desarrollo Rural, Juan Camilo Restrepo",NA,NA,NA
70,2010/09/09 20:38:21,2010/09/09 20:38:21,"Viceministro de Desarrollo Económico, Juan Alfredo Pinto Saavedra",NA,NA,NA
71,2010/09/09 21:13:21,2010/09/09 21:13:21,"Procurador General de la Nación, Jaime Bernal Cuellar",NA,NA,NA
72,2010/09/28 22:14:24,2010/09/28 22:14:24,"Fiscal General de la Nación, Luis Camilo Osorio Isaza",NA,NA,NA
68,2010/09/02 22:01:52,2010/09/29 22:14:34,"Ministro de Agricultura y Desarrollo Rural, Carlos Gustavo Cano",NA,NA,NA
79,2010/10/20 20:46:02,2010/10/20 20:46:02,"Ministra de Educación (e), Juana Inés Díaz",NA,NA,NA
74,2010/10/05 21:55:50,2010/10/05 21:55:50,"Ministro de Defensa Nacional, Jorge Alberto Uribe Echavarria",NA,NA,NA
75,2010/10/11 20:30:31,2010/10/11 20:30:31,"Contralor General de la Nación, Antonio Hernández Gamarra",NA,NA,NA
82,2010/11/08 19:39:49,2010/11/08 19:39:49,"Presidente del Consejo Superior de la Judicatura, Guillermo Bueno Miranda.",NA,NA,NA
77,2010/10/13 22:04:31,2011/01/25 18:18:39,"Ministro de Defensa Nacional, Martha Lucía Ramírez",NA,NA,NA
78,2010/10/13 22:08:29,2010/10/13 22:08:29,"Presidenta del Consejo Superior de la Judicatura,  Lucía  Arbelaez de Tobón",NA,NA,NA
80,2010/10/21 19:56:56,2011/03/10 16:57:12,"Ministra de Cultura, María Consuelo Araujo",NA,NA,NA
88,2010/11/16 20:33:23,2010/11/16 20:33:23,"Ministro de la Protección Social, Juan Luis Londoño de la Cuesta",NA,NA,NA
89,2010/11/16 21:48:53,2010/11/16 21:48:53,"Ministra de Ambiente, Vivienda y Desarrollo Territorial,  Cecilia  Rodríguez  González - Rubio",NA,NA,NA
91,2011/01/13 21:04:11,2011/01/13 21:04:11,"Ministra de Justicia y del Derecho, Almabeatriz Rengifo López",NA,NA,NA
92,2011/01/13 21:51:56,2011/01/13 21:51:56,"Ministro de Minas y Energía, Orlando Cabrales Martínez",NA,NA,NA
93,2011/01/14 16:00:59,2011/01/14 16:00:59,"Ministro de Hacienda y Crédito Público, Juan Camilo Restrepo",NA,NA,NA
94,2011/01/14 17:37:47,2011/01/14 17:37:47,"Ministro de Hacienda y Crédito Público, Antonio Urdinola",NA,NA,NA
95,2011/01/14 19:30:18,2011/01/14 19:30:18,"Ministro de Transporte, Rodrigo Marín Bernal",NA,NA,NA
96,2011/01/14 19:58:58,2011/01/14 19:58:58,"Ministro de Medio Ambiente, Eduardo Verano de la Rosa",NA,NA,NA
97,2011/01/14 20:37:24,2011/01/14 20:37:24,"Ministro de Comunicaciones, José Fernando Bautista Quintero",NA,NA,NA
98,2011/01/14 20:46:29,2011/01/14 20:46:29,"Ministro de Relaciones Exteriores, Camilo Reyes Rodríguez",NA,NA,NA
99,2011/01/14 20:47:25,2011/01/14 20:47:25,"Ministro de Desarrollo Económico, Carlos Julio Gaitán González",NA,NA,NA
100,2011/01/17 17:20:22,2011/01/17 17:20:22,"Ministro de Educación, Jaime Niño Diez",NA,NA,NA
101,2011/01/17 19:27:12,2011/01/17 19:27:12,"Fiscal General de la Nación, Alfonso Gómez Méndez",NA,NA,NA
102,2011/01/19 16:19:19,2011/01/19 16:19:19,"Presidente del Consejo Superior de la Judicatura, Gustavo Cuello Iriarte",NA,NA,NA
103,2011/01/19 18:50:21,2011/01/19 18:50:21,"Ministro del Interior, Alfonso López Caballero",NA,NA,NA
104,2011/01/21 21:25:44,2011/01/21 21:25:44,"Ministro del Interior, Néstor Humberto Martínez Neira",NA,NA,NA
105,2011/01/24 19:09:53,2011/01/24 19:09:53,"Ministro de Defensa Nacional, Rodrigo Lloreda Caicedo",NA,NA,NA
87,2010/11/16 17:13:56,2010/11/16 17:13:56,"Ministro de Tecnologías de la Información (e), Daniel Enrique Medina Velandia",NA,NA,NA
106,2011/01/25 18:21:52,2011/01/25 18:21:52,"Ministro de Desarrollo Económico, Fernando Araújo Perdomo",NA,NA,NA
108,2011/01/25 18:34:43,2011/01/25 18:34:43,"Defensor del Pueblo, José Fernando Castro Caycedo",NA,NA,NA
