id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
11066,2018/10/02 15:00:00,2018-10-02,Acta 7 Gac 90/19,8,NA,NA,NA,NA,NA,NA
10888,2018/11/07 14:00:00,2018-11-07,Acta 25 Gac 82/19 pl 186/18C,8,NA,NA,NA,NA,NA,NA
10883,2018/11/07 14:30:00,2018-11-07,Acta 14 Gac 101/19,8,NA,NA,NA,NA,NA,NA
10788,2018/10/16 15:00:00,2018-10-16,"Acta 1 Gac 93/19, 103/19 Duplicado",8,NA,NA,NA,NA,NA,NA
11160,2019/04/10 14:00:00,2019-04-10,Acta 31 Gac 908/19,8,NA,NA,NA,NA,NA,NA
11101,2019/03/19 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11087,2019/03/12 19:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11092,2019/03/20 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11131,2019/03/27 15:00:00,2019-03-27,Acta 25 Gac 868/19,8,NA,NA,NA,NA,NA,NA
11095,2019/03/19 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11096,2019/03/20 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11097,2019/03/19 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11146,2019/04/02 16:00:00,2019-04-02,Acta 2 Gac 251/19,8,NA,NA,NA,NA,NA,NA
11114,2019/03/20 13:00:00,2019-03-20,Acta 12 Gac 651/19,8,NA,NA,NA,NA,NA,NA
11143,2019/04/03 15:30:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11103,2018/11/21 15:00:00,2018-11-21,Acta 18 Gac 121/19,8,NA,NA,NA,NA,NA,NA
10939,2018/11/27 15:00:00,2018-11-27,Acta 19 Gac 121/19,8,NA,NA,NA,NA,NA,NA
10987,2018/12/11 15:00:00,2018-12-11,Acta 21 Gac 128/19,8,NA,NA,NA,NA,NA,NA
11105,2019/03/20 14:00:00,NA,Aplazada para el 26 de marzo,8,NA,NA,NA,NA,NA,NA
11144,2019/04/03 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11158,2019/04/10 15:00:00,2019-04-10,Acta 17 Gac 596/19 OD modificado,8,NA,NA,NA,NA,NA,NA
11127,2019/03/27 20:00:00,2019-03-27,Acta 44 Gac 584/19,8,NA,NA,NA,NA,NA,NA
11111,2019/03/26 15:00:00,2019-03-26,Acta 26 Gac 610/19,8,NA,NA,NA,NA,NA,NA
11100,2019/03/19 15:00:00,2019-03-19,Acta 11 Gac 650/19,8,NA,NA,NA,NA,NA,NA
11172,2019/04/09 16:00:00,2019-04-09,Acta 39 Gac 243/19,8,NA,NA,NA,NA,NA,NA
11139,2019/04/02 15:00:00,2019-04-02,Acta 39 Gac 391/19,8,NA,NA,NA,NA,NA,NA
11159,2019/04/09 15:00:00,2019-04-09,Acta 30 Gac 673/19,8,NA,NA,NA,NA,NA,NA
