id,created_at,updated_at,nombre,imagen,proyecto_ley_id,activo,usermodifed,usercreated
38,2010/07/07 17:46:53,2010/07/07 17:46:53,"Ministro de Minas y Energía, Luis Ernesto Mejía Castro",uploads/otros_autores/Luis_Mejia_Castro.jpg,NA,NA,NA,NA
39,2010/07/07 17:59:19,2010/07/07 17:59:19,"Ministra de Ambiente, Vivienda y Desarrollo Territorial, Sandra Suárez Pérez",uploads/otros_autores/Sandra_Suarez_Perez.JPG,NA,NA,NA,NA
21,2010/06/28 21:57:22,2010/07/07 19:26:35,"Ministro del Interior y de Justicia, Sabas Pretelt de la Vega",uploads/otros_autores/sabas-pretelt.jpg,NA,NA,NA,NA
40,2010/07/09 14:43:46,2010/07/09 14:43:46,"Viceministro de Agricultura y Desarrollo Rural, Juan Camilo Salazar Rueda",uploads/otros_autores/Juan_Camilo_Salazr_vice_Agro.JPG,NA,NA,NA,NA
41,2010/07/09 20:50:33,2010/07/09 20:50:33,"Defensor del Pueblo, Volmar Pérez Ortiz",uploads/otros_autores/Volmar_Perez_Defensor.jpg,NA,NA,NA,NA
42,2010/07/10 23:17:25,2010/07/10 23:17:25,"Viceministro de Relaciones Exteriores, Camilo Reyes Rodríguez",uploads/otros_autores/Camilo_Reyes.jpg,NA,NA,NA,NA
44,2010/07/11 23:42:16,2010/07/11 23:42:16,"Presidente del Consejo Superior de la Judicatura, José Alfredo Escobar Araujo",uploads/otros_autores/Escobar_Araujo.png,NA,NA,NA,NA
45,2010/07/13 20:58:08,2010/07/13 20:58:08,"Viceministra de Medio Ambiente, Claudia Patricia Mora Pineda",uploads/otros_autores/Viceministra_Ambiente_Claudia_Patricia_Mora_Pineda.jpg,NA,NA,NA,NA
35,2010/07/07 17:04:04,2010/07/13 21:28:15,"Viceministra de Cultura, María Cecilia Donado García",uploads/otros_autores/Maria_Cecilia_Donado.jpg,NA,NA,NA,NA
46,2010/07/14 17:17:46,2010/07/14 17:17:46,"Presidenta Consejo Nacional Electoral, Clelia América Sánchez de Alfonso",NA,NA,NA,NA,NA
47,2010/07/14 20:05:01,2010/07/14 20:05:01,"Ministro de Defensa Nacional, Camilo Ospina Bernal",uploads/otros_autores/Camilo_Ospina_Bernal_Mindefensa.jpg,NA,NA,NA,NA
48,2010/08/04 20:48:00,2010/08/18 16:25:34,"Vocero Federación Nacional de Concejos, Antonio Galán Sarmiento",uploads/otros_autores/Antonio_Galan_Sarmiento.jpg,NA,NA,NA,NA
49,2010/08/05 20:15:09,2010/08/05 21:58:09,"Ministro de Ambiente Vivienda y Desarrollo Territorial, Carlos Costa Posada",uploads/otros_autores/Carlos_Costa-Medio_Ambiente.jpg,NA,NA,NA,NA
14,2010/06/25 13:04:40,2010/08/10 20:11:44,"Ministra de Cultura, Paula Marcela Moreno Zapata",uploads/otros_autores/Paula_Marcela_Moreno-Cultura.jpg,NA,NA,NA,NA
50,2010/08/18 16:20:15,2010/08/18 16:20:15,"Ministro del Interior y de Justicia, Germán Vargas Lleras",uploads/otros_autores/German_Vargas_Lleras.jpg,NA,NA,NA,NA
51,2010/08/18 16:34:11,2010/08/18 16:34:11,"Ministra de Relaciones Exteriores, María Angela Holguín",uploads/otros_autores/Maria_Angela_Holguin.png,NA,NA,NA,NA
53,2010/08/18 16:37:30,2010/08/18 16:37:30,"Ministro de Defensa Nacional, Rodrigo Rivera Salazar",uploads/otros_autores/Rodrigo_Rivera.jpg,NA,NA,NA,NA
54,2010/08/23 15:04:36,2010/08/23 15:04:36,"Ministro de la Protección Social, Mauricio Santamaría Salamanca",uploads/otros_autores/Mauricio_Santamaría.jpg,NA,NA,NA,NA
55,2010/08/23 15:06:05,2010/08/23 15:06:05,"Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida",uploads/otros_autores/Sergio_Díaz-Granados.jpg,NA,NA,NA,NA
56,2010/08/24 21:07:51,2010/08/24 21:07:51,"Presidente del Consejo de Estado, Rafael Ostau De Lafont",uploads/otros_autores/Rafael_Osstau.jpg,NA,NA,NA,NA
