id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
63732,25417,9,NA,NA,NA,NA,NA
63733,25417,75,NA,NA,NA,NA,NA
63734,25417,493,NA,NA,NA,NA,NA
63735,25424,93,NA,NA,NA,NA,NA
63736,25425,122,NA,NA,NA,NA,NA
63737,25426,193,NA,NA,NA,NA,NA
197,79,10,NA,NA,NA,NA,NA
198,79,14,NA,NA,NA,NA,NA
199,79,511,NA,NA,NA,NA,NA
200,79,668,NA,NA,NA,NA,NA
201,79,811,NA,NA,NA,NA,NA
202,79,77,NA,NA,NA,NA,NA
203,79,29,NA,NA,NA,NA,NA
204,79,61,NA,NA,NA,NA,NA
205,79,1260,NA,NA,NA,NA,NA
206,79,48,NA,NA,NA,NA,NA
58714,16949,793,NA,NA,NA,NA,NA
58715,16949,314,NA,NA,NA,NA,NA
58898,17397,130,NA,NA,NA,NA,NA
58899,17397,2107,NA,NA,NA,NA,NA
58900,17397,922,NA,NA,NA,NA,NA
58901,17397,1166,NA,NA,NA,NA,NA
58902,17397,311,NA,NA,NA,NA,NA
59390,8496,1248,NA,NA,NA,NA,NA
59391,8496,1260,NA,NA,NA,NA,NA
59392,8496,1255,NA,NA,NA,NA,NA
59552,9955,66,NA,NA,NA,NA,NA
59553,9955,668,NA,NA,NA,NA,NA
59554,9955,46,NA,NA,NA,NA,NA
59555,9955,88,NA,NA,NA,NA,NA
59556,9955,1276,NA,NA,NA,NA,NA
59557,9955,61,NA,NA,NA,NA,NA
59558,9955,1055,NA,NA,NA,NA,NA
60092,18764,50,NA,NA,NA,NA,NA
59642,7493,1191,NA,NA,NA,NA,NA
59643,7493,201,NA,NA,NA,NA,NA
59644,7493,398,NA,NA,NA,NA,NA
59645,7493,1264,NA,NA,NA,NA,NA
229,83,9,NA,NA,NA,NA,NA
230,83,14,NA,NA,NA,NA,NA
231,83,25,NA,NA,NA,NA,NA
232,83,28,NA,NA,NA,NA,NA
233,83,505,NA,NA,NA,NA,NA
234,83,61,NA,NA,NA,NA,NA
59646,7493,113,NA,NA,NA,NA,NA
59647,7493,117,NA,NA,NA,NA,NA
59648,7493,123,NA,NA,NA,NA,NA
59922,9595,2600,NA,NA,NA,NA,NA
59923,9595,921,NA,NA,NA,NA,NA
59924,9595,59,NA,NA,NA,NA,NA
59925,9595,77,NA,NA,NA,NA,NA
60093,18764,1277,NA,NA,NA,NA,NA
83734,50064,2502,NA,NA,NA,NA,NA
83735,50064,9129,NA,NA,NA,NA,NA
83736,50064,2508,NA,NA,NA,NA,NA
60302,19220,2489,NA,NA,NA,NA,NA
63738,25426,250,NA,NA,NA,NA,NA
248,91,668,NA,NA,NA,NA,NA
249,91,77,NA,NA,NA,NA,NA
60601,19706,131,NA,NA,NA,NA,NA
60602,19706,1173,NA,NA,NA,NA,NA
83737,50064,9427,NA,NA,NA,NA,NA
63739,25426,166,NA,NA,NA,NA,NA
63740,25432,612,NA,NA,NA,NA,NA
63741,25432,519,NA,NA,NA,NA,NA
63742,25432,12,NA,NA,NA,NA,NA
63743,25432,49,NA,NA,NA,NA,NA
63744,25432,55,NA,NA,NA,NA,NA
63745,25432,60,NA,NA,NA,NA,NA
63746,25432,93,NA,NA,NA,NA,NA
63747,25432,1278,NA,NA,NA,NA,NA
63748,25453,612,NA,NA,NA,NA,NA
63749,25453,519,NA,NA,NA,NA,NA
63750,25453,12,NA,NA,NA,NA,NA
63751,25453,49,NA,NA,NA,NA,NA
57039,8091,2600,NA,NA,NA,NA,NA
57040,8091,1257,NA,NA,NA,NA,NA
63752,25453,55,NA,NA,NA,NA,NA
63753,25453,60,NA,NA,NA,NA,NA
63754,25453,93,NA,NA,NA,NA,NA
63755,25453,1278,NA,NA,NA,NA,NA
63757,25463,894,NA,NA,NA,NA,NA
63758,25495,1167,NA,NA,NA,NA,NA
57267,9713,896,NA,NA,NA,NA,NA
63759,25499,2489,NA,NA,NA,NA,NA
63760,25505,318,NA,NA,NA,NA,NA
63761,25517,38,NA,NA,NA,NA,NA
83738,50064,2484,NA,NA,NA,NA,NA
57927,13111,10,NA,NA,NA,NA,NA
58107,13015,1217,NA,NA,NA,NA,NA
58108,13015,55,NA,NA,NA,NA,NA
58109,13015,120,NA,NA,NA,NA,NA
58110,13015,123,NA,NA,NA,NA,NA
58111,13015,60,NA,NA,NA,NA,NA
58112,13015,127,NA,NA,NA,NA,NA
58266,14930,201,NA,NA,NA,NA,NA
58267,14930,398,NA,NA,NA,NA,NA
58268,14930,117,NA,NA,NA,NA,NA
58269,14930,120,NA,NA,NA,NA,NA
58270,14930,123,NA,NA,NA,NA,NA
58271,14930,254,NA,NA,NA,NA,NA
58282,15040,950,NA,NA,NA,NA,NA
58559,15272,186,NA,NA,NA,NA,NA
58560,15272,1172,NA,NA,NA,NA,NA
63764,25541,23,NA,NA,NA,NA,NA
63765,25553,175,NA,NA,NA,NA,NA
63766,25562,519,NA,NA,NA,NA,NA
68308,21987,2012,NA,NA,NA,NA,NA
68309,21987,1714,NA,NA,NA,NA,NA
63771,25577,1714,NA,NA,NA,NA,NA
63772,25577,60,NA,NA,NA,NA,NA
63773,25594,40,NA,NA,NA,NA,NA
68310,21987,60,NA,NA,NA,NA,NA
63776,25623,122,NA,NA,NA,NA,NA
68311,21987,2279,NA,NA,NA,NA,NA
68348,21509,33,NA,NA,NA,NA,NA
68431,20059,896,NA,NA,NA,NA,NA
83739,50064,7475,NA,NA,NA,NA,NA
83740,50064,53,NA,NA,NA,NA,NA
85695,54510,7767,NA,NA,NA,NA,NA
63790,25698,512,NA,NA,NA,NA,NA
63791,25698,111,NA,NA,NA,NA,NA
63792,25698,207,NA,NA,NA,NA,NA
63793,25702,547,NA,NA,NA,NA,NA
63794,25702,254,NA,NA,NA,NA,NA
63795,25703,1184,NA,NA,NA,NA,NA
63796,25706,60,NA,NA,NA,NA,NA
63797,25706,93,NA,NA,NA,NA,NA
63798,25706,23,NA,NA,NA,NA,NA
63799,25715,519,NA,NA,NA,NA,NA
63800,25715,55,NA,NA,NA,NA,NA
63801,25715,12,NA,NA,NA,NA,NA
63802,25715,49,NA,NA,NA,NA,NA
63803,25715,1234,NA,NA,NA,NA,NA
63804,25715,23,NA,NA,NA,NA,NA
63805,25715,91,NA,NA,NA,NA,NA
63806,25715,93,NA,NA,NA,NA,NA
63807,25715,1278,NA,NA,NA,NA,NA
63808,25721,177,NA,NA,NA,NA,NA
63809,25721,258,NA,NA,NA,NA,NA
87897,56522,8546,NA,NA,NA,NA,NA
87898,56522,547,NA,NA,NA,NA,NA
64960,12047,122,NA,NA,NA,NA,NA
63819,25819,1202,NA,NA,NA,NA,NA
63820,25819,2533,NA,NA,NA,NA,NA
63821,25819,2039,NA,NA,NA,NA,NA
64961,12047,950,NA,NA,NA,NA,NA
63543,25112,77,NA,NA,NA,NA,NA
63288,24788,66,NA,NA,NA,NA,NA
63289,24788,290,NA,NA,NA,NA,NA
63290,24788,1486,NA,NA,NA,NA,NA
63291,24788,1805,NA,NA,NA,NA,NA
63292,24788,48,NA,NA,NA,NA,NA
63293,24788,2231,NA,NA,NA,NA,NA
63294,24788,88,NA,NA,NA,NA,NA
63295,24788,2233,NA,NA,NA,NA,NA
63296,24788,763,NA,NA,NA,NA,NA
63297,24788,668,NA,NA,NA,NA,NA
63298,24788,2462,NA,NA,NA,NA,NA
63299,24788,1055,NA,NA,NA,NA,NA
63300,24789,288,NA,NA,NA,NA,NA
63301,24789,66,NA,NA,NA,NA,NA
63302,24789,290,NA,NA,NA,NA,NA
63303,24789,1486,NA,NA,NA,NA,NA
63304,24789,1805,NA,NA,NA,NA,NA
63305,24789,48,NA,NA,NA,NA,NA
63306,24789,2231,NA,NA,NA,NA,NA
63307,24789,88,NA,NA,NA,NA,NA
