id,numero_articulo,sentencia_id
1,150,1
2,150,2
3,1,3
4,13,3
5,25,3
6,53,3
7,20,4
8,55,4
9,76,4
10,112,4
11,118,4
12,20,5
13,55,5
14,62,5
15,76,5
16,1,6
17,3,6
18,4,6
19,25,6
20,53,6
21,113,6
22,114,6
23,115,6
24,16,7
25,148,7
26,118,7
27,150,8
28,150,9
29,6,10
30,113,10
31,121,10
32,136,10
33,189,10
34,30,11
35,76,11
36,78,11
37,79,11
38,120,11
39,13,12
40,8888,13
41,151,14
42,150,14
43,169,14
44,353,14
45,354,14
46,1,15
47,4,15
48,53,15
49,13,15
50,25,15
51,1,15
52,2,15
53,125,15
54,5,15
55,42,15
56,8888,16
57,150,17
58,13,18
59,58,18
60,241,19
61,118,20
62,189,20
63,1,21
64,2,21
65,3,21
66,4,21
67,6,21
68,34,21
69,58,21
70,113,21
71,121,21
72,136,21
73,29,22
74,13,22
75,29,23
76,2,24
77,4,24
78,229,24
79,40,25
80,1,26
81,2,26
82,4,26
83,13,26
84,25,26
85,46,26
86,48,26
87,53,26
88,58,26
89,87,26
90,2,27
91,20,27
92,63,27
93,76,27
94,118,27
95,122,27
96,123,27
97,150,27
98,29,27
99,150,28
100,8888,29
101,8888,29
102,8888,29
103,8888,29
104,8888,29
105,8888,29
106,8888,29
107,8888,29
108,8888,29
109,8888,29
110,150,30
111,76,31
112,12,31
113,150,32
114,338,32
115,338,33
116,76,33
117,118,33
118,4,34
119,29,34
120,122,34
121,256,34
122,5,34
123,8888,35
124,8888,36
125,8888,37
126,8888,38
127,58,39
128,83,39
129,333,39
130,8888,40
131,8888,40
132,8888,40
133,8888,40
134,8888,40
135,8888,40
136,8888,40
137,8888,40
138,8888,40
139,8888,40
140,338,41
141,367,41
142,113,42
143,114,42
144,121,42
145,150,42
146,189,42
147,12,43
148,113,44
149,114,44
150,121,44
151,150,44
152,189,44
153,8888,45
154,359,46
155,350,46
156,190,47
157,192,47
158,122,47
159,113,47
160,114,47
161,116,47
162,123,47
163,150,47
164,153,47
165,154,47
166,3,48
167,4,48
168,5,48
169,13,48
170,15,48
171,28,48
172,29,48
173,150,48
174,152,48
175,189,48
176,2,49
177,57,49
178,116,49
179,118,49
180,120,49
181,124,49
182,126,49
183,127,49
184,128,49
185,135,49
186,2,50
187,13,50
188,26,50
189,29,50
190,39,50
191,58,50
192,69,50
193,83,50
194,84,50
195,145,51
196,146,51
197,157,51
198,160,51
199,76,52
200,13,53
201,25,53
202,26,53
203,28,53
204,40,54
205,96,54
206,317,55
207,359,55
208,362,55
209,363,55
210,364,55
211,52,56
212,44,56
213,58,57
214,29,58
215,84,58
216,221,58
217,157,59
218,113,59
219,150,59
220,13,59
221,25,59
222,53,59
223,58,59
224,39,59
225,55,59
226,2,60
227,4,60
228,6,60
229,188,60
230,189,60
231,380,60
232,51,61
233,58,61
234,333,61
235,335,61
236,1,62
237,2,62
238,5,62
239,13,62
240,25,62
241,27,62
242,41,62
243,53,62
244,68,62
245,70,62
246,1,63
247,2,63
248,4,63
249,13,63
250,25,63
251,46,63
252,48,63
253,58,63
254,87,63
255,1,64
256,2,64
257,6,64
258,8,64
259,11,64
260,12,64
261,32,64
262,33,64
263,34,64
264,40,64
265,29,65
266,42,65
267,28,65
268,20,65
269,40,66
270,99,66
271,258,66
272,109,66
273,150,67
274,136,67
275,372,67
276,373,67
277,150,68
278,141,69
279,144,69
280,149,69
281,254,69
282,158,69
283,154,69
284,151,69
285,117,69
286,158,70
287,169,70
288,4,71
289,42,71
290,241,71
291,8888,72
292,8888,72
293,8888,72
294,8888,72
295,8888,72
296,8888,72
297,8888,72
298,8888,72
299,8888,72
300,8888,72
301,8888,73
302,8888,73
303,8888,73
304,8888,73
305,8888,73
306,8888,73
307,8888,73
308,8888,73
309,8888,73
310,8888,73
311,150,74
312,150,75
313,8888,76
314,109,77
315,338,78
316,359,78
317,150,79
318,242,80
319,8888,81
320,13,82
321,15,82
322,29,82
323,93,82
324,29,83
325,13,83
326,1,83
327,4,83
328,86,83
329,241,83
330,29,84
331,31,84
332,1,85
333,2,85
334,4,85
335,13,85
336,25,85
337,39,85
338,48,85
339,53,85
340,55,85
341,56,85
342,150,86
343,145,86
344,146,86
345,359,86
346,357,86
347,8888,87
348,150,88
349,150,89
350,141,90
351,150,91
352,8888,92
353,8888,93
354,8888,94
355,8888,94
356,8888,94
357,8888,94
358,8888,94
359,8888,94
360,8888,94
361,8888,94
362,8888,94
363,8888,94
