id,nombre
1,Ley Estatutaria
2,Acto Legislativo
3,Decretos de Estados de Excepción
4,Decretos con Fuerza de Ley
5,Ley Ordinaria
6,Tratado Internacional
7,Convocatoria de Referendo
8,Plebiscito
9,Consulta Popular
10,Convocatoria a Asamblea Constituyente
11,Objeción del Ejecutivo
12,Ley orgánica
