id,created_at,updated_at,nombre
53,2010-08-18 16:37:30.427379,2010-08-18 16:37:30.427417,"Ministro de Defensa Nacional, Rodrigo Rivera Salazar"
54,2010-08-23 15:04:36.089823,2010-08-23 15:04:36.089867,"Ministro de la Protección Social, Mauricio Santamaría Salamanca"
55,2010-08-23 15:06:05.812944,2010-08-23 15:06:05.812983,"Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida"
56,2010-08-24 21:07:51.343172,2010-08-24 21:07:51.343216,"Presidente del Consejo de Estado, Rafael Ostau De Lafont"
57,2010-08-24 21:45:44.072572,2010-08-24 21:45:44.072606,"Directora del Departamento Administrativo de la Función Pública,  Elizabeth  Rodríguez  Taylor."
112,2011-01-26 18:23:36.235142,2011-01-26 18:23:36.235200,"Fiscal General de la Nación, Jaime Córdoba triviño"
83,2010-11-10 19:05:27.732832,2010-11-10 19:05:27.732872,"Ministro del Interior y de Justicia, Fernando Londoño Hoyos"
84,2010-11-10 21:50:59.956093,2010-11-10 21:50:59.956133,"Defensor del Pueblo, Eduardo Cifuentes Muñoz"
85,2010-11-12 14:50:17.337594,2010-11-12 14:50:17.337629,"Viceministro de Hacienda y Crédito Público,  Juan Ricardo Ortega López"
86,2010-11-12 15:23:10.344413,2010-11-12 15:23:10.344456,"Ministro (E)  de Relaciones Exteriores, Jaime Girón Duarte"
59,2010-08-25 17:06:10.187316,2010-08-25 17:07:26.021081,"Procurador General de la Nación, Alejandro Ordoñez Maldonado"
64,2010-09-01 19:26:58.068972,2010-09-01 19:26:58.069016,"Presidente Consejo Electoral, Oscar Giraldo Jiménez"
63,2010-08-30 20:57:41.374111,2010-08-30 20:58:52.410358,"Presidente del Consejo Nacional Electoral, Ciro Muñoz Oñate"
66,2010-09-02 16:28:17.033743,2010-09-02 16:28:17.033805,"Ministro de Minas y Energía, Carlos Rodado Noriega"
67,2010-09-02 19:56:41.726439,2010-09-02 19:56:41.726469,"Contralor Encargado, Roberto Pablo Hoyos Botero"
69,2010-09-08 16:41:31.949876,2010-09-08 16:41:31.949915,"Ministro de Agricultura y Desarrollo Rural, Juan Camilo Restrepo"
70,2010-09-09 20:38:21.151113,2010-09-09 20:38:21.151155,"Viceministro de Desarrollo Económico, Juan Alfredo Pinto Saavedra"
71,2010-09-09 21:13:21.038909,2010-09-09 21:13:21.038940,"Procurador General de la Nación, Jaime Bernal Cuellar"
72,2010-09-28 22:14:24.067762,2010-09-28 22:14:24.067799,"Fiscal General de la Nación, Luis Camilo Osorio Isaza"
68,2010-09-02 22:01:52.257570,2010-09-29 22:14:34.718090,"Ministro de Agricultura y Desarrollo Rural, Carlos Gustavo Cano"
79,2010-10-20 20:46:02.208748,2010-10-20 20:46:02.208783,"Ministra de Educación (e), Juana Inés Díaz"
74,2010-10-05 21:55:50.553829,2010-10-05 21:55:50.553867,"Ministro de Defensa Nacional, Jorge Alberto Uribe Echavarria"
75,2010-10-11 20:30:31.387227,2010-10-11 20:30:31.387269,"Contralor General de la Nación, Antonio Hernández Gamarra"
82,2010-11-08 19:39:49.413032,2010-11-08 19:39:49.413061,"Presidente del Consejo Superior de la Judicatura, Guillermo Bueno Miranda."
77,2010-10-13 22:04:31.544017,2011-01-25 18:18:39.885584,"Ministro de Defensa Nacional, Martha Lucía Ramírez"
78,2010-10-13 22:08:29.436499,2010-10-13 22:08:29.436544,"Presidenta del Consejo Superior de la Judicatura,  Lucía  Arbelaez de Tobón"
80,2010-10-21 19:56:56.080817,2011-03-10 16:57:12.993113,"Ministra de Cultura, María Consuelo Araujo"
88,2010-11-16 20:33:23.863565,2010-11-16 20:33:23.863608,"Ministro de la Protección Social, Juan Luis Londoño de la Cuesta"
89,2010-11-16 21:48:53.874647,2010-11-16 21:48:53.874690,"Ministra de Ambiente, Vivienda y Desarrollo Territorial,  Cecilia  Rodríguez  González - Rubio"
91,2011-01-13 21:04:11.911375,2011-01-13 21:04:11.911423,"Ministra de Justicia y del Derecho, Almabeatriz Rengifo López"
92,2011-01-13 21:51:56.559182,2011-01-13 21:51:56.559214,"Ministro de Minas y Energía, Orlando Cabrales Martínez"
93,2011-01-14 16:00:59.314884,2011-01-14 16:00:59.314926,"Ministro de Hacienda y Crédito Público, Juan Camilo Restrepo"
94,2011-01-14 17:37:47.941270,2011-01-14 17:37:47.941323,"Ministro de Hacienda y Crédito Público, Antonio Urdinola"
95,2011-01-14 19:30:18.324453,2011-01-14 19:30:18.324486,"Ministro de Transporte, Rodrigo Marín Bernal"
96,2011-01-14 19:58:58.625989,2011-01-14 19:58:58.626030,"Ministro de Medio Ambiente, Eduardo Verano de la Rosa"
97,2011-01-14 20:37:24.759138,2011-01-14 20:37:24.759181,"Ministro de Comunicaciones, José Fernando Bautista Quintero"
98,2011-01-14 20:46:29.577313,2011-01-14 20:46:29.577378,"Ministro de Relaciones Exteriores, Camilo Reyes Rodríguez"
99,2011-01-14 20:47:25.967654,2011-01-14 20:47:25.967691,"Ministro de Desarrollo Económico, Carlos Julio Gaitán González"
100,2011-01-17 17:20:22.238709,2011-01-17 17:20:22.238755,"Ministro de Educación, Jaime Niño Diez"
101,2011-01-17 19:27:12.608350,2011-01-17 19:27:12.608389,"Fiscal General de la Nación, Alfonso Gómez Méndez"
102,2011-01-19 16:19:19.505094,2011-01-19 16:19:19.505125,"Presidente del Consejo Superior de la Judicatura, Gustavo Cuello Iriarte"
103,2011-01-19 18:50:21.147107,2011-01-19 18:50:21.147151,"Ministro del Interior, Alfonso López Caballero"
104,2011-01-21 21:25:44.081679,2011-01-21 21:25:44.081720,"Ministro del Interior, Néstor Humberto Martínez Neira"
105,2011-01-24 19:09:53.701188,2011-01-24 19:09:53.701235,"Ministro de Defensa Nacional, Rodrigo Lloreda Caicedo"
87,2010-11-16 17:13:56.179072,2010-11-16 17:13:56.179099,"Ministro de Tecnologías de la Información (e), Daniel Enrique Medina Velandia"
106,2011-01-25 18:21:52.127564,2011-01-25 18:21:52.127623,"Ministro de Desarrollo Económico, Fernando Araújo Perdomo"
108,2011-01-25 18:34:43.960356,2011-01-25 18:34:43.960392,"Defensor del Pueblo, José Fernando Castro Caycedo"
110,2011-01-25 19:03:31.181970,2011-01-25 19:03:31.182011,"Ministra de Comunicaciones, Claudia de Francisco"
111,2011-01-26 18:21:50.352238,2011-01-26 18:21:50.352285,"Ministro de Justicia y del Derecho, Parmenio Cuéllar Bastidas"
107,2011-01-25 18:25:11.182238,2012-06-22 06:01:09.810056,"Director del Departamento Nacional de Planeación, Jaime Ruiz Llano"
76,2010-10-11 20:33:24.016626,2011-03-10 16:59:13.868372,"Procurador General de la Nación (E), Carlos Darío Gómez Pavajeau."
142,2011-05-03 21:53:28.803433,2011-05-03 21:53:28.803476,"Ministro de Minas y Energía, Ramiro Valencia Cossio"
143,2011-05-04 18:51:54.233214,2011-05-04 18:51:54.233271,"Ministro de Desarrollo Económico, Eduardo Pizano de Narváez"
155,2011-08-16 20:42:35.957991,2011-08-16 20:42:35.958033,"Presidente del Consejo de Estado, Mauricio Fajardo Gómez"
114,2011-01-31 22:24:46.763533,2011-01-31 22:24:46.763586,"Presidente del Consejo Superior de la Judicatura, Rómulo González Trujillo"
115,2011-02-01 16:49:11.002781,2011-02-01 16:49:11.002821,"Ministro de Agricultura y Desarrollo Rural, Carlos Roberto Murgas Guerrero"
116,2011-02-01 19:46:44.437513,2011-02-01 19:46:44.437562,"Ministro de Transporte, Mauricio Cárdenas Santamaría"
117,2011-02-02 20:26:48.067618,2011-02-02 20:26:48.067662,"Ministro de Defensa (E), Fernando Tapias Stahelin"
118,2011-02-07 18:13:14.379757,2011-02-07 18:13:14.379790,"Contralor General de la Nación, Carlos Ossa Escobar"
119,2011-02-07 22:06:53.413420,2011-02-07 22:06:53.413464,"Ministro de Salud, Virgilio Galvis Ramírez"
120,2011-02-14 19:21:49.745636,2011-02-15 16:24:05.179867,"Ministro de Justicia, Rómulo González Trujillo"
121,2011-02-14 19:39:55.274624,2011-02-15 16:26:42.393425,"Ministro de Educación, Germán Bula Escobar"
144,2011-05-09 21:48:21.259449,2011-05-09 21:48:46.088722,"Viceministra de Medio Ambiente, Claudia Martínez Zuleta"
145,2011-05-10 20:05:42.037799,2011-05-10 20:05:42.037850,"Ministro de Defensa Nacional, Gustavo Bell Lemus"
122,2011-02-15 18:25:23.562868,2011-02-15 18:25:23.562913,"Ministro de Desarrollo Económico, Jaime Alberto Cabal"
156,2011-08-19 20:05:52.213777,2011-08-19 20:05:52.213828,"Ministro de Justicia, Juan Carlos Esguerra Portocarrero"
124,2011-02-16 15:28:42.420930,2011-02-16 15:28:42.420973,"Ministra de Trabajo y Seguridad Social, Gina Magnolia Riaño Barón"
125,2011-02-16 19:31:09.139778,2011-02-16 19:31:09.139818,"Ministro de Minas y Energía, Luis Carlos Valenzuela Delgado"
126,2011-02-17 16:56:06.371269,2011-02-17 16:56:06.371313,"Viceministra de Relaciones Exteriores, Clemencia Forero Ucrós"
146,2011-05-11 17:02:44.492723,2011-05-11 17:02:44.492767,"Presidente Consejo Nacional Electoral, Luis Felipe Vergara Cabal"
127,2011-02-17 16:57:09.953458,2011-02-17 16:59:22.882444,"Viceministro de Desarrollo Empresarial, Ricardo Duarte Duarte"
128,2011-02-17 18:56:16.398890,2011-02-17 18:56:16.398945,"Viceministra de Relaciones Exteriores, María Fernanda Campo"
129,2011-02-17 19:59:49.498562,2011-02-17 19:59:49.498595,"Ministro de Agricultura y Desarrollo Rural, Rodrigo Villalba Mosquera"
130,2011-02-25 20:39:43.050259,2011-02-25 20:39:43.050302,"Ministro de Defensa Nacional, Luis Fernando Ramírez Acuña"
131,2011-02-28 20:26:28.707285,2011-02-28 20:26:28.707326,"Ministro de Transporte, Gustavo Adolfo Canal Mora"
132,2011-03-10 15:11:05.430627,2011-03-10 16:43:04.402301,"Ministro del Interior, Armando Estrada Villa"
147,2011-05-11 21:31:50.827511,2011-05-11 21:31:50.827576,"Ministro de Educación, Francisco José Lloreda"
81,2010-11-04 19:31:27.302680,2011-03-10 16:55:12.317586,"Viceministro de Minas y Energía, Manuel F. Maiguashca Olano"
133,2011-03-11 15:22:34.649626,2011-03-11 15:22:34.649664,"Contralora General de la República, Sandra Morelli Rico"
134,2011-03-14 21:38:39.277328,2011-03-14 22:02:34.056148,"Ministro de Hacienda y Crédito Público, Juan Manuel Santos"
148,2011-05-27 20:28:16.649136,2011-05-27 20:28:16.649202,"Ministra de Ambiente Vivienda y Desarrollo Territorial, Beatriz Uribe"
135,2011-03-15 19:36:10.419386,2011-03-15 19:36:10.419423,"Viceministra de Comercio Exterior, Angela María Orozco Gómez"
136,2011-03-18 21:16:06.613256,2011-03-18 21:16:06.613296,"Ministro del Interior, Humberto de la Calle Lombana"
