id,numero_expediente,sentencia_id
430,RE-056,370
431,D456,371
432,D410,372
433,D457,373
434,D458,374
435,D470,375
436,D481,376
437,D480,377
438,LAT023,378
439,D479,379
440,D498,380
441,D-499,381
442,D454,382
443,RE057,383
444,D484,384
445,D483,385
446,D509,386
447,D503,387
448,PE006,388
449,D463,389
450,D502,390
451,D564,391
452,D-518,392
453,LAT025,393
454,D490,394
455,D533,395
456,RE058,396
457,RE059,397
458,RE061,398
459,RE060,399
460,D510,400
461,D520,401
462,RE063,402
463,D-513,403
464,RE064,404
465,RE062,405
466,D486,406
467,D529,407
468,D524,408
469,D488,409
470,LAT027,410
471,D485,411
472,D538,412
473,D526,413
474,D-552,414
475,D493,415
476,D541,416
477,D544,417
478,D532,418
479,D543,418
480,D546,418
481,D517,419
482,D516,420
483,D523,420
484,D491,421
485,D527,422
486,D559,423
487,D505,424
488,D-557,425
489,D5406,426
490,D548,426
491,D5555,426
492,D525,427
493,D567,428
494,D562,429
495,D545,430
496,D519,431
497,D575,432
498,D581,433
499,D514,434
500,D565,435
501,D-566,436
502,D534,437
503,D569,438
504,D584,439
505,OP004,440
506,D561,441
507,D574,441
508,D585,441
509,D598,442
510,D609,442
511,D556,443
512,D568,444
513,D587,445
514,D589,446
515,D-600,447
516,D6000,448
517,D608,449
518,D602,450
519,D633,451
520,D578,452
521,D599,453
522,D610,453
523,D583,454
524,D596,454
525,D606,455
526,D621,456
527,LAT036,457
528,D-593,458
529,D-607,458
530,D753,459
531,D592,460
532,D613,461
533,D579,462
534,D629,463
535,D619,464
536,D615,465
537,D618,466
538,D601,467
539,D622,468
540,D-628,469
541,D5724,470
542,D626,471
543,D631,472
544,D624,473
545,D638,473
546,D644,474
547,D640,475
548,D637,476
549,D641,477
550,OP004,478
551,PE007,479
552,D-630,480
553,D634,481
554,D653,482
555,D623,483
556,D660,484
557,D668,485
558,D675,486
559,D676,487
560,D658,488
561,D678,489
562,D652,490
563,D-796,491
564,D646,492
565,D674,492
566,D696,493
567,D677,494
568,D682,495
569,D684,496
570,D549,497
571,D699,498
572,LAT034,499
573,D713,500
574,D612,501
575,LAT-037,502
576,D665,503
577,D648,504
578,D650,504
579,D711,505
580,D647,506
581,D672,506
582,D732,507
583,LAT030,508
584,LAT028,509
585,LAT035,510
586,LAT29,511
587,D663,512
588,D-666,513
589,D680,514
590,D616,515
591,D617,515
592,D625,515
593,D725,516
594,D726,517
595,D698,518
596,LAT033,519
597,LAT039,520
598,D632,521
599,D701,522
600,D669,523
601,D-671,524
602,D719,525
603,D737,526
604,D643,527
605,D754,528
606,D686,529
607,D693,530
608,D798,531
609,LAT041,532
610,D753,533
611,D772,534
612,D-657,535
613,D-664,535
614,D-667,535
615,LAT032,536
616,D656,537
617,D651,538
618,D776,539
619,D691,540
620,D779,541
621,LAT040,542
622,D576,543
623,D706,544
624,D627,545
625,D-679,546
626,D-681,546
627,D-689,546
628,D-690,546
629,D723,547
630,D734,547
631,D708,548
632,D792,549
633,D714,550
634,D661,551
635,D687,552
636,D685,552
637,D709,553
638,D788,554
639,D782,555
640,D724,556
641,LAT-031,557
642,D799,558
643,D739,559
644,D720,560
645,D760,561
646,OP005,562
647,D717,563
648,D749,564
649,D692,565
650,D750,566
651,D810,567
652,D-791,568
653,D728,569
654,D702,570
655,D731,571
656,D735,571
657,D757,572
658,D780,573
659,D712,574
660,D809,575
661,D786,576
662,D759,577
663,D787,578
664,D-751,579
665,D722,580
666,D789,581
667,D797,581
668,D819,582
669,D718,583
670,D721,583
671,D733,583
672,D736,583
673,D793,584
