id,numero_sentencia,anio,sentencia_id
1,C822,2011,5148
2,C630,2011,5150
3,C730,2011,5150
4,C528,1996,5944
5,C537,1995,5944
6,C413,1966,5944
7,C123,2014,5945
8,C035,2016,5945
9,C1042,2007,5945
