id,control_politico_id,persona_id
60925,20429,2507
60926,20429,140
60927,20429,2536
60928,20429,1522
60929,20429,123
60930,20429,937
60931,20429,1785
60932,20429,922
60933,20429,1531
60934,20429,1693
63404,24902,1201
63405,24902,1202
63406,24902,1205
63407,24902,102
63408,24905,152
63409,24905,296
63410,24905,29
63411,24905,102
63412,24909,152
63413,24909,1201
63414,24909,1202
63415,24909,1205
63416,24909,102
63417,24913,811
63418,24913,23
63419,24914,4
63420,24915,4
63421,24916,11
63423,24926,1280
63424,24926,172
63425,24926,1283
63426,24926,244
63427,24926,117
63428,24919,128
68349,21546,142
68432,20380,177
68433,20380,50
68434,20380,101
68500,18956,1615
68585,18155,33
68618,27435,2448
65652,27592,1912
65653,27592,873
63460,24938,288
63461,24938,66
63462,24938,290
63463,24938,1486
63464,24938,1805
63465,24938,48
63466,24938,2231
63467,24938,88
63468,24938,2233
63469,24938,763
63470,24938,668
63471,24938,2462
63472,24938,1055
63477,24995,914
63478,24995,196
63482,160,209
63483,160,507
63484,160,111
63485,25017,680
63486,25020,680
63487,25020,59
63488,25030,608
63489,25030,680
63490,25030,77
63491,25030,2600
63492,25030,85
63493,25030,21
63494,25030,95
63495,25031,608
63496,25031,680
63497,25031,77
63498,25031,2600
63499,25031,85
63500,25031,21
63501,25031,95
558,109,7
559,109,557
560,109,906
74742,41751,914
74743,41751,11
63524,25078,2600
74744,41751,1260
74745,41751,2238
74746,41751,2459
63529,25081,1226
63530,25081,134
63531,25081,207
63536,25095,680
63537,25112,921
63538,25113,921
63539,25112,643
63540,25113,643
63541,25113,36
63542,25112,36
62997,24344,123
62998,24344,254
62999,24344,245
63000,24345,161
63001,24345,198
63002,24345,1217
63003,24345,211
63004,24345,120
63005,24345,123
63006,24345,254
63007,24356,254
601,130,853
63008,24360,161
63010,24363,213
63011,24363,95
63029,18465,2450
63032,19249,97
63033,19249,50
83742,49977,2305
63038,24382,2486
63039,24386,213
63040,24396,254
63041,24401,213
63042,24425,7
60095,18498,2395
60096,18498,1260
60104,18557,2812
60305,18876,2395
60306,18876,1260
60307,18876,38
60594,19679,6
59394,18257,122
58904,17412,543
59568,7806,186
59569,7806,158
60604,19730,865
61169,21129,134
631,140,656
632,140,208
633,140,244
68313,21993,20
68314,21993,2734
68350,20994,2501
60935,20448,2442
68435,20337,1615
68436,20337,87
68501,18917,1217
68502,18917,2083
68503,18917,2246
68504,18917,1894
68505,18917,2247
645,142,180
646,142,1219
647,142,1280
68506,18917,1992
63124,24491,1178
63125,24491,2812
63126,24496,104
652,144,102
653,144,862
654,144,251
655,144,186
656,144,1182
657,144,246
658,144,180
659,144,1219
660,144,1220
661,144,142
662,144,1246
63127,24496,155
59650,9956,973
63128,24503,122
63129,24503,259
59930,8451,41
668,148,853
669,149,862
59931,8451,92
59932,8451,28
59933,8451,879
63130,24503,1219
63131,24538,914
63134,24594,240
63135,24596,240
63136,24597,240
63137,24574,122
63138,24574,1219
63139,24598,128
63140,24600,16
63141,24601,104
683,152,159
684,153,55
39681,3439,505
63142,24602,16
63144,18843,2233
57043,8125,36
57228,9385,643
57229,9385,2600
57230,9385,1257
57231,9385,77
57232,9385,968
57233,9385,921
57269,9728,100
57288,9901,9
57289,9901,505
63145,18843,2462
63146,19097,763
63149,18738,875
63150,18738,77
57536,10729,914
57537,10729,244
57538,10729,118
57539,10729,1222
57723,11793,248
57724,11793,258
57929,13170,59
63156,1892,131
63157,2045,97
63158,2045,101
63160,2041,97
63161,2041,19
63162,2041,1277
58273,14965,123
58284,15044,1187
58285,15044,142
58286,15044,182
58562,15277,360
58563,15277,186
63163,2024,49
63164,2024,60
63165,2024,38
728,171,118
729,171,296
63166,2024,519
63168,1866,131
68507,18917,1292
74337,40270,2819
74338,40270,211
74339,40270,1646
63175,24621,16
63176,3475,4
63177,4296,10
63178,4296,811
63179,5131,519
63180,5131,12
63181,5131,77
63182,5131,49
63183,5131,23
63184,5131,1278
63185,24663,8
63186,24663,96
63187,24663,874
63188,24688,11
63189,24688,7
63190,24690,122
63191,24690,1219
63192,24690,244
68508,18917,398
68509,18917,2449
68510,18917,978
68511,18917,1971
68512,18917,2517
68513,18917,214
68514,18917,1694
68515,18917,2522
68516,18917,2523
63203,24701,11
63204,24701,87
68517,18917,2812
68518,18917,257
68519,18917,1622
68586,18185,512
63221,24712,10
63222,24712,53
63223,24721,10
63224,24734,180
63236,24744,66
63237,24744,61
63238,24740,66
63239,24740,35
63240,24740,934
63241,24740,668
63242,24740,48
63243,24740,27
63244,24740,88
63245,24740,763
63246,24740,1276
63247,24740,61
63248,24740,1055
68587,18185,211
68619,26971,1693
74340,40270,2535
83743,49977,398
63259,24748,668
63260,24748,61
83744,49977,2113
63267,24771,1168
63268,24771,318
63269,24771,2486
63270,24771,1262
63271,24771,182
63287,24788,288
62727,23838,2499
62728,23838,1956
62729,23838,2480
62730,23838,2450
62731,23838,2516
62732,23838,2039
62733,23838,1912
62734,23838,2521
62735,23838,1950
62789,21349,1615
87903,56522,9406
62802,24128,1280
62803,24128,196
62804,24128,104
62805,24128,107
62806,24128,240
62807,24128,1170
62808,24128,122
62810,24131,1286
62813,24140,240
74747,41710,5274
60105,18558,257
60106,18558,398
62814,24144,122
62815,24144,1219
62816,24144,118
61170,21134,111
59570,7719,152
59571,7719,296
59572,7719,178
59573,7719,1182
62817,24151,259
62818,24152,914
62822,24170,122
62380,181,1030
59934,7313,865
