id,nombre,departamento_id
369,Sabanalarga,5
370,Viterbo,8
371,Sutamarchán,7
372,Une,15
373,Calamar,6
374,Nunchía,10
375,Guatapé,3
376,Cáceres,3
377,Chinú,14
378,Cocorná,3
379,Argelia,11
380,Aldana,23
381,San Francisco,25
382,Rovira,31
383,Zona Bananera,20
384,Salgar,3
385,Samacá,7
386,Aranzazu,8
387,Sardinata,24
388,Vélez,29
389,Riosucio,13
390,Convención,24
391,Tello,18
392,El Cocuy,7
393,María la Baja,6
394,Unguía,13
395,Trujillo,32
396,Zapatoca,29
397,Santa Rosalía,34
398,Altamira,18
399,Firavitoba,7
400,Paz del Río,7
401,Armero,31
402,Santo Tomás,5
403,Olaya,11
404,Santander de Quilichao,11
405,Pelaya,12
406,Valencia,14
407,La Vega,15
408,Soacha,15
409,Piedras,31
410,Murillo,31
411,Roncesvalles,31
412,Nemocón,15
413,Funza,15
414,Sibaté,15
415,Cota,15
416,San José del Guaviare,17
417,El Retorno,17
418,Palermo,18
419,La Florida,23
420,Arboledas,24
421,Labateca,24
422,Turmequé,7
423,Génova,26
424,Anserma,8
425,Carurú,33
426,Pinchote,29
427,Villanueva,6
428,Paipa,7
429,Balboa,27
430,Tipacoque,7
431,San Pedro,30
432,Pácora,8
433,Páez,11
434,Granada,22
435,Salento,26
436,Bruselas,36
438,Momil,14
439,Villanueva,10
440,Albania,19
441,Vigia del Fuerte,3
442,Marquetalia,8
443,Aquitania,7
444,Turbaco,6
445,La Ceja,3
446,Herveo,31
447,Manta,15
448,Madrid,15
449,La Palma,15
450,Quipile,15
451,Dibulla,19
452,Topaipí,15
453,Agua de Dios,15
454,La Mesa,15
455,Gachancipá,15
456,Cajicá,15
457,Pacho,15
458,Pueblo Rico,27
459,Timaná,18
460,Oiba,29
461,Villeta,15
462,Junin,15
463,Dagua,32
464,Mariquita,31
465,Chiscas,7
466,Landázuri,29
467,Becerril,12
468,Mercaderes,11
469,Charalá,29
470,Santa Cruz de Monpox,6
471,Cañasgordas,3
472,San Joaquín,29
473,Isnos,18
474,Sativasur,7
475,Puerto López,22
476,Enciso,29
477,Andagoya,13
478,Caldas,3
479,San Jacinto,6
480,Baranoa,5
481,San Carlos,3
482,Sesquilé,15
483,Caloto,11
484,Charta,29
485,San Vicente del Caguán,9
486,El Charco,23
487,San Mateo,7
488,Turbo,3
489,Cuaspud,23
490,Arboletes,3
491,La Chorrera,2
492,Manaure,19
493,San Bernardo,15
494,Saboyá,7
495,Repelón,5
