id,link
36,http://www.wradio.com.co/noticias/judicial/corte-suprema-abre-investigacion-a-representante-hernando-padaui/20150304/nota/2658172.aspx
37,http://congresovisible.org/agora/post/congreso-visible-se-pronuncia-sobre-el-caso-bedoya/7011/
38,http://www.elespectador.com/noticias/judicial/capturan-al-excongresista-guillermo-gaviria-presuntos-v-articulo-550387
39,http://www.eltiempo.com/politica/congreso/maria-del-socorro-bustamente-fallecio-la-lider-de-las-negritudes/15431995
40,http://www.elespectador.com/noticias/judicial/corte-dejo-firme-absolucion-del-excongresista-ciro-rami-articulo-551370
41,http://www.elespectador.com/noticias/judicial/los-testimonios-contra-exsenador-dieb-maloof-articulo-551516
42,http://www.semana.com/nacion/articulo/parapolitica-acusan-antonio-navarro-guillermo-garcia-realpe/424067-3
43,http://www.semana.com/nacion/articulo/parapolitica-acusan-antonio-navarro-guillermo-garcia-realpe/424067-3
44,http://www.elespectador.com/noticias/judicial/firme-medida-de-aseguramiento-contra-exsenador-dieb-mal-articulo-556318
45,http://www.elespectador.com/noticias/judicial/capturan-excongresista-alexander-ariza-parapolitica-articulo-562751
46,http://www.eluniversal.com.co/colombia/capturan-ex-senador-miguel-alfonso-de-la-espriella-195275
47,http://www.elespectador.com/noticias/judicial/fiscalia-ofrecio-excusas-publicas-excongresista-garcia-articulo-564753
48,http://www.elespectador.com/noticias/judicial/condenan-49-meses-de-prision-al-excongresista-guillermo-articulo-581983
49,http://www.elespectador.com/noticias/judicial/corte-suprema-llamo-juicio-al-excongresista-julio-manzu-articulo-585198
50,http://www.eltiempo.com/colombia/otras-ciudades/consejo-de-estado-revoco-eleccion-de-congresista-santandereana/16387270
51,http://consejo-estado.vlex.com.co/vid/-52544041 Visto: enero 24/13
52,http://www.elcolombiano.com/en-libertad-exalcalde-de-bello-oscar-suarez-mira-ML915790
53,http://www.elespectador.com/noticias/judicial/ordenan-captura-del-exsenador-oscar-suarez-presunto-enr-articulo-598758
54,http://www.elespectador.com/noticias/judicial/corte-llama-juicio-al-excongresista-oscar-suarez-mira-e-articulo-615508
55,http://www.eltiempo.com/politica/justicia/condenan-a-10-anos-de-prision-a-luis-fernando-almario/16539421
56,http://www.elespectador.com/noticias/politica/u-suspende-senador-detenido-narcotrafico-y-tentativa-de-articulo-625703
57,http://www.elespectador.com/noticias/judicial/se-entrego-el-gobernador-del-amazonas-manuel-carebilla-articulo-626012
58,http://www.elespectador.com/noticias/judicial/vencimiento-de-terminos-otorgan-libertad-exsenadora-pie-articulo-626548
59,http://www.elespectador.com/noticias/judicial/consejo-de-estado-investiga-congresista-viaje-al-exteri-articulo-593631
60,http://www.elespectador.com/noticias/judicial/condenan-48-meses-de-prision-juan-carlos-martinez-sinis-articulo-630211
61,http://www.semana.com/nacion/articulo/condenan-al-exsenador-juan-carlos-martinez-sinisterra-por-fraude-en-elecciones/472097
62,http://www.elespectador.com/noticias/politica/consejo-de-estado-decreto-perdida-de-investidura-del-co-articulo-639196
63,http://www.elpais.com.co/elpais/colombia/noticias/consejo-estado-anulo-eleccion-moises-orozco-como-representante-por-curul-afro
64,http://www.eltiempo.com/politica/justicia/investigacion-contra-congresista-del-choco-nilton-cordoba-manyoma/14681321
65,http://lasillavacia.com/historia/resucita-el-escandalo-de-los-palacios-municipales-de-fonsecon-59181
66,http://www.elespectador.com/noticias/judicial/articulo-256299-escandalo-de-dne-procuraduria-abre-indagacion-13-dirigentes
67,http://www.elespectador.com/noticias/judicial/articulo-261299-caso-dne-corte-abre-indagacion-14-dirigentes
68,http://www.eltiempo.com/politica/justicia/destituyen-e-inhabilitan-al-representante-a-la-camara-neftali-correa/16625673
69,http://www.eltiempo.com/archivo/documento/MAM-871812
70,http://www.elespectador.com/impreso/judicial/articuloimpreso171498-conspiracion-contra-ovidio-claros
71,http://www.elespectador.com/noticias/judicial/decretan-perdida-de-investidura-del-senador-carlos-enrique-soto-articulo-686779
72,http://corteconstitucional.gov.co/relatoria/2016/SU424-16.htm
73,http://corteconstitucional.gov.co/relatoria/2016/SU424-16.htm
74,http://www.semana.com/nacion/articulo/corte-condena-a-exparlamentario-pedro-mudvi-por-parapolitica/524118
75,http://www.semana.com/nacion/articulo/muerte-politica-a-representante-edgar-alexander-cipriano/529406
76,http://www.elespectador.com/noticias/judicial/corte-ordena-libertad-del-exsenador-julio-manzur-procesado-por-parapolitica-articulo-703960
77,http://www.elespectador.com/noticias/judicial/el-nono-elias-amanecio-en-una-celda-en-la-fiscalia-articulo-707431
78,http://www.caracol.com.co/noticias/judicial/quienes-son-los-congresistas-antioquenos-que-serian--investigados-por-la-corte-suprema/20110203/nota/1421048.aspx
79,http://www.eltiempo.com/justicia/llaman-a-juicio-a-scar-arboleda_13950956-4 Tomado:  mayo 07/14
80,http://www.elespectador.com/noticias/judicial/procuraduria-archivo-investigacion-contra-oscar-arboled-articulo-456624
81,http://www.elespectador.com/noticias/judicial/capturan-al-excongresista-oscar-arboleda-parapolitica-articulo-445773 Tomado: septiembre 12/13 http://www.elespectador.com/noticias/judicial/el-tuso-clave-del-caso-arboleda-articulo-447276
82,http://www.elespectador.com/noticias/judicial/articulo-256943-parapolitica-abren-indagacion-parlamentario-andino-oscar-arboled
83,http://www.elcolombiano.com/antioquia/muerte-de-oscar-alberto-arboleda-palacio-politico-antioqueno-MF7153248
84,http://www.elespectador.com/noticias/judicial/excongresista-zulema-jattin-llamada-juicio-por-parapolitica-articulo-710990
85,http://www.elespectador.com/noticias/judicial/corte-investiga-27-senadores-articulo-446311
86,http://www.elespectador.com/noticias/judicial/corte-suprema-archivo-investigacion-al-senador-musa-bes-articulo-462130
87,http://www.eluniversal.com.co/monteria/sucesos/alias-%E2%80%9Cvisaje%E2%80%9D-salpica-al-senador-electo-musa-besaile
88,http://www.elespectador.com/noticias/judicial/excongresista-rodrigo-roncallo-fue-detenido-en-el-aeropuerto-el-dorado-articulo-713975
89,http://www.elespectador.com/noticias/judicial/articulo-281039-ordenan-salida-de-prision-de-excongresista-rodrigo-roncallo
90,http://www.vanguardia.com/politica/410077-consejo-de-estado-decreta-perdida-de-investidura-de-holger-diaz
91,http://www.elespectador.com/noticias/politica/suspendida-la-curul-de-bernardo-nono-elias-articulo-714307
92,http://www.eltiempo.com/justicia/investigacion/ordenan-captura-contra-musa-besaile-134926
93,http://www.elpais.com.co/colombia/zulema-jattin-excongresista-investigada-por-corrupcion-recibe-absolucion-de-la-corte.html
94,https://www.elespectador.com/noticias/judicial/los-enredos-del-senador-alvaro-ashton-articulo-727652?utm_source=Icommarketing&utm_medium=Email&utm_content=Web%20Service%20-%2012.12.2017%2009.58&utm_campaign=Icommarketing%20-%20Newsletter_diario%20-%2012-12-2017_Newsletter_EE_35
95,https://www.elespectador.com/noticias/judicial/corte-suprema-ordena-medida-de-aseguramiento-contra-excongresista-david-char-articulo-722259
96,http://www.rcnradio.com/nacional/exsenador-david-char-sera-investigado-trafico-armas-concierto-delinquir/
97,https://www.elespectador.com/noticias/politica/musa-besaile-pierde-su-curul-en-el-senado-articulo-724447
98,http://www.vanguardia.com/colombia/427346-senador-hernan-andrade-exonerado-por-el-caso-dne
99,http://www.eltiempo.com/justicia/investigacion/ordenan-captura-de-la-representante-a-la-camara-aida-merlano-201948
100,https://www.elespectador.com/noticias/politica/muere-senador-conservador-fernando-tamayo-articulo-749841
101,http://www.elpais.com.co/colombia/corte-suprema-ratifica-investigacion-contra-alvaro-uribe.html
102,https://www.rcnradio.com/judicial/corte-suprema-adelanta-28-procesos-contra-alvaro-uribe
103,http://www.eltiempo.com/archivo/documento/CMS-12731508
104,http://www.elespectador.com/noticias/judicial/corte-archivo-investigacion-contra-14-congresistas-carr-articulo-437204
105,https://www.elespectador.com/noticias/judicial/capturado-exsenador-conservador-investigado-por-parapolitica-articulo-754190
106,https://twitter.com/CorteSupremaJ/status/993163416469757952
107,http://www.eluniversal.com.co/cartagena/politica/%E2%80%9Cno-tuve-contacto-con-paras%E2%80%9D-puello-chamie-18804
108,http://www.eltiempo.com/justicia/cortes/corte-condena-al-nono-elias-a-6-anos-por-odebrecht-188176
109,https://www.semana.com/nacion/articulo/exsenador-nono-elias-es-acusado-en-la-corte-suprema/566757
110,http://caracol.com.co/radio/2018/05/25/judicial/1527200378_646040.html
111,http://elnuevosiglo.com.co/articulos/06-2018-juicio-alvaro-ashton-por-parapolitica
