id,created_at,updated_at,persona_id,fecha
523,2010-02-03 07:21:23.855835,2010-02-03 07:21:23.855856,1438,2006-08-16
325,2010-01-17 17:35:01.379344,2010-01-26 17:30:56.144665,1202,1998-06-02
863,2010-09-16 16:43:29.322403,2010-09-16 16:43:29.322424,563,1982-01-01
336,2010-01-17 17:35:01.500803,2010-02-03 14:02:49.662618,113,1972-01-01
304,2010-01-17 17:35:01.159224,2010-06-21 19:36:10.563133,1182,2002-09-01
305,2010-01-17 17:35:01.168494,2010-02-03 17:07:25.200455,1182,2002-06-01
306,2010-01-17 17:35:01.178145,2010-02-03 17:07:25.203817,1182,2003-10-09
307,2010-01-17 17:35:01.187557,2010-02-03 17:07:25.385225,1182,2002-08-01
308,2010-01-17 17:35:01.196980,2010-02-03 17:07:25.388770,1182,2003-04-01
864,2010-09-22 16:29:38.666166,2010-09-22 16:29:38.666200,350,1982-05-26
310,2010-01-17 17:35:01.221868,2010-02-03 17:07:25.395610,1182,1994-12-23
531,2010-02-03 19:56:08.953823,2010-02-03 19:56:08.953850,1370,2006-02-15
532,2010-02-03 19:56:08.955095,2010-02-03 19:56:08.955117,1370,2009-03-31
533,2010-02-03 19:56:08.955906,2010-02-03 19:56:08.955927,1370,2009-12-31
357,2010-01-17 17:35:01.715212,2010-06-21 18:13:41.988684,164,1998-02-02
358,2010-01-17 17:35:01.726387,2010-06-21 18:13:41.992171,164,1996-08-01
299,2010-01-17 17:35:01.119442,2010-05-10 22:05:13.453886,1091,1991-01-01
300,2010-01-17 17:35:01.126760,2010-05-10 22:05:13.466233,1091,1986-01-01
359,2010-01-17 17:35:01.736828,2010-06-21 18:13:41.995544,164,2003-07-01
539,2010-02-04 16:07:38.571609,2010-02-04 16:07:38.571633,1419,2006-09-04
547,2010-02-04 16:42:08.128276,2010-02-04 16:42:08.128297,1419,2003-11-03
548,2010-02-04 16:42:08.129475,2010-02-04 16:42:08.129497,1419,2003-03-03
549,2010-02-04 16:42:08.130335,2010-02-04 16:42:08.130356,1419,2003-06-03
550,2010-02-04 16:42:08.131170,2010-02-04 16:42:08.131198,1419,2003-10-01
361,2010-01-17 17:35:01.766190,2010-02-05 15:35:33.698825,1234,1990-05-15
865,2010-09-23 19:13:33.457346,2010-09-23 19:13:33.457368,1027,1998-01-01
866,2010-10-08 21:41:08.956471,2010-10-08 21:41:08.956494,2812,NA
416,2010-01-17 17:35:02.345585,2010-02-05 17:09:28.135387,1295,1998-04-01
418,2010-01-17 17:35:02.364591,2010-02-05 17:09:28.142712,1295,1995-03-01
560,2010-02-05 19:37:23.647768,2010-02-05 19:37:23.647795,1414,2002-01-01
80,2010-01-17 17:34:58.783381,2010-04-08 21:57:58.542919,441,1996-03-01
587,2010-02-11 19:05:59.774800,2010-02-11 19:05:59.774842,1805,1986-03-01
551,2010-02-04 22:35:53.584790,2010-02-15 21:57:55.993512,1349,2009-03-14
373,2010-01-17 17:35:01.883657,2010-02-19 21:55:46.785370,1248,1978-05-26
405,2010-01-17 17:35:02.238550,2010-05-25 19:40:39.097593,1277,1992-06-09
406,2010-01-17 17:35:02.248527,2010-02-01 20:56:36.616806,1277,1993-04-01
407,2010-01-17 17:35:02.257713,2010-02-01 20:56:36.620121,1277,1994-01-01
408,2010-01-17 17:35:02.267082,2010-05-25 19:40:39.103055,1277,1998-08-30
867,2010-10-08 21:41:08.986276,2010-10-08 21:41:08.986298,2812,NA
337,2010-01-17 17:35:01.511855,2010-06-08 18:23:07.238459,1214,2006-09-01
