id,entity_content_type_id,count,counted_content_type_id,counted_object_id
67011,98,1,97,372
67012,98,1,97,280
67013,98,1,97,252
67014,98,1,97,277
67015,98,3,97,228
67016,98,1,97,331
67018,98,1,97,328
68399,98,2,21,3154
67019,98,1,97,293
68400,98,1,21,3102
67020,98,1,97,387
67021,98,1,97,335
67022,98,1,97,371
67023,98,1,97,316
67024,98,1,97,354
67025,98,1,97,365
67026,98,1,97,204
67027,98,7,97,247
67028,98,1,97,379
67029,98,1,97,215
67030,98,1,97,361
67031,98,2,97,290
67032,98,1,97,323
67033,98,1,97,348
67035,98,1,97,211
67036,98,1,97,276
67037,98,1,97,259
67038,98,1,97,376
67039,98,4,97,246
67041,98,1,97,286
67042,98,1,97,196
67043,98,1,97,315
67044,98,1,97,232
67045,98,3,97,218
67047,98,1,97,353
67049,98,1,97,242
67050,98,1,97,363
66787,98,18,21,2533
48057,67,84,20,13
48062,98,2,97,5
48074,98,3,97,17
48076,98,36,97,19
48067,98,39,97,10
48066,98,7,97,9
48065,98,10,97,8
48064,98,3,97,7
48061,98,4,97,4
48063,98,1,97,6
48075,98,1,97,18
48077,98,1,97,20
48058,98,14,97,1
48078,98,4,97,21
48060,98,4,97,3
48070,98,2,97,13
48059,98,4,97,2
48072,98,8,97,15
48069,98,1,97,12
48073,98,8,97,16
48268,98,3,21,1589
48099,98,3,97,42
48100,98,3,97,43
48101,98,9,97,44
48102,98,1,97,45
48103,98,2,97,46
48104,98,2,97,47
48105,98,3,97,48
48106,98,2,97,49
48107,98,1,97,50
48108,98,1,97,51
48109,98,4,97,52
48110,98,1,97,53
48111,98,1,97,54
48112,98,1,97,55
48113,98,1,97,56
48114,98,1,97,57
48115,98,4,97,58
48116,98,4,97,59
48117,98,5,97,60
48118,98,1,97,61
47947,52,297,122,7
47948,52,250,122,8
47949,52,417,122,9
47950,52,412,122,10
47951,52,522,122,11
47952,52,434,122,12
47953,52,468,122,13
47954,52,485,122,14
47955,52,604,122,15
47956,52,506,122,16
48016,67,55,72,3
48017,67,2,72,129
47961,54,90,78,1
47962,54,1283,78,2
47963,54,46,78,3
47964,54,150,78,4
47965,54,274,78,5
47966,54,134,78,6
47967,54,204,78,7
47968,54,65,78,8
47969,54,132,78,9
47970,54,885,19,2
47971,54,388,19,1
48018,67,88,72,56
47973,54,55,20,10
47974,54,209,20,7
47975,54,81,20,9
47976,54,174,20,4
47977,54,105,20,6
47978,54,119,20,2
47979,54,14,20,12
48019,67,8,72,120
47982,54,106,20,1
47983,54,43,20,5
47984,54,88,20,11
47985,54,83,20,3
48020,67,3,72,55
47987,54,26,20,13
47989,54,1916,34,2
48022,67,29,72,5
47993,67,1207,63,1
47994,67,113,63,2
47995,67,54,72,8
47996,67,28,72,124
47997,67,19,72,116
47998,67,4,72,47
47999,67,15,72,64
48000,67,34,72,53
48001,67,29,72,119
48002,67,14,72,63
48003,67,21,72,28
48004,67,16,72,94
48005,67,3,72,111
48006,67,10,72,128
48007,67,110,72,41
48008,67,39,72,2
48010,67,14,72,95
48011,67,11,72,134
48012,67,36,72,73
48013,67,2,72,106
48014,67,34,72,122
48015,67,20,72,22
48023,67,17,72,50
48024,67,19,72,101
48025,67,4,72,30
48026,67,8,72,130
48027,67,5,72,97
48028,67,66,72,108
48029,67,93,72,133
48030,67,2,72,35
48031,67,14,72,121
48032,67,10,72,11
48033,67,10,72,20
48034,67,14,72,67
48035,67,91,72,10
48036,67,68,72,123
48037,67,49,72,38
48038,67,57,72,100
48039,67,7,72,125
48040,67,674,19,2
48041,67,694,19,1
48043,67,81,20,10
48044,67,113,20,7
48045,67,88,20,9
48046,67,95,20,4
48047,67,73,20,6
48048,67,47,20,2
48049,67,100,20,12
48071,98,8,97,14
48051,67,83,20,8
48052,67,77,20,1
48053,67,97,20,5
48054,67,111,20,11
48055,67,77,20,3
48056,67,45,20,14
48068,98,1,97,11
47869,52,2,50,7
47870,52,278,50,15
47871,52,1,50,14
47806,24,15,77,1
47807,24,97,77,2
47808,52,5426,51,1
47809,52,439,51,2
47872,52,37,50,55
47810,52,81,51,3
47811,52,219,50,68
47812,52,7,50,63
47813,52,14,50,69
47816,52,547,50,62
47817,52,30,50,23
47819,52,58,50,17
47821,52,53,50,19
47824,52,11,50,21
47826,52,7,50,4
47828,52,3,50,8
47829,52,502,50,61
47830,52,462,50,32
47831,52,1213,50,70
47832,52,166,50,33
47834,52,3,50,60
47835,52,1,50,59
47836,52,2,50,64
47838,52,3,50,39
47839,52,2,50,37
47841,52,6,50,52
47844,52,12,50,58
47845,52,6,50,36
47850,52,24,50,57
47856,52,680,50,56
47858,52,34,50,45
47860,52,203,50,42
47862,52,113,50,43
48336,98,3,21,1591
47865,52,25,50,44
47867,52,5,50,3
47868,52,6,50,5
47873,52,495,50,34
47874,52,2,50,54
49601,98,4,21,1596
47943,52,1,122,3
47944,52,65,122,4
47945,52,334,122,5
47946,52,430,122,6
69677,98,2,21,2450
