id,user_id
1,1
2,316
3,138
5,299
6,144
7,190
8,95
9,56
10,238
11,150
12,57
13,125
14,354
15,376
16,318
17,191
18,59
19,381
20,88
21,301
22,160
23,140
25,383
26,303
27,108
28,135
29,86
30,43
31,253
32,48
33,44
34,382
35,235
36,87
37,1415
38,1416
39,51
40,41
41,101
43,308
44,174
45,149
46,61
47,53
48,161
460,2746
50,47
51,1429
52,1428
55,1432
56,182
57,1431
58,40
60,1016
61,1443
62,1449
63,346
64,1511
65,1458
66,1515
67,1518
68,38
69,1527
70,1480
71,1453
72,1532
73,1519
74,1521
75,1529
76,1516
77,1525
78,1517
79,1572
80,1523
81,1524
82,1857
83,1520
84,1528
85,1530
86,1722
87,1526
88,1450
89,1807
90,1507
91,1426
92,1514
93,1505
94,1502
95,1503
96,1504
97,1481
98,1506
99,1509
100,1510
101,1512
102,1513
103,1495
104,1508
105,1473
106,1488
107,1750
108,1754
109,355
110,1468
111,1563
112,1849
113,1536
114,1806
115,1713
116,1881
117,1668
118,1553
119,1837
120,1538
121,1883
122,1537
123,1885
124,1464
125,1677
126,49
127,1479
128,1559
129,1776
130,869
131,1606
132,1470
133,1687
134,1440
135,1861
136,1897
137,1469
138,1555
139,370
140,1546
141,348
142,1895
143,1923
144,1917
145,1943
146,1941
147,1961
148,1902
149,984
150,1944
151,1916
152,1899
153,1979
154,1922
155,1963
156,1447
157,1974
158,1846
159,176
160,1557
161,1601
162,1955
163,1926
164,1986
165,1969
166,1486
167,1681
168,1680
169,1465
170,1467
171,1991
172,1561
173,1942
174,1582
175,1934
176,1834
177,1978
178,1588
179,2017
180,146
181,1472
182,1686
183,1471
184,2000
185,1573
186,1576
187,1655
188,2042
189,1584
190,2003
191,374
192,1949
193,1838
194,166
195,1764
196,2053
197,1959
198,114
199,380
200,1562
201,377
202,1427
203,1904
204,1593
205,1590
206,204
207,1752
208,2070
209,2052
210,1600
211,445
212,1547
213,1843
214,1643
215,1707
216,1577
217,2058
218,1845
219,2064
220,1452
221,372
222,1603
223,1565
224,2028
225,2098
226,2183
227,2170
228,1602
229,1995
230,2077
231,2157
232,1968
233,1898
234,2079
235,1466
236,2051
237,1260
238,1790
239,1901
240,2177
241,2078
242,209
243,2213
244,2154
245,1604
246,2088
247,2155
248,1433
249,1434
250,1435
251,1436
252,1437
253,1438
254,1439
255,1441
256,1442
257,1444
258,1445
259,2182
260,2235
261,1962
262,2097
263,1858
264,2162
265,2210
266,1936
267,2275
268,1665
269,1666
270,1454
271,1690
272,2169
273,1667
274,2204
275,1653
276,1654
277,265
278,1564
279,1566
280,1567
281,1569
282,1571
461,2747
284,1575
285,1578
286,1580
287,1587
288,1589
289,1591
290,1592
291,1594
292,1595
293,1596
294,1597
295,1598
296,1599
297,1671
298,1605
299,1614
300,1662
301,1663
302,1664
303,1448
304,1673
305,2294
306,2197
307,2330
308,170
309,2306
310,896
311,1496
312,1499
313,1500
314,1501
315,60
316,2202
317,1455
318,1456
319,1457
320,1459
321,1676
322,1675
323,1460
324,1461
325,1462
326,1463
327,216
328,2191
329,1646
330,2226
331,2099
332,2105
333,2118
334,2341
335,2121
336,58
337,1336
338,260
339,1307
340,1556
341,1543
342,1743
343,1847
344,2343
345,1474
346,1475
347,1476
348,1477
349,1678
350,1679
351,1478
352,1482
353,1483
354,1484
355,1485
356,1487
357,1489
358,1490
359,1491
360,1682
361,1683
362,1684
363,1492
364,1493
365,1494
366,1840
367,1685
368,1792
369,1835
370,1839
371,1841
372,1956
373,2337
374,1842
375,1844
376,1848
377,1850
378,1851
379,1852
380,1853
381,1854
382,1836
383,2302
384,2280
385,2366
386,2382
387,2402
388,2399
389,2364
390,2429
391,2390
392,2395
393,2355
394,1025
395,2092
396,250
397,2389
398,179
399,68
400,2421
401,2391
402,2344
403,2437
404,1669
405,2152
406,2319
407,2054
408,2441
409,2096
410,2109
411,2447
412,2446
413,2419
414,2440
415,1637
416,103
417,1740
418,2113
419,2460
420,2502
421,2503
422,2508
423,2510
424,2519
425,2555
426,2556
427,1647
428,2654
429,2653
430,2658
432,2677
433,2660
434,2661
435,2662
436,2663
437,2664
438,2665
439,2666
440,2667
441,2668
442,2669
443,2670
444,2671
445,2672
446,2673
447,2674
448,2675
449,2676
450,2720
451,232
452,2489
453,2726
454,2740
455,2741
456,2742
457,2743
458,2744
459,2745
607,406
608,1264
462,2748
463,2725
464,2466
465,2785
466,2800
467,2805
468,2732
469,2727
470,2731
471,2728
472,2735
473,2736
474,2733
475,2737
476,2576
477,2047
478,2625
479,1613
480,2606
481,2623
482,2581
483,2471
484,2454
485,1900
486,2009
487,2872
488,961
489,2873
490,2874
491,2119
492,1288
493,181
494,2146
495,2971
496,2580
497,2511
498,1876
499,2521
500,2522
501,2320
502,3081
503,3007
504,3100
505,3105
506,252
507,3115
508,2520
509,2566
510,234
511,2525
512,2523
513,1782
514,2987
515,3131
516,3172
517,3199
518,2978
519,607
520,3232
521,2622
522,2190
523,3272
524,3271
525,1586
526,3297
527,1367
528,1915
529,2536
530,2627
531,3392
532,3393
634,4663
534,2644
535,2531
536,1896
537,75
538,2826
539,3397
540,2572
541,3478
542,2535
543,2982
544,220
545,313
546,2574
547,2879
548,2516
549,3537
550,1631
551,107
552,2044
553,2132
554,2311
555,241
556,535
557,3553
558,2904
559,3565
560,2602
561,2578
562,2619
563,2568
564,2906
565,2565
609,4265
610,1880
568,3732
569,1266
570,2039
571,3784
572,81
573,3839
574,3854
575,3855
576,3858
577,907
578,3901
580,3705
581,3916
611,3642
583,1724
584,1626
585,2729
612,1140
587,1783
588,3810
589,3651
590,1348
591,4005
592,4006
593,3361
594,3360
595,4013
596,851
597,994
598,1661
599,1021
600,3679
601,1221
602,2570
603,2515
604,950
605,2193
606,2609
613,2086
614,3678
615,1296
616,2624
617,4382
618,4383
619,4394
620,4443
621,4418
623,4468
624,4478
625,2603
626,4497
627,4498
628,1010
629,4516
630,4496
631,4593
632,4596
649,4937
635,4682
636,636
650,2558
638,4803
639,4755
651,678
641,4811
642,4816
643,4840
644,2637
645,4841
646,4919
647,4924
648,4928
652,5075
653,5170
654,5238
655,5267
656,244
658,5323
659,5369
660,5461
661,5549
662,5615
663,5616
664,5621
665,5625
666,5627
667,1794
668,5639
669,5577
670,178
671,1265
672,5740
673,756
674,2575
675,5807
677,2612
678,154
679,1813
680,5970
682,6099
683,6124
684,6125
685,6126
686,6147
687,6186
688,6253
689,6252
690,6276
691,6310
692,1305
693,6415
694,1143
695,83
696,924
697,6599
698,2716
699,6494
700,6707
701,6806
702,6910
703,6957
704,6686
705,96
706,2114
707,7470
708,6611
709,7416
710,7554
711,7559
712,1374
713,3600
714,7599
715,7661
716,2986
717,7747
718,7758
719,356
720,194
721,171
