id,user_id,provider,is_email_filled,is_profile_modified
1,2333,Facebook,TRUE,TRUE
2,2336,Facebook,TRUE,TRUE
3,2342,Google,FALSE,FALSE
5,2347,Twitter,FALSE,FALSE
8,2350,Facebook,TRUE,TRUE
6,2349,Google,TRUE,TRUE
9,2353,Facebook,TRUE,TRUE
10,2360,Google,FALSE,FALSE
12,2431,Twitter,TRUE,TRUE
13,179,Twitter,FALSE,FALSE
14,2433,Google,TRUE,TRUE
15,2434,Google,TRUE,TRUE
16,2435,Twitter,TRUE,TRUE
35,2468,Google,TRUE,TRUE
173,3494,Twitter,FALSE,FALSE
17,2439,Google,FALSE,FALSE
18,150,Twitter,FALSE,FALSE
36,2469,Google,FALSE,FALSE
37,2470,Twitter,TRUE,TRUE
38,2472,Twitter,FALSE,FALSE
39,2474,Google,FALSE,FALSE
21,2445,Twitter,TRUE,TRUE
255,4225,Twitter,TRUE,TRUE
25,2452,Twitter,TRUE,TRUE
11,2363,Twitter,TRUE,TRUE
26,2453,Twitter,TRUE,TRUE
28,2457,Twitter,TRUE,TRUE
29,2459,Google,FALSE,FALSE
30,2461,Twitter,TRUE,TRUE
19,2443,Google,TRUE,TRUE
31,2463,Google,TRUE,TRUE
32,2464,Google,TRUE,TRUE
256,4263,Twitter,FALSE,FALSE
34,2466,Google,TRUE,TRUE
40,2478,Google,FALSE,FALSE
41,2480,Twitter,TRUE,TRUE
42,2481,Google,FALSE,FALSE
43,2482,Google,FALSE,FALSE
20,2444,Google,TRUE,TRUE
45,2485,Twitter,TRUE,TRUE
46,2491,Twitter,TRUE,TRUE
47,2492,Facebook,FALSE,FALSE
48,2495,Facebook,TRUE,TRUE
49,2497,Google,TRUE,TRUE
50,2498,Google,TRUE,TRUE
51,2499,Google,TRUE,TRUE
52,2500,Facebook,FALSE,FALSE
257,4270,Google,TRUE,TRUE
77,2682,Facebook,FALSE,FALSE
171,3476,Twitter,FALSE,FALSE
54,2506,Google,TRUE,TRUE
55,2507,Facebook,FALSE,FALSE
79,2683,Google,FALSE,FALSE
80,2688,Twitter,TRUE,TRUE
137,3161,Twitter,FALSE,FALSE
138,3166,Twitter,FALSE,FALSE
56,2509,Facebook,TRUE,TRUE
139,3169,Twitter,FALSE,FALSE
174,3495,Google,FALSE,FALSE
57,2512,Twitter,TRUE,TRUE
81,2692,Facebook,TRUE,TRUE
175,3505,Google,FALSE,FALSE
140,3173,Google,FALSE,FALSE
176,3513,Google,TRUE,TRUE
83,2714,Facebook,FALSE,FALSE
141,3188,Google,FALSE,FALSE
177,3514,Twitter,FALSE,FALSE
178,3529,Google,FALSE,FALSE
58,2514,Facebook,TRUE,TRUE
142,3190,Twitter,FALSE,FALSE
85,2719,Facebook,FALSE,FALSE
86,2721,Google,TRUE,TRUE
59,2517,Google,TRUE,TRUE
143,3196,Google,TRUE,TRUE
60,2518,Facebook,TRUE,TRUE
87,2734,Twitter,FALSE,FALSE
88,2749,Facebook,FALSE,FALSE
89,2752,Facebook,FALSE,FALSE
90,2753,Twitter,FALSE,FALSE
61,2540,Twitter,FALSE,FALSE
62,2542,Google,TRUE,TRUE
91,2754,Google,TRUE,TRUE
144,3197,Google,FALSE,FALSE
63,2547,Facebook,TRUE,TRUE
92,2758,Google,TRUE,TRUE
145,3200,Google,FALSE,FALSE
64,2567,Google,FALSE,FALSE
65,2569,Twitter,TRUE,TRUE
93,2766,Google,FALSE,FALSE
66,2601,Google,TRUE,TRUE
95,2788,Facebook,FALSE,FALSE
96,2795,Google,TRUE,TRUE
146,3201,Google,FALSE,FALSE
147,3212,Google,FALSE,FALSE
148,3224,Twitter,FALSE,FALSE
67,2607,Facebook,FALSE,FALSE
68,2608,Twitter,TRUE,TRUE
97,2803,Facebook,FALSE,FALSE
98,2804,Google,FALSE,FALSE
69,2613,Facebook,FALSE,FALSE
70,2621,Facebook,FALSE,FALSE
99,2807,Facebook,TRUE,TRUE
71,2629,Twitter,FALSE,FALSE
72,2632,Google,TRUE,TRUE
100,2808,Twitter,TRUE,TRUE
73,2641,Twitter,FALSE,FALSE
74,2651,Google,TRUE,TRUE
119,3055,Twitter,FALSE,FALSE
120,3066,Twitter,FALSE,FALSE
75,2656,Twitter,FALSE,FALSE
121,3068,Twitter,FALSE,FALSE
165,3420,Google,FALSE,FALSE
101,2824,Google,TRUE,TRUE
102,2825,Google,FALSE,FALSE
122,3071,Twitter,TRUE,TRUE
103,2835,Google,FALSE,FALSE
104,2838,Google,FALSE,FALSE
105,2841,Twitter,FALSE,FALSE
106,2845,Google,FALSE,FALSE
107,2853,Google,FALSE,FALSE
108,2862,Google,FALSE,FALSE
109,2880,Twitter,FALSE,FALSE
110,2896,Twitter,FALSE,FALSE
111,2901,Google,TRUE,TRUE
112,2902,Twitter,FALSE,FALSE
113,2915,Twitter,FALSE,FALSE
114,2934,Twitter,FALSE,FALSE
115,2958,Twitter,FALSE,FALSE
116,2970,Google,TRUE,TRUE
154,3300,Google,FALSE,FALSE
117,3005,Twitter,TRUE,TRUE
172,3489,Google,FALSE,FALSE
118,3021,Google,FALSE,FALSE
149,3228,Google,FALSE,FALSE
