id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
155,3190,18574,5,0,NA,NA,NA,NA,NA
156,3190,18575,5,0,NA,NA,NA,NA,NA
157,3190,18576,5,0,NA,NA,NA,NA,NA
158,3190,18577,5,0,NA,NA,NA,NA,NA
159,3190,18578,5,0,NA,NA,NA,NA,NA
160,3190,18579,5,0,NA,NA,NA,NA,NA
161,3190,18580,5,0,NA,NA,NA,NA,NA
162,3190,18581,5,0,NA,NA,NA,NA,NA
163,3190,18583,5,0,NA,NA,NA,NA,NA
164,3190,18585,5,0,NA,NA,NA,NA,NA
165,3190,18586,5,0,NA,NA,NA,NA,NA
166,3190,18588,5,0,NA,NA,NA,NA,NA
167,3190,18589,5,0,NA,NA,NA,NA,NA
168,3190,18591,5,0,NA,NA,NA,NA,NA
169,3190,18593,5,0,NA,NA,NA,NA,NA
170,3190,18595,5,0,NA,NA,NA,NA,NA
171,3202,18567,5,0,NA,NA,NA,NA,NA
172,3202,18568,5,0,NA,NA,NA,NA,NA
173,3202,18596,5,0,NA,NA,NA,NA,NA
174,3202,18388,5,0,NA,NA,NA,NA,NA
175,3202,18394,5,0,NA,NA,NA,NA,NA
176,3202,18522,5,0,NA,NA,NA,NA,NA
177,3202,18399,5,0,NA,NA,NA,NA,NA
178,3202,18416,5,0,NA,NA,NA,NA,NA
179,3202,18412,5,0,NA,NA,NA,NA,NA
180,3202,18597,5,0,NA,NA,NA,NA,NA
181,3202,18502,5,0,NA,NA,NA,NA,NA
182,3202,18598,5,0,NA,NA,NA,NA,NA
183,3202,18581,5,0,NA,NA,NA,NA,NA
184,3202,18519,5,0,NA,NA,NA,NA,NA
185,3383,18400,5,0,NA,NA,NA,NA,NA
186,3383,18399,5,0,NA,NA,NA,NA,NA
187,3383,18416,5,0,NA,NA,NA,NA,NA
188,3426,18599,5,0,NA,NA,NA,NA,NA
189,3430,18519,5,0,NA,NA,NA,NA,NA
190,3189,18600,5,0,NA,NA,NA,NA,NA
191,3461,18601,5,0,NA,NA,NA,NA,NA
192,3461,18602,5,0,NA,NA,NA,NA,NA
193,3461,18603,5,0,NA,NA,NA,NA,NA
194,3461,18604,5,0,NA,NA,NA,NA,NA
195,3461,18522,5,0,NA,NA,NA,NA,NA
196,3461,18519,5,0,NA,NA,NA,NA,NA
197,3461,18416,5,0,NA,NA,NA,NA,NA
198,3467,18605,5,0,NA,NA,NA,NA,NA
199,3475,18414,5,0,NA,NA,NA,NA,NA
200,3475,18415,5,0,NA,NA,NA,NA,NA
363,5557,18400,5,0,NA,NA,NA,NA,NA
202,3475,18396,5,0,NA,NA,NA,NA,NA
203,3475,18416,5,0,NA,NA,NA,NA,NA
204,3475,18417,5,0,NA,NA,NA,NA,NA
205,3467,18606,5,0,NA,NA,NA,NA,NA
206,3467,18400,5,0,NA,NA,NA,NA,NA
207,3489,18603,5,0,NA,NA,NA,NA,NA
208,3489,18604,5,0,NA,NA,NA,NA,NA
209,3489,18602,5,0,NA,NA,NA,NA,NA
210,3489,18601,5,0,NA,NA,NA,NA,NA
211,3493,18603,5,0,NA,NA,NA,NA,NA
212,3493,18604,5,0,NA,NA,NA,NA,NA
213,3493,18602,5,0,NA,NA,NA,NA,NA
214,3615,18602,5,0,NA,NA,NA,NA,NA
215,3615,18608,5,0,NA,NA,NA,NA,NA
216,3857,18619,5,0,NA,NA,NA,NA,NA
217,3857,18409,5,0,NA,NA,NA,NA,NA
218,3857,18620,5,0,NA,NA,NA,NA,NA
219,3071,18400,5,0,NA,NA,NA,NA,NA
220,3901,18625,5,0,NA,NA,NA,NA,NA
221,3901,18626,5,0,NA,NA,NA,NA,NA
222,3901,18627,5,0,NA,NA,NA,NA,NA
223,3901,18628,5,0,NA,NA,NA,NA,NA
224,3916,18522,5,0,NA,NA,NA,NA,NA
225,3916,18409,5,0,NA,NA,NA,NA,NA
226,3916,18472,5,0,NA,NA,NA,NA,NA
227,3916,18629,5,0,NA,NA,NA,NA,NA
228,129,18400,5,0,NA,NA,NA,NA,NA
229,129,18519,5,0,NA,NA,NA,NA,NA
230,3968,18437,5,0,NA,NA,NA,NA,NA
231,3968,18637,5,0,NA,NA,NA,NA,NA
232,1317,18448,5,0,NA,NA,NA,NA,NA
233,1317,18522,5,0,NA,NA,NA,NA,NA
234,1317,18399,5,0,NA,NA,NA,NA,NA
235,1317,18400,5,0,NA,NA,NA,NA,NA
236,1317,18416,5,0,NA,NA,NA,NA,NA
237,3982,18448,5,0,NA,NA,NA,NA,NA
238,3982,18522,5,0,NA,NA,NA,NA,NA
239,3982,18399,5,0,NA,NA,NA,NA,NA
240,3982,18400,5,0,NA,NA,NA,NA,NA
241,3982,18416,5,0,NA,NA,NA,NA,NA
242,3968,18636,5,0,NA,NA,NA,NA,NA
364,5557,18519,5,0,NA,NA,NA,NA,NA
244,3968,18639,5,0,NA,NA,NA,NA,NA
245,3968,18640,5,0,NA,NA,NA,NA,NA
246,2568,18446,5,0,NA,NA,NA,NA,NA
365,5557,18522,5,0,NA,NA,NA,NA,NA
248,2699,18584,5,0,NA,NA,NA,NA,NA
249,4296,18399,5,0,NA,NA,NA,NA,NA
250,4296,18396,5,0,NA,NA,NA,NA,NA
251,4296,15948,5,0,NA,NA,NA,NA,NA
366,5557,18704,5,0,NA,NA,NA,NA,NA
253,4316,18645,5,0,NA,NA,NA,NA,NA
254,4316,18646,5,0,NA,NA,NA,NA,NA
255,4316,18647,5,0,NA,NA,NA,NA,NA
1911,20910,18400,5,0,NA,NA,NA,NA,NA
1925,21226,18421,5,0,NA,NA,NA,NA,NA
1926,21226,18420,5,0,NA,NA,NA,NA,NA
1927,21226,18773,5,0,NA,NA,NA,NA,NA
260,4351,18434,5,0,NA,NA,NA,NA,NA
261,4351,18399,5,0,NA,NA,NA,NA,NA
262,4351,18416,5,0,NA,NA,NA,NA,NA
263,4351,18412,5,0,NA,NA,NA,NA,NA
264,4351,18409,5,0,NA,NA,NA,NA,NA
265,4351,18653,5,0,NA,NA,NA,NA,NA
266,4351,18654,5,0,NA,NA,NA,NA,NA
267,4351,18655,5,0,NA,NA,NA,NA,NA
268,4351,18656,5,0,NA,NA,NA,NA,NA
2095,1535,18433,5,0,NA,NA,NA,NA,NA
2096,1535,19681,5,0,NA,NA,NA,NA,NA
2108,23681,19688,5,0,NA,NA,NA,NA,NA
276,145,18522,5,0,NA,NA,NA,NA,NA
277,145,18519,5,0,NA,NA,NA,NA,NA
278,145,18400,5,0,NA,NA,NA,NA,NA
279,4539,18519,5,0,NA,NA,NA,NA,NA
280,4539,18400,5,0,NA,NA,NA,NA,NA
281,4539,18416,5,0,NA,NA,NA,NA,NA
282,4539,18639,5,0,NA,NA,NA,NA,NA
283,4539,18565,5,0,NA,NA,NA,NA,NA
284,4539,18429,5,0,NA,NA,NA,NA,NA
285,4539,18663,5,0,NA,NA,NA,NA,NA
286,4539,18664,5,0,NA,NA,NA,NA,NA
287,4539,18665,5,0,NA,NA,NA,NA,NA
288,4539,18666,5,0,NA,NA,NA,NA,NA
289,4539,18667,5,0,NA,NA,NA,NA,NA
290,4829,18522,5,0,NA,NA,NA,NA,NA
291,5037,18419,5,0,NA,NA,NA,NA,NA
292,5037,18421,5,0,NA,NA,NA,NA,NA
293,5037,18420,5,0,NA,NA,NA,NA,NA
294,5037,18423,5,0,NA,NA,NA,NA,NA
295,5037,18424,5,0,NA,NA,NA,NA,NA
296,5037,18425,5,0,NA,NA,NA,NA,NA
297,5037,18426,5,0,NA,NA,NA,NA,NA
298,5037,18427,5,0,NA,NA,NA,NA,NA
299,5037,18508,5,0,NA,NA,NA,NA,NA
300,5037,18509,5,0,NA,NA,NA,NA,NA
301,5037,18510,5,0,NA,NA,NA,NA,NA
302,5037,18512,5,0,NA,NA,NA,NA,NA
303,5037,18513,5,0,NA,NA,NA,NA,NA
304,5037,18514,5,0,NA,NA,NA,NA,NA
305,5037,18668,5,0,NA,NA,NA,NA,NA
306,5037,18669,5,0,NA,NA,NA,NA,NA
307,5037,18670,5,0,NA,NA,NA,NA,NA
308,5062,18428,5,0,NA,NA,NA,NA,NA
309,5062,18388,5,0,NA,NA,NA,NA,NA
310,5063,18390,5,0,NA,NA,NA,NA,NA
311,5063,18421,5,0,NA,NA,NA,NA,NA
312,5063,18420,5,0,NA,NA,NA,NA,NA
313,163,18399,5,0,NA,NA,NA,NA,NA
314,163,18400,5,0,NA,NA,NA,NA,NA
315,163,18673,5,0,NA,NA,NA,NA,NA
316,164,18416,5,0,NA,NA,NA,NA,NA
317,164,18399,5,0,NA,NA,NA,NA,NA
318,5255,18522,5,0,NA,NA,NA,NA,NA
319,5255,18399,5,0,NA,NA,NA,NA,NA
320,5255,18416,5,0,NA,NA,NA,NA,NA
321,5312,18400,5,0,NA,NA,NA,NA,NA
322,5315,18400,5,0,NA,NA,NA,NA,NA
323,5321,18400,5,0,NA,NA,NA,NA,NA
367,5954,18705,5,0,NA,NA,NA,NA,NA
368,5957,18399,5,0,NA,NA,NA,NA,NA
369,5957,18400,5,0,NA,NA,NA,NA,NA
370,5961,18399,5,0,NA,NA,NA,NA,NA
371,5961,18400,5,0,NA,NA,NA,NA,NA
372,5961,18416,5,0,NA,NA,NA,NA,NA
373,6029,18706,5,0,NA,NA,NA,NA,NA
374,6029,18707,5,0,NA,NA,NA,NA,NA
375,6029,18708,5,0,NA,NA,NA,NA,NA
376,6099,18710,5,0,NA,NA,NA,NA,NA
378,6209,18394,5,0,NA,NA,NA,NA,NA
379,6253,18713,5,0,NA,NA,NA,NA,NA
380,6253,18396,5,0,NA,NA,NA,NA,NA
381,6253,18399,5,0,NA,NA,NA,NA,NA
382,6253,18400,5,0,NA,NA,NA,NA,NA
383,6254,18711,5,0,NA,NA,NA,NA,NA
384,6254,18720,5,0,NA,NA,NA,NA,NA
385,6254,18721,5,0,NA,NA,NA,NA,NA
386,6254,18722,5,0,NA,NA,NA,NA,NA
387,6254,18666,5,0,NA,NA,NA,NA,NA
388,6395,18400,5,0,NA,NA,NA,NA,NA
389,6395,18404,5,0,NA,NA,NA,NA,NA
390,6515,18628,5,0,NA,NA,NA,NA,NA
391,6515,18501,5,0,NA,NA,NA,NA,NA
392,6515,18405,5,0,NA,NA,NA,NA,NA
393,1255,18628,5,0,NA,NA,NA,NA,NA
394,1255,18627,5,0,NA,NA,NA,NA,NA
395,131,16642,5,0,NA,NA,NA,NA,NA
396,102,18428,5,0,NA,NA,NA,NA,NA
397,102,18490,5,0,NA,NA,NA,NA,NA
400,7314,18448,5,0,NA,NA,NA,NA,NA
401,7314,18433,5,0,NA,NA,NA,NA,NA
