id,created_at,edited_at,nombre,es_activo
1,2010-01-07 00:02:31.672789,2010-01-07 00:02:31.672854,Activo,TRUE
2,2010-01-16 22:55:42.973145,2010-01-16 22:55:42.973172,No es activo,FALSE
