id,created_at,updated_at,fecha_inicio,fecha_final,activo
5,2010-01-17 16:57:33.352035,2011-08-04 15:57:02.056807,1994-07-20,1998-07-19,FALSE
2,2009-12-03 22:08:57.099461,2011-08-04 15:55:12.780557,2006-07-20,2010-07-19,FALSE
4,2010-01-17 16:55:29.954195,2011-08-04 15:55:33.492856,2002-07-20,2006-07-19,FALSE
1,2009-12-03 22:08:38.431155,2011-08-04 15:56:36.225512,1998-07-20,2002-07-19,FALSE
6,2010-01-17 16:58:55.109704,2014-07-18 11:14:41.762860,2010-07-20,2014-07-19,FALSE
7,2013-11-29 15:27:59.853780,2014-07-18 11:33:59.387868,2014-07-20,2018-07-19,TRUE
8,2017-12-14 18:56:09.088064,2017-12-14 18:56:09.088140,2018-07-20,2022-07-20,FALSE
