id,titulo,texto,img,activo,orden,link
36,Marco jurídico para entidades de inteligencia,Desde las 2 de la tarde la Plenaria de la Cámara de Representantes comenzará la discusión sobre el proyecto de ley estatutaria (No. 195/11 de Cámara) que contempla fortalecer el marco jurídico de las entidades de inteligencia y contrainteligencia.,uploads/imgs/personas/Inteligencia.jpg,FALSE,223,http://bit.ly/jZlmtK
107,¡Ejerce tu derecho con CV!,¿Conoces los derechos que te brinda el nuevo Estatuto del Consumidor? ¿Qué dijo el gobierno en el Senado sobre la reforma a la educación? Congreso Visible te proporciona toda la información para que ejerzas tu derecho como ciudadano.,uploads/imgs/personas/CV.jpg,FALSE,107,http://bit.ly/pjbgxw
18,¿Qué ha pasado con las CAR?,"Para este martes, la Comisión V de Senado citó a la Ministra del Medio Ambiente, Beatriz Elena Uribe, para discutir sobre las decisiones tomadas frente a las Corporaciones Autónomas Regionales.",uploads/imgs/personas/Citacion_Car_Minambiente.jpg,FALSE,244,http://bit.ly/gdIq6Q
46,¿Qué se necesita para ser Alcalde?,El proyecto del senador Juan Carlos Vélez (PU) busca agregar más calidades exigidas por la Ley 136/94 para las personas candidatas a las alcaldías. La iniciativa será debatida este martes en la Comisión I de Senado.,uploads/imgs/personas/Alcalde.jpg,FALSE,226,http://bit.ly/kVK4YX
161,Mujeres que denuncien por Violencia Intrafamiliar ya no podrán desistir,Entra en vigencia Ley que busca que las autoridades puedan investigar agresiones físicas y sicológicas contra las mujeres aun cuando no sean denunciadas,uploads/imgs/personas/mujer_banner1.jpg,FALSE,86,http://bit.ly/LXtI1K
251,Entrevista al senador Hemel Hurtado a propósito de la Bancada Afrocolombiana,"""El propósito de la bancada es que se mejoren las condiciones de vida de los afrocolombianos y afrocolombianas, así de sencillo.""",uploads/imgs/personas/Banner_EHH.jpg,FALSE,49,http://bit.ly/Te3m08
73,Equidad salarial entre mujeres y hombres,"Hoy se realizará el segundo debate al proyecto de ley No. 15/10 de Cámara, promovido por la bancada del MIRA, que busca fomentar la igualdad de salarios entre los hombres y las mujeres. La discusión se desarrollará en la Plenaria de Cámara.",uploads/imgs/personas/HM.jpg,FALSE,201,http://bit.ly/le5VXg
259,Lanzamiento Caribe Visible,Este próximo 1° de marzo en la Universidad del Norte en Barranquilla se presentará un nuevo ejercicio de seguimiento a la actividad legislativa.,uploads/imgs/personas/Lanzamiento_Caribe_Visible_grande.jpg,FALSE,39,http://bit.ly/15qeHyW
7,Estamos en mantenimiento,Nos encontramos mejorando el acceso de nuestros usuarios al sistema de información de CV. Pronto volveremos a habilitar la barra de registro. Agradecemos su paciencia.,uploads/imgs/personas/Registro.jpg_.jpg,FALSE,253,NA
272,¿Portazo a la representación negra en el Congreso?,"Así lo determinó la Corte Constitucional, teniendo en cuenta que los candidatos que llegaron al Congreso en el 2010, no fueron avalados por sus comunidades",uploads/imgs/personas/Banner_ArtículoAfros.jpg,FALSE,19,http://bit.ly/124KeBC
278,Lanzamiento del documental Sabedoras de muchas lunas y del libro Mujeres indígenas sabias y resistentes,Ambos trabajos son el resultado de procesos de reflexión alrededor del papel de las mujeres indígenas en sus comunidades y organizaciones,uploads/imgs/personas/Banner_Evento_ONIC.jpg,FALSE,28,http://bit.ly/197J5QF
280,"Proyecto de endurecimiento de penas a ataques con ácido, a un paso de convertirse en Ley",Con esta iniciativa quienes realicen este tipo de ataques no contarían con el beneficio de excarcelación,uploads/imgs/personas/Mujeres_Ácido_PL.jpg,FALSE,24,http://bit.ly/12OMSNO
69,Debate sobre contratos de la ANH,"El ministro de Minas y Energía, Carlos Rodado, y el director de la Agencia Nacional de Hidrocarburos, Armando Zamora, fueron citados hoy a la Comisión V de Senado para discutir las presuntas irregularidades en contratos de exploración sísmica y geológica.",uploads/imgs/personas/ANH.jpg,FALSE,206,http://bit.ly/mJdNlZ
70,¿Qué está pasando con las concesiones en el país?,A las 10 de la mañana la Comisión VI de Cámara continuará con el debate sobre las concesiones adjudicadas o que se encuentran en curso. Para esta discusión fueron citadas la directora (e) del Inco y la Contralora General de la República.,uploads/imgs/personas/Concesiones.jpg,FALSE,204,http://bit.ly/k4PrHV
41,A discusión nueva reforma política,"La Comisión I de la Cámara de Representantes comenzará hoy a estudiar y debatir, en primer debate, el proyecto de ley estatutaria 205/11, impulsado por el gobierno, por el que se adoptan disposiciones sobre equidad de género y financiación de campañas electorales.",uploads/imgs/personas/Plenaria_Camara_.jpg,FALSE,227,http://bit.ly/f8ehef
133,Continúa el debate a la CRES,"Este miércoles continúa el debate de control político sobre las actuaciones de la Comisión de Regulación en Salud, promovido en la Comisión VII de la Cámara",uploads/imgs/personas/CRES.jpg,FALSE,141,http://bit.ly/vhiqjw
