id,proyecto_ley_estado_id,comision_id
2511,6914,5
2512,7220,2
2513,17941,4
2514,7492,4
2515,18111,4
2516,7533,4
2517,7552,11
2518,7689,4
2519,7783,4
2521,9178,4
2522,8617,7
2523,8989,1
2524,18773,1
2525,7522,13
2526,7651,2
2527,8691,1
2528,5181,7
2529,7487,7
2530,6389,7
2531,7546,2
2532,6001,11
2533,18133,2
2534,7266,11
2535,7587,8
2536,7692,12
2537,7591,4
2538,7507,3
2539,9457,9
2540,17960,4
2541,5989,3
2545,17895,7
2546,7896,12
2548,17953,4
2549,18354,4
2551,18740,3
2552,6412,4
2553,7889,2
2554,6385,1
2555,7438,2
2556,7850,11
2557,19598,11
2558,5108,1
2559,5889,1
2560,6399,7
2561,17982,6
2562,18315,6
2563,7038,7
2564,7482,7
2565,7898,12
2566,7898,13
2567,7898,10
2568,7898,8
2569,7871,3
2570,9552,1
2571,18037,4
2573,20209,2
2574,19597,11
2575,21929,3
2576,6851,1
2577,7602,3
2578,7843,7
2579,18735,1
2580,7202,1
2581,21791,7
2582,7884,5
2583,19738,4
2585,9166,3
2586,19247,5
13683,41496,14
2588,19204,13
13745,44735,1
13801,44789,7
2591,6230,11
2592,21857,10
2593,6350,14
13896,44057,5
13937,44222,8
2597,16876,1
2598,6723,11
2599,18590,1
13989,44178,1
2601,30036,1
2602,19121,1
2603,6774,10
2604,7201,1
2605,18765,3
14041,45217,12
14089,45261,5
2609,18856,3
2611,7075,10
2613,16868,1
2616,6940,10
2617,19873,10
2618,18777,3
2620,18988,3
2621,5228,4
2622,18122,11
2623,17918,11
2624,21956,11
2625,19992,6
2626,5618,11
2627,18613,1
2628,6314,11
2629,18806,1
2631,7076,9
2633,7657,11
2634,5223,11
2635,7829,11
2637,19868,6
2638,5345,1
2639,18462,1
2640,21990,6
2641,21888,12
2642,6801,2
2643,19919,6
2644,6283,14
2645,7863,2
2647,5203,11
2648,5275,11
2649,16859,1
2650,7685,11
2651,6425,11
2652,5349,11
2653,6219,11
2654,6235,11
2655,6361,14
2656,6406,11
2657,6417,11
2658,5232,11
2659,7855,4
2660,16712,4
13628,44661,12
2662,19602,10
2663,19617,10
2664,6804,10
2665,6444,10
6880,37920,11
2667,19594,4
2668,20040,6
2669,6205,4
2670,7874,4
13684,41254,14
2672,5214,11
13685,40645,14
2674,19926,2
2675,5474,11
13686,38997,14
2677,4405,12
2678,6909,7
2679,7273,11
13802,44790,7
2683,7497,6
2684,7431,1
2685,19252,5
2686,6285,7
2687,6285,1
2688,5656,9
13839,43978,7
2690,21997,4
2691,20475,4
13840,42698,1
2693,5550,4
2694,21836,12
2695,5334,9
