id,seguido_type_id,seguido_id,seguidor_id,fecha
268,28,1026,1026,NA
269,28,121,121,NA
270,28,2324,2324,NA
271,28,1415,1415,NA
272,28,1089,1089,NA
273,28,1443,1443,NA
274,28,1027,1027,NA
275,28,1028,1028,NA
276,28,1029,1029,NA
277,28,1030,1030,NA
278,28,1101,1101,NA
279,28,1530,1530,NA
280,28,122,122,NA
281,28,1031,1031,NA
282,28,2307,2307,NA
283,28,1032,1032,NA
284,28,1300,1300,NA
285,28,1706,1706,NA
286,28,1948,1948,NA
287,28,1090,1090,NA
288,28,1047,1047,NA
289,28,1035,1035,NA
290,28,1036,1036,NA
291,28,1037,1037,NA
292,28,1038,1038,NA
293,28,1564,1564,NA
294,28,1039,1039,NA
295,28,404,404,NA
296,28,405,405,NA
297,28,1344,1344,NA
298,28,1045,1045,NA
299,28,406,406,NA
300,28,1974,1974,NA
301,28,407,407,NA
302,28,1540,1540,NA
303,28,408,408,NA
304,28,1547,1547,NA
305,28,123,123,NA
306,28,1763,1763,NA
307,28,1720,1720,NA
308,28,409,409,NA
309,28,1641,1641,NA
310,28,17,17,NA
311,28,412,412,NA
2103,28,5905,3150,2010-10-27 14:19:01.916381
313,28,414,414,NA
314,28,415,415,NA
315,28,2007,2007,NA
316,28,416,416,NA
317,28,1337,1337,NA
318,28,418,418,NA
319,28,1600,1600,NA
320,28,1354,1354,NA
321,28,1472,1472,NA
322,28,1167,1167,NA
323,28,1942,1942,NA
324,28,419,419,NA
325,28,420,420,NA
326,28,421,421,NA
327,28,422,422,NA
328,28,1886,1886,NA
329,28,423,423,NA
330,28,2323,2323,NA
331,28,424,424,NA
332,28,425,425,NA
333,28,426,426,NA
334,28,428,428,NA
335,28,429,429,NA
336,28,1791,1791,NA
337,28,125,125,NA
338,28,1685,1685,NA
339,28,430,430,NA
340,28,431,431,NA
341,28,126,126,NA
342,28,1987,1987,NA
343,28,1829,1829,NA
344,28,2336,2336,NA
345,28,2284,2284,NA
346,28,1827,1827,NA
347,28,432,432,NA
348,28,2348,2348,NA
349,28,433,433,NA
350,28,1544,1544,NA
351,28,127,127,NA
352,28,434,434,NA
353,28,1161,1161,NA
354,28,435,435,NA
355,28,1902,1902,NA
356,28,436,436,NA
357,28,1214,1214,NA
358,28,1978,1978,NA
359,28,128,128,NA
360,28,2110,2110,NA
2106,28,5905,3150,2010-10-27 14:41:44.896735
362,28,1986,1986,NA
363,28,1079,1079,NA
364,28,2045,2045,NA
365,28,411,411,NA
366,28,413,413,NA
367,28,441,441,NA
368,28,2237,2237,NA
369,28,2264,2264,NA
370,28,2035,2035,NA
371,28,1467,1467,NA
372,28,1583,1583,NA
373,28,1794,1794,NA
374,28,19,19,NA
375,28,129,129,NA
376,28,2016,2016,NA
377,28,444,444,NA
378,28,2395,2395,NA
379,28,1411,1411,NA
380,28,1858,1858,NA
381,28,130,130,NA
382,28,2084,2084,NA
383,28,1058,1058,NA
384,28,1903,1903,NA
385,28,446,446,NA
386,28,1496,1496,NA
387,28,1846,1846,NA
388,28,2250,2250,NA
1856,28,2496,2496,2010-04-21 16:03:13.986817
390,28,447,447,NA
391,28,21,21,NA
392,28,448,448,NA
393,28,449,449,NA
394,28,1633,1633,NA
395,28,1065,1065,NA
396,28,2010,2010,NA
397,28,1151,1151,NA
398,28,131,131,NA
399,28,451,451,NA
400,28,22,22,NA
401,28,452,452,NA
402,28,1413,1413,NA
403,28,453,453,NA
2104,28,5905,3150,2010-10-27 14:27:40.075943
405,28,1146,1146,NA
406,28,454,454,NA
407,28,455,455,NA
408,28,23,23,NA
409,28,456,456,NA
410,28,1462,1462,NA
411,28,457,457,NA
412,28,2267,2267,NA
413,28,460,460,NA
414,28,1358,1358,NA
415,28,461,461,NA
416,28,462,462,NA
417,28,463,463,NA
418,28,2102,2102,NA
419,28,2106,2106,NA
420,28,467,467,NA
421,28,1339,1339,NA
422,28,468,468,NA
423,28,1541,1541,NA
424,28,2247,2247,NA
425,28,2244,2244,NA
426,28,2361,2361,NA
427,28,469,469,NA
428,28,1871,1871,NA
429,28,470,470,NA
430,28,471,471,NA
431,28,2300,2300,NA
432,28,1820,1820,NA
433,28,134,134,NA
434,28,26,26,NA
435,28,472,472,NA
436,28,27,27,NA
437,28,474,474,NA
438,28,2321,2321,NA
439,28,475,475,NA
440,28,135,135,NA
441,28,476,476,NA
442,28,2335,2335,NA
443,28,136,136,NA
444,28,28,28,NA
445,28,1072,1072,NA
446,28,1111,1111,NA
447,28,478,478,NA
2107,28,5905,3150,2010-10-27 14:44:42.168265
449,28,1881,1881,NA
450,28,1618,1618,NA
451,28,2218,2218,NA
452,28,2034,2034,NA
453,28,480,480,NA
454,28,137,137,NA
455,28,1475,1475,NA
456,28,1762,1762,NA
457,28,29,29,NA
458,28,1748,1748,NA
459,28,481,481,NA
460,28,2092,2092,NA
461,28,482,482,NA
462,28,2215,2215,NA
463,28,483,483,NA
464,28,140,140,NA
465,28,485,485,NA
466,28,1460,1460,NA
467,28,1108,1108,NA
468,28,16,16,NA
469,28,1033,1033,NA
470,28,1848,1848,NA
471,28,2127,2127,NA
472,28,1309,1309,NA
473,28,417,417,NA
474,28,18,18,NA
475,28,1843,1843,NA
476,28,1824,1824,NA
477,28,1679,1679,NA
478,28,464,464,NA
479,28,2232,2232,NA
480,28,24,24,NA
481,28,1106,1106,NA
482,28,1816,1816,NA
483,28,465,465,NA
484,28,25,25,NA
485,28,133,133,NA
486,28,486,486,NA
487,28,487,487,NA
488,28,284,284,NA
489,28,1059,1059,NA
490,28,488,488,NA
491,28,1326,1326,NA
492,28,489,489,NA
493,28,286,286,NA
494,28,493,493,NA
495,28,1486,1486,NA
496,28,2053,2053,NA
497,28,1495,1495,NA
498,28,494,494,NA
499,28,2238,2238,NA
500,28,1320,1320,NA
501,28,141,141,NA
502,28,2111,2111,NA
503,28,1975,1975,NA
504,28,500,500,NA
505,28,501,501,NA
506,28,502,502,NA
507,28,503,503,NA
508,28,2281,2281,NA
509,28,1799,1799,NA
510,28,1397,1397,NA
511,28,505,505,NA
512,28,2101,2101,NA
513,28,504,504,NA
514,28,506,506,NA
515,28,2108,2108,NA
516,28,1184,1184,NA
517,28,1447,1447,NA
518,28,507,507,NA
519,28,508,508,NA
520,28,510,510,NA
521,28,509,509,NA
522,28,512,512,NA
523,28,1582,1582,NA
524,28,1574,1574,NA
525,28,1391,1391,NA
526,28,1228,1228,NA
527,28,567,567,NA
528,28,497,497,NA
529,28,1893,1893,NA
530,28,142,142,NA
531,28,499,499,NA
532,28,2055,2055,NA
533,28,513,513,NA
534,28,2119,2119,NA
535,28,1802,1802,NA
536,28,515,515,NA
537,28,1780,1780,NA
538,28,514,514,NA
539,28,1856,1856,NA
540,28,516,516,NA
541,28,1609,1609,NA
542,28,145,145,NA
543,28,517,517,NA
544,28,33,33,NA
545,28,519,519,NA
546,28,520,520,NA
547,28,521,521,NA
548,28,1928,1928,NA
549,28,1676,1676,NA
550,28,1158,1158,NA
551,28,522,522,NA
552,28,523,523,NA
553,28,2044,2044,NA
554,28,2087,2087,NA
555,28,524,524,NA
556,28,1336,1336,NA
557,28,525,525,NA
558,28,1606,1606,NA
559,28,2095,2095,NA
560,28,526,526,NA
561,28,1091,1091,NA
562,28,2112,2112,NA
563,28,146,146,NA
564,28,147,147,NA
565,28,530,530,NA
566,28,1678,1678,NA
568,28,35,35,NA
569,28,36,36,NA
570,28,1306,1306,NA
571,28,2130,2130,NA
572,28,532,532,NA
573,28,2291,2291,NA
574,28,533,533,NA
575,28,1416,1416,NA
576,28,534,534,NA
577,28,1955,1955,NA
578,28,1130,1130,NA
579,28,535,535,NA
580,28,536,536,NA
581,28,537,537,NA
582,28,1195,1195,NA
583,28,538,538,NA
584,28,2256,2256,NA
585,28,1055,1055,NA
586,28,1308,1308,NA
587,28,1563,1563,NA
588,28,2211,2211,NA
589,28,539,539,NA
590,28,540,540,NA
591,28,1421,1421,NA
592,28,1611,1611,NA
593,28,542,542,NA
594,28,541,541,NA
595,28,543,543,NA
596,28,1854,1854,NA
597,28,2066,2066,NA
598,28,1897,1897,NA
599,28,1562,1562,NA
600,28,544,544,NA
601,28,1646,1646,NA
602,28,1992,1992,NA
603,28,545,545,NA
604,28,1700,1700,NA
605,28,2252,2252,NA
606,28,1857,1857,NA
607,28,1476,1476,NA
608,28,546,546,NA
609,28,2062,2062,NA
610,28,547,547,NA
611,28,1134,1134,NA
612,28,1323,1323,NA
613,28,1610,1610,NA
614,28,548,548,NA
615,28,2212,2212,NA
616,28,39,39,NA
617,28,152,152,NA
618,28,38,38,NA
619,28,549,549,NA
620,28,550,550,NA
621,28,1979,1979,NA
622,28,2309,2309,NA
623,28,1360,1360,NA
624,28,556,556,NA
625,28,282,282,NA
626,28,551,551,NA
627,28,552,552,NA
628,28,2118,2118,NA
629,28,553,553,NA
630,28,1357,1357,NA
631,28,1834,1834,NA
632,28,1585,1585,NA
633,28,1191,1191,NA
634,28,1279,1279,NA
635,28,554,554,NA
636,28,1895,1895,NA
637,28,287,287,NA
638,28,555,555,NA
639,28,1837,1837,NA
640,28,1622,1622,NA
641,28,1128,1128,NA
642,28,2328,2328,NA
643,28,2285,2285,NA
644,28,2337,2337,NA
645,28,40,40,NA
646,28,558,558,NA
647,28,2114,2114,NA
648,28,561,561,NA
649,28,153,153,NA
650,28,1936,1936,NA
651,28,41,41,NA
652,28,1826,1826,NA
653,28,1875,1875,NA
654,28,155,155,NA
655,28,563,563,NA
656,28,2222,2222,NA
657,28,2088,2088,NA
658,28,1219,1219,NA
659,28,565,565,NA
660,28,566,566,NA
661,28,2239,2239,NA
662,28,2319,2319,NA
663,28,2312,2312,NA
664,28,42,42,NA
665,28,569,569,NA
666,28,2024,2024,NA
667,28,2036,2036,NA
668,28,1418,1418,NA
669,28,1205,1205,NA
670,28,2352,2352,NA
671,28,157,157,NA
672,28,571,571,NA
673,28,573,573,NA
674,28,574,574,NA
675,28,1793,1793,NA
676,28,586,586,NA
677,28,161,161,NA
678,28,588,588,NA
679,28,589,589,NA
680,28,1524,1524,NA
681,28,1371,1371,NA
682,28,591,591,NA
683,28,592,592,NA
684,28,1989,1989,NA
685,28,593,593,NA
686,28,278,278,NA
687,28,2120,2120,NA
688,28,596,596,NA
689,28,595,595,NA
690,28,1364,1364,NA
691,28,585,585,NA
692,28,162,162,NA
693,28,597,597,NA
694,28,1046,1046,NA
695,28,1368,1368,NA
696,28,598,598,NA
697,28,46,46,NA
698,28,590,590,NA
699,28,1865,1865,NA
700,28,163,163,NA
701,28,600,600,NA
702,28,164,164,NA
703,28,2299,2299,NA
704,28,2054,2054,NA
705,28,1370,1370,NA
706,28,2109,2109,NA
707,28,1422,1422,NA
708,28,602,602,NA
709,28,276,276,NA
710,28,601,601,NA
711,28,603,603,NA
712,28,604,604,NA
713,28,605,605,NA
714,28,47,47,NA
715,28,165,165,NA
716,28,1910,1910,NA
717,28,606,606,NA
718,28,1614,1614,NA
719,28,607,607,NA
720,28,1550,1550,NA
721,28,48,48,NA
722,28,1504,1504,NA
723,28,2344,2344,NA
724,28,608,608,NA
725,28,1570,1570,NA
726,28,609,609,NA
727,28,49,49,NA
728,28,611,611,NA
729,28,612,612,NA
730,28,166,166,NA
731,28,613,613,NA
732,28,1432,1432,NA
733,28,614,614,NA
734,28,2091,2091,NA
735,28,615,615,NA
736,28,616,616,NA
737,28,1338,1338,NA
738,28,151,151,NA
739,28,575,575,NA
740,28,1844,1844,NA
741,28,1502,1502,NA
742,28,158,158,NA
743,28,1939,1939,NA
744,28,2064,2064,NA
745,28,576,576,NA
746,28,159,159,NA
747,28,1739,1739,NA
748,28,1340,1340,NA
749,28,2115,2115,NA
750,28,578,578,NA
751,28,2241,2241,NA
752,28,1063,1063,NA
753,28,1393,1393,NA
754,28,2020,2020,NA
755,28,579,579,NA
756,28,581,581,NA
757,28,1513,1513,NA
758,28,582,582,NA
759,28,1410,1410,NA
760,28,2376,2376,NA
761,28,44,44,NA
762,28,1427,1427,NA
763,28,1477,1477,NA
764,28,1332,1332,NA
765,28,1643,1643,NA
766,28,160,160,NA
767,28,584,584,NA
768,28,45,45,NA
769,28,1377,1377,NA
770,28,1387,1387,NA
771,28,1056,1056,NA
772,28,1355,1355,NA
773,28,617,617,NA
774,28,618,618,NA
775,28,619,619,NA
776,28,620,620,NA
777,28,621,621,NA
778,28,623,623,NA
779,28,1999,1999,NA
780,28,1295,1295,NA
781,28,1470,1470,NA
782,28,622,622,NA
783,28,1851,1851,NA
784,28,1062,1062,NA
785,28,624,624,NA
786,28,1701,1701,NA
787,28,1192,1192,NA
788,28,625,625,NA
789,28,2216,2216,NA
790,28,626,626,NA
791,28,1800,1800,NA
792,28,2063,2063,NA
793,28,627,627,NA
794,28,2009,2009,NA
795,28,1374,1374,NA
796,28,1578,1578,NA
797,28,1070,1070,NA
798,28,629,629,NA
799,28,1670,1670,NA
800,28,628,628,NA
801,28,630,630,NA
802,28,1672,1672,NA
803,28,1580,1580,NA
804,28,1708,1708,NA
805,28,631,631,NA
806,28,1133,1133,NA
807,28,1951,1951,NA
808,28,1638,1638,NA
809,28,1180,1180,NA
810,28,632,632,NA
811,28,633,633,NA
812,28,634,634,NA
813,28,169,169,NA
814,28,289,289,NA
815,28,1170,1170,NA
816,28,1402,1402,NA
817,28,635,635,NA
818,28,1745,1745,NA
819,28,171,171,NA
820,28,2317,2317,NA
821,28,636,636,NA
822,28,637,637,NA
823,28,638,638,NA
824,28,639,639,NA
825,28,640,640,NA
826,28,50,50,NA
827,28,641,641,NA
828,28,2296,2296,NA
829,28,1980,1980,NA
830,28,642,642,NA
831,28,1459,1459,NA
832,28,1268,1268,NA
833,28,643,643,NA
834,28,644,644,NA
835,28,172,172,NA
836,28,649,649,NA
837,28,2268,2268,NA
838,28,1803,1803,NA
839,28,645,645,NA
840,28,1823,1823,NA
841,28,2032,2032,NA
842,28,1329,1329,NA
843,28,646,646,NA
844,28,647,647,NA
845,28,648,648,NA
846,28,2000,2000,NA
847,28,650,650,NA
848,28,2370,2370,NA
849,28,2008,2008,NA
850,28,652,652,NA
851,28,1535,1535,NA
852,28,653,653,NA
853,28,53,53,NA
854,28,1424,1424,NA
855,28,1448,1448,NA
856,28,1262,1262,NA
857,28,1051,1051,NA
858,28,1556,1556,NA
859,28,281,281,NA
860,28,1940,1940,NA
861,28,1282,1282,NA
862,28,1188,1188,NA
863,28,175,175,NA
864,28,2067,2067,NA
865,28,655,655,NA
866,28,1559,1559,NA
1857,28,2497,2497,2010-04-21 18:12:06.686212
868,28,2320,2320,NA
869,28,656,656,NA
870,28,1853,1853,NA
871,28,2125,2125,NA
872,28,1378,1378,NA
873,28,1446,1446,NA
874,28,657,657,NA
875,28,658,658,NA
876,28,1283,1283,NA
877,28,659,659,NA
878,28,1988,1988,NA
879,28,1586,1586,NA
880,28,1804,1804,NA
881,28,1256,1256,NA
882,28,660,660,NA
883,28,1631,1631,NA
884,28,1702,1702,NA
885,28,1982,1982,NA
886,28,1296,1296,NA
887,28,661,661,NA
888,28,672,672,NA
889,28,1342,1342,NA
890,28,673,673,NA
891,28,674,674,NA
892,28,1983,1983,NA
893,28,1809,1809,NA
894,28,675,675,NA
895,28,2305,2305,NA
896,28,2282,2282,NA
897,28,1168,1168,NA
898,28,2301,2301,NA
899,28,2279,2279,NA
900,28,676,676,NA
901,28,677,677,NA
902,28,1518,1518,NA
903,28,678,678,NA
904,28,1567,1567,NA
905,28,180,180,NA
906,28,662,662,NA
907,28,663,663,NA
908,28,1605,1605,NA
909,28,2124,2124,NA
910,28,665,665,NA
911,28,666,666,NA
912,28,1965,1965,NA
913,28,1127,1127,NA
914,28,1943,1943,NA
915,28,2093,2093,NA
916,28,1537,1537,NA
917,28,1375,1375,NA
918,28,2230,2230,NA
919,28,667,667,NA
920,28,668,668,NA
921,28,1924,1924,NA
922,28,55,55,NA
923,28,669,669,NA
924,28,2310,2310,NA
925,28,670,670,NA
926,28,671,671,NA
927,28,1489,1489,NA
928,28,1671,1671,NA
929,28,2289,2289,NA
930,28,1276,1276,NA
931,28,2060,2060,NA
932,28,2234,2234,NA
933,28,273,273,NA
934,28,178,178,NA
935,28,1305,1305,NA
936,28,2042,2042,NA
937,28,2052,2052,NA
938,28,1821,1821,NA
939,28,679,679,NA
940,28,1675,1675,NA
941,28,57,57,NA
942,28,181,181,NA
943,28,680,680,NA
944,28,1783,1783,NA
945,28,1840,1840,NA
946,28,682,682,NA
947,28,2314,2314,NA
948,28,683,683,NA
949,28,2297,2297,NA
950,28,1124,1124,NA
951,28,1150,1150,NA
952,28,2104,2104,NA
953,28,685,685,NA
954,28,1969,1969,NA
955,28,686,686,NA
956,28,1394,1394,NA
957,28,687,687,NA
958,28,2277,2277,NA
959,28,684,684,NA
960,28,1852,1852,NA
961,28,1407,1407,NA
962,28,1558,1558,NA
963,28,1659,1659,NA
964,28,690,690,NA
965,28,183,183,NA
966,28,689,689,NA
967,28,692,692,NA
968,28,2089,2089,NA
969,28,1520,1520,NA
970,28,1068,1068,NA
971,28,1423,1423,NA
972,28,1552,1552,NA
973,28,1404,1404,NA
974,28,182,182,NA
975,28,681,681,NA
976,28,693,693,NA
977,28,694,694,NA
978,28,1808,1808,NA
979,28,1350,1350,NA
980,28,1811,1811,NA
981,28,695,695,NA
982,28,696,696,NA
983,28,697,697,NA
984,28,1601,1601,NA
985,28,2325,2325,NA
986,28,1109,1109,NA
987,28,1073,1073,NA
988,28,1711,1711,NA
989,28,2002,2002,NA
990,28,1784,1784,NA
991,28,698,698,NA
992,28,699,699,NA
993,28,701,701,NA
994,28,1949,1949,NA
995,28,58,58,NA
996,28,1096,1096,NA
997,28,1818,1818,NA
998,28,703,703,NA
999,28,704,704,NA
1000,28,705,705,NA
1001,28,706,706,NA
1002,28,700,700,NA
1003,28,707,707,NA
1004,28,1389,1389,NA
1005,28,709,709,NA
1007,28,1131,1131,NA
1008,28,1664,1664,NA
1009,28,710,710,NA
1010,28,711,711,NA
1011,28,1099,1099,NA
1012,28,712,712,NA
1013,28,1896,1896,NA
1014,28,2090,2090,NA
1015,28,713,713,NA
1016,28,1456,1456,NA
1017,28,714,714,NA
1858,28,2498,2498,2010-04-21 18:20:40.689350
1019,28,1850,1850,NA
1020,28,717,717,NA
1021,28,718,718,NA
1022,28,1663,1663,NA
1023,28,2065,2065,NA
1024,28,1452,1452,NA
1025,28,1554,1554,NA
1026,28,1571,1571,NA
1027,28,2038,2038,NA
1028,28,719,719,NA
1029,28,1836,1836,NA
1030,28,1506,1506,NA
1031,28,1149,1149,NA
1032,28,2345,2345,NA
1033,28,1991,1991,NA
1034,28,2333,2333,NA
1035,28,1709,1709,NA
1036,28,1830,1830,NA
1037,28,720,720,NA
1038,28,1488,1488,NA
1039,28,721,721,NA
1040,28,1581,1581,NA
1041,28,2098,2098,NA
1042,28,722,722,NA
1043,28,1373,1373,NA
1044,28,1966,1966,NA
1045,28,723,723,NA
1046,28,725,725,NA
1047,28,272,272,NA
1048,28,724,724,NA
1049,28,1505,1505,NA
1050,28,726,726,NA
1051,28,727,727,NA
1859,28,2499,2499,2010-04-21 21:05:37.361104
1053,28,1435,1435,NA
1054,28,1173,1173,NA
1055,28,1414,1414,NA
1056,28,1044,1044,NA
1057,28,729,729,NA
1058,28,1632,1632,NA
1059,28,59,59,NA
1060,28,2049,2049,NA
1061,28,1431,1431,NA
1062,28,1137,1137,NA
1063,28,2050,2050,NA
1064,28,1264,1264,NA
1065,28,1043,1043,NA
1066,28,2311,2311,NA
1067,28,186,186,NA
1068,28,731,731,NA
1069,28,732,732,NA
1070,28,261,261,NA
1071,28,1426,1426,NA
1072,28,1947,1947,NA
1073,28,733,733,NA
1074,28,2245,2245,NA
1075,28,735,735,NA
1076,28,1132,1132,NA
1077,28,1398,1398,NA
1078,28,736,736,NA
1079,28,2051,2051,NA
1080,28,61,61,NA
1081,28,739,739,NA
1082,28,1743,1743,NA
1083,28,734,734,NA
1084,28,740,740,NA
1085,28,741,741,NA
1086,28,742,742,NA
1087,28,743,743,NA
1088,28,1644,1644,NA
1089,28,1346,1346,NA
1090,28,1756,1756,NA
1091,28,1200,1200,NA
1092,28,1186,1186,NA
1093,28,744,744,NA
1094,28,745,745,NA
1095,28,1545,1545,NA
1096,28,2280,2280,NA
1097,28,1941,1941,NA
1098,28,747,747,NA
1099,28,748,748,NA
1100,28,1573,1573,NA
1101,28,189,189,NA
1102,28,1859,1859,NA
1103,28,1361,1361,NA
1104,28,2076,2076,NA
1105,28,1116,1116,NA
1106,28,746,746,NA
1107,28,2041,2041,NA
1108,28,2322,2322,NA
1109,28,708,708,NA
1110,28,2253,2253,NA
1111,28,1267,1267,NA
1860,28,2500,2500,2010-04-21 21:31:07.436183
1113,28,750,750,NA
1114,28,1117,1117,NA
1115,28,1202,1202,NA
1116,28,751,751,NA
1117,28,1625,1625,NA
1118,28,2057,2057,NA
1119,28,1379,1379,NA
1120,28,752,752,NA
1121,28,2043,2043,NA
1122,28,1624,1624,NA
1123,28,192,192,NA
1124,28,756,756,NA
1125,28,193,193,NA
1126,28,1121,1121,NA
1127,28,757,757,NA
1129,28,2248,2248,NA
1130,28,2004,2004,NA
1131,28,1280,1280,NA
1132,28,1918,1918,NA
1133,28,759,759,NA
1134,28,1707,1707,NA
1135,28,1555,1555,NA
1136,28,1367,1367,NA
1137,28,190,190,NA
1138,28,62,62,NA
