id,created_at,updated_at,nombre,fecha_fundacion,direccion,direccion,estatutos
50,2010-01-17 17:19:23.438378,2016-04-04 19:37:55.980072,Unidad Democrática,NA,NA,NA,NA
49,2010-01-17 17:19:23.430023,2016-04-04 19:38:01.426326,Partido Popular Colombiano,NA,NA,NA,NA
69,2010-01-17 17:19:23.522988,2016-04-04 19:43:02.023241,Movimiento Defensa Ciudadana,NA,NA,NA,NA
72,2010-01-17 17:19:23.532334,2018-02-02 15:37:03.535786,MIPOL - Movimiento Integración Popular,NA,NA,NA,NA
80,2010-01-17 17:19:23.556978,2018-02-02 15:37:30.345547,MPC - Movimiento Participación Comunitaria,NA,NA,NA,NA
101,2010-01-17 17:19:23.636764,2018-02-02 15:43:14.872913,PNC Partido Nacional Cristiano,NA,NA,NA,NA
56,2010-01-17 17:19:23.458881,2018-02-02 15:42:08.374444,Movimiento Independiente Frente de Esperanza,NA,NA,NA,NA
34,2010-01-17 17:19:23.358668,2011-05-17 15:44:14.980856,Movimiento de Participación Popular,1997-07-03,Carrera 13 A N? 38 - 39 Of. 207,Carrera 13 A N? 38 - 39 Of. 207,NA
7,2009-11-25 09:17:54.000000,2011-05-09 16:19:38.261800,Alas Equipo Colombia,2005-12-14,NA,NA,NA
107,2010-01-17 17:19:23.662073,2011-04-19 21:08:06.379240,Por el País que Soñamos,2002-07-04,Autopista Norte N? 100 - 12,Autopista Norte N? 100 - 12,NA
98,2010-01-17 17:19:23.627147,2011-04-19 21:16:05.105904,Liberal Colombiano - Unión Patriótica,NA,NA,NA,NA
105,2010-01-17 17:19:23.650889,2011-05-10 16:28:00.873025,Verde-Oxígeno,NA,NA,NA,NA
137,2011-07-25 20:27:13.910606,2011-07-25 20:27:13.910649,Sin Corrupción Colombia Liberal,NA,NA,NA,NA
111,2010-01-17 17:19:23.716887,2011-05-17 15:46:59.478423,Acción Social,NA,NA,NA,NA
17,2010-01-12 18:39:29.123488,2014-07-22 11:48:08.430056,Movimiento Apertura Liberal,2010-02-26,NA,NA,NA
85,2010-01-17 17:19:23.572754,2012-03-12 20:29:01.992217,(2006) Movimiento Únete Colombia,NA,NA,NA,NA
122,2010-02-10 19:44:24.541589,2010-09-03 21:00:50.999890,Compromiso Ciudadano por Colombia,NA,NA,NA,NA
23,2010-01-17 17:19:23.131090,2010-03-26 02:49:14.414917,Alianza Democrática M-19,1990-01-01,NA,NA,NA
62,2010-01-17 17:19:23.499112,2016-04-04 19:40:31.117070,Movimiento Colombia Mi País,NA,NA,NA,NA
67,2010-01-17 17:19:23.516343,2016-04-04 19:42:32.382241,Movimiento Convergencia Popular Cívica,NA,NA,NA,NA
167,2014-02-10 15:33:59.146404,2014-07-22 11:15:03.754641,Corporación Indígena Yanacona,NA,NA,NA,NA
160,2014-02-07 22:03:16.397282,2014-07-22 11:12:30.580837,Asoconegua,NA,NA,NA,NA
168,2014-02-10 15:37:56.216920,2014-07-22 11:15:09.014641,Corporación Nelson Mandela Cormandela,NA,NA,NA,NA
194,2014-02-13 15:52:30.124133,2018-02-02 15:34:12.709520,"Funsoproesat - Fundación para el Progreso Caribeño de Santa Catalina de Alejandría, Bolívar",NA,NA,NA,NA
94,2010-01-17 17:19:23.614845,2018-02-02 15:43:05.763320,PSD Partido del Socialismo Democrático,NA,NA,NA,NA
169,2014-02-10 15:42:37.260870,2018-03-06 22:40:28.017097,Corporación Poder Ciudadano,NA,NA,NA,NA
108,2010-01-17 17:19:23.703314,2011-04-19 21:18:24.385785,Visionarios Con Antanas Mockus,2000-04-01,Diagonal 40A (antigua Avenida Calle 39) No. 14 - 66,Diagonal 40A (antigua Avenida Calle 39) No. 14 - 66,NA
120,2010-01-29 16:48:21.890335,2011-05-09 16:21:04.027618,Movimiento Progresismo Democrático,NA,NA,NA,NA
33,2010-01-17 17:19:23.352637,2011-05-19 17:07:50.381395,Convergencia Popular Cívica (e),NA,NA,NA,NA
129,2010-02-16 15:55:40.960903,2011-05-09 16:26:11.621706,Si Colombia,NA,NA,NA,NA
119,2010-01-26 18:45:05.023082,2011-05-09 16:28:35.967550,Frente Social y Político,NA,NA,NA,NA
66,2010-01-17 17:19:23.513025,2016-04-04 19:41:55.743302,Movimiento Conservatismo Independiente,NA,NA,NA,NA
