nombre,año,objeto,archivo
Balance Tercera Legislatura Congreso 2006 -,2010,"<div data-configid=""2991020/5665797"" style=""width: 525px; height: 203px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_9.pdf
El Congreso: escenario estratégico con miras al,2010,"<div data-configid=""2991020/5665814"" style=""width: 525px; height: 371px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_8_1.pdf
Prioridades temáticas: reforma política y víctimas,2008,"<div data-configid=""2991020/5665844"" style=""width: 525px; height: 371px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_7.pdf
Todo sobre el proyecto de reforma política,2008,"<div data-configid=""2991020/5665856"" style=""width: 525px; height: 340px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_6.pdf
¿Caos o reestructuración d los partidos políticos?,2007,"<div data-configid=""2991020/5666035"" style=""width: 525px; height: 340px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_3.pdf
Perspectivas del Congreso 2002 -,2006,"<div data-configid=""2991020/5665734"" style=""width: 525px; height: 355px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_Congreso_No__10.pdf
Balance del penúltimo periodo del Congreso 2010 -,2014,"<div data-configid=""2991020/7965486"" style=""width: 525px; height: 340px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Balance_dic._2013.pdf
Balance Segunda Legislatura Congreso 2010 -,2014,"<div><object style=""width:420px;height:272px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf?mode=mini&amp;embedBackground=%23000000&amp;backgroundColor=%23222222&amp;documentId=120731212321-953dcea44cfe465badee341ea31cf387"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><param name=""wmode"" value=""transparent""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" wmode=""transparent"" style=""width:420px;height:272px"" flashvars=""mode=mini&amp;embedBackground=%23000000&amp;backgroundColor=%23222222&amp;documentId=120731212321-953dcea44cfe465badee341ea31cf387"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/programacongresovisible/docs/boletin_n25?mode=window&amp;backgroundColor=%23222222"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=afro"" target=""_blank"">More afro</a></div></div>",uploads/boletines/Boletin_25_.pdf
Referendo reeleccionista y elecciones al Congreso,2009,"<div><object style=""width:420px;height:272px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=100613000628-f7c049fe92db4ba993f23ef250e8ddb2&amp;docName=congreso_visible_15_julio-diciembre_2009&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20Congreso%20Visible%2015&amp;et=1283438422145&amp;er=67"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" style=""width:420px;height:272px"" flashvars=""mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=100613000628-f7c049fe92db4ba993f23ef250e8ddb2&amp;docName=congreso_visible_15_julio-diciembre_2009&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20Congreso%20Visible%2015&amp;et=1283438422145&amp;er=67"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/CongresoVisible/docs/congreso_visible_15_julio-diciembre_2009?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=congreso"" target=""_blank"">More congreso</a></div></div>",uploads/boletines/Congreso_Visible_15_julio-diciembre_2009.pdf
Balance Tercera Legislatura Congreso 2010 -,2014,"<div data-configid=""2991020/7965547"" style=""width: 525px; height: 340px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Resumen_Tercera_Legislatura.pdf
"Ola invernal, voto nominal, mujeres y elecciones",2011,"<div><object style=""width:420px;height:272px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=110610152550-d45393365e5f4db48405a186c46fca8b&amp;docName=boletin_no.20&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20Congreso%20Visible%20No.%2020&amp;et=1307720310720&amp;er=87"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" style=""width:420px;height:272px"" flashvars=""mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=110610152550-d45393365e5f4db48405a186c46fca8b&amp;docName=boletin_no.20&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20Congreso%20Visible%20No.%2020&amp;et=1307720310720&amp;er=87"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/CongresoVisible/docs/boletin_no.20?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=boletin"" target=""_blank"">More boletin</a></div></div>",uploads/boletines/Boletin_20_.pdf
Cómo está constituido el Congreso 2010 -,2014,"<div><object style=""width:420px;height:272px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=101028202000-88b937d005b644f9abb7962bd367069d&amp;docName=bolet_n_agosto_-_octubre_2010&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20Congreso%20Visible%20Agosto%20-%20Octubre%202010&amp;et=1288297591237&amp;er=58"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" style=""width:420px;height:272px"" flashvars=""mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=101028202000-88b937d005b644f9abb7962bd367069d&amp;docName=bolet_n_agosto_-_octubre_2010&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20Congreso%20Visible%20Agosto%20-%20Octubre%202010&amp;et=1288297591237&amp;er=58"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/CongresoVisible/docs/bolet_n_agosto_-_octubre_2010?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=congreso"" target=""_blank"">More congreso</a></div></div>",uploads/boletines/Boletín_Agosto_-_Octubre_2010.pdf
Balance Congreso 2006 -,2010,"<div><object style=""width:420px;height:272px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=100902143258-b812a63965904522b1b0733752ff8d0e&amp;docName=boletin_17&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20de%20Congreso%20Visible%2017&amp;et=1283438266971&amp;er=87"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" style=""width:420px;height:272px"" flashvars=""mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=100902143258-b812a63965904522b1b0733752ff8d0e&amp;docName=boletin_17&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20de%20Congreso%20Visible%2017&amp;et=1283438266971&amp;er=87"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/CongresoVisible/docs/boletin_17?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=senado"" target=""_blank"">More senado</a></div></div>",uploads/boletines/Boletín_agosto_baja.pdf
